grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
30.37011958,-97.98976632,260,2600,None,None,None,None,None,None,1583368738,5.925968,4,-122.8125,-22.5625,None,None,None,None,None,None,3.306312,0.0,0.0,0.0,50,0,0,0,12240,0,0,0,15.9985632184,None,None,None,-8.60000038147,None,None,None
30.37011958,-97.98976632,260,2600,None,None,None,None,None,None,1583368739,4.083504,5,-120.1875,-22.375,None,None,None,None,None,None,3.281008,0.0,0.0,0.0,45,0,0,0,10944,0,0,0,17.2639885222,None,None,None,-3.70000004768,None,None,None
30.37,-97.9895,73,2225,280,2600,None,None,None,None,1583368740,2.406144,6,-118.5625,-20.375,-130.25,-30.0,None,None,None,None,5.8256,0.0,0.0,0.0,75,0,0,0,27997,0,0,0,12.5316455696,None,None,None,-5.5,-9.60000038147,None,None
30.3701196,-97.98976629,73,2225,157,2501,None,None,None,None,1583368741,2.695344,7,-123.8125,-22.125,-135.125,-30.0,None,None,None,None,0.634288,0.0,0.0,0.0,75,0,0,0,8001,0,0,0,5.36440677966,None,None,None,-7.09999990463,-8.19999980927,None,None
30.3701196,-97.98976628,322,2501,475,2225,None,None,None,None,1583368742,3.019792,8,-119.875,-19.9375,-121.6875,-19.3125,None,None,None,None,0.755464,1.06968,0.0,0.0,75,75,0,0,8589,6666,0,0,4.93121693122,9.91803278689,None,None,-5.59999990463,-6.5,None,None
30.37,-97.9895,322,2501,475,2225,None,None,None,None,1583368743,3.447264,9,-119.5,-19.3125,-119.5,-19.1875,None,None,None,None,5.61084,8.80548,0.0,0.0,50,75,0,0,41427,50994,0,0,8.04004576659,10.3906735751,None,None,-2.79999995232,-4.90000009537,None,None
30.37,-97.9895,322,2501,475,2225,None,None,None,None,1583368744,11.776224,10,-119.5625,-20.0625,-118.9375,-17.6875,None,None,None,None,5.44248,7.63588,0.0,0.0,50,75,0,0,33501,52021,0,0,10.0940397351,9.55296404276,None,None,-6.40000009537,-4.59999990463,None,None
30.37,-97.9895,322,2501,475,2225,None,None,None,None,1583368745,12.516576,11,-119.3125,-19.5625,-118.625,-18.25,None,None,None,None,5.287936,10.495152,0.0,0.0,50,75,0,0,35805,69738,0,0,8.99089726918,9.36750651607,None,None,-4.5,-1.89999997616,None,None
30.37011961,-97.98976623,322,2501,475,2225,None,None,None,None,1583368746,13.037136,12,-120.25,-19.25,-119.0625,-18.5,None,None,None,None,5.301968,10.913712,0.0,0.0,50,75,0,0,37445,73991,0,0,8.51641414141,9.32525951557,None,None,-1.20000004768,-3.59999990463,None,None
30.37,-97.9895,322,2501,475,2225,None,None,None,None,1583368747,15.431712,13,-120.4375,-20.75,-120.375,-20.0,None,None,None,None,5.879152,7.1496,0.0,0.0,50,75,0,0,35138,63634,0,0,10.3518041237,7.71901608325,None,None,-4.30000019073,-5.69999980927,None,None
30.37011962,-97.98976618,322,2501,475,2225,None,None,None,None,1583368748,12.31992,14,-119.375,-18.5625,-119.9375,-20.5625,None,None,None,None,5.340416,7.348624,0.0,0.0,50,75,0,0,32872,53196,0,0,10.1377410468,8.91862745098,None,None,-3.70000004768,-4.69999980927,None,None
30.37011962,-97.98976615,322,2501,475,2225,None,None,None,None,1583368749,11.001168,15,-119.875,-18.875,-119.25,-17.625,None,None,None,None,5.740296,6.735472,0.0,0.0,50,75,0,0,36765,59300,0,0,9.54580645161,7.62823725982,None,None,-0.40000000596,-2.90000009537,None,None
30.37,-97.9895,322,2501,475,2225,None,None,None,None,1583368750,11.371344,16,-120.25,-19.4375,-118.875,-18.625,None,None,None,None,6.833784,3.400784,0.0,0.0,50,75,0,0,38310,27603,0,0,11.3193069307,8.76149425287,None,None,-1.89999997616,-3.20000004768,None,None
