grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.41723042,-86.85841532,470,5145,389,850,470,1150,None,None,1583868984,67.854528,5,-71.4375,-13.5,-79.625,-13.3125,-83.5625,-13.0625,None,None,7.492904,0.376176,0.07016,0.0,23,76,15,0,11709,720,134,0,26.8106796117,25.2325581395,25.0,None,21.2999992371,17.7000007629,15.6999998093,None
40.41723044,-86.85841534,470,5145,389,850,470,1150,None,None,1583868985,11.359776,6,-69.8125,-11.0625,-80.0,-14.8125,-84.1875,-12.375,None,None,13.203528,6.977256,1.738336,0.0,23,100,50,0,20550,11400,3999,0,26.5454545455,25.9831223629,21.9973190349,None,20.1000003815,14.1000003815,13.5,None
40.41723044,-86.85841536,470,5145,389,850,470,1150,None,None,1583868986,18.751728,7,-74.75,-9.5,-90.75,-13.0,-90.5,-14.0,None,None,11.31556,15.25256,7.065584,0.0,23,100,50,0,18752,26276,13814,0,25.6603773585,25.6701030928,23.6536796537,None,18.8999996185,11.8000001907,14.0,None
40.41723045,-86.85841538,305,66911,None,None,None,None,None,None,1583868987,21.060704,8,-78.5625,-13.5,None,None,None,None,None,None,28.938816,0.022224,0.0,0.0,25,16,0,0,33263,40,0,0,25.4116923077,26.25,None,None,20.7999992371,None,None,None
40.41723045,-86.85841538,305,66911,None,None,None,None,None,None,1583868988,30.52904,9,-79.125,-10.125,None,None,None,None,None,None,29.990912,0.0,0.0,0.0,25,0,0,0,32057,0,0,0,26.3425378041,None,None,None,21.6000003815,None,None,None
40.41723045,-86.85841539,305,66911,None,None,None,None,None,None,1583868989,27.30048,10,-79.0,-13.5625,None,None,None,None,None,None,28.421848,0.0,0.0,0.0,25,0,0,0,31101,0,0,0,26.124576845,None,None,None,21.2999992371,None,None,None
40.41723044,-86.85841539,310,66486,None,None,None,None,None,None,1583868990,27.254208,11,-80.5625,-12.25,None,None,None,None,None,None,33.07448,0.0,0.0,0.0,50,0,0,0,53146,0,0,0,26.1419710544,None,None,None,21.8999996185,None,None,None
40.41723044,-86.85841539,310,66486,None,None,None,None,None,None,1583868991,31.766272,12,-80.3125,-14.0,None,None,None,None,None,None,17.035616,0.0,0.0,0.0,50,0,0,0,26345,0,0,0,26.9493670886,None,None,None,21.6000003815,None,None,None
40.41723044,-86.8584154,310,66486,None,None,None,None,None,None,1583868992,23.864784,13,-80.5,-15.25,None,None,None,None,None,None,47.072104,0.0,0.0,0.0,50,0,0,0,68713,0,0,0,26.980154355,None,None,None,20.7999992371,None,None,None
40.41723044,-86.8584154,310,66486,None,None,None,None,None,None,1583868993,33.211728,14,-80.9375,-12.4375,None,None,None,None,None,None,36.814416,0.0,0.0,0.0,50,0,0,0,55231,0,0,0,27.0555555556,None,None,None,23.2000007629,None,None,None
40.41723044,-86.8584154,310,66486,None,None,None,None,None,None,1583868994,43.773312,15,-80.125,-13.6875,None,None,None,None,None,None,23.871736,0.0,0.0,0.0,50,0,0,0,35691,0,0,0,26.7208918249,None,None,None,20.8999996185,None,None,None
40.41723044,-86.85841541,310,66486,None,None,None,None,None,None,1583868995,28.133376,16,-81.4375,-11.5,None,None,None,None,None,None,14.966912,0.0,0.0,0.0,50,0,0,0,23514,0,0,0,26.7360774818,None,None,None,22.2999992371,None,None,None
40.41723043,-86.85841541,310,66486,None,None,None,None,None,None,1583868996,20.961216,17,-81.875,-13.75,None,None,None,None,None,None,14.998952,0.0,0.0,0.0,50,0,0,0,23442,0,0,0,26.9183673469,None,None,None,22.2000007629,None,None,None
40.41723043,-86.85841541,310,66486,None,None,None,None,None,None,1583868997,15.975408,18,-81.8125,-13.1875,None,None,None,None,None,None,20.018896,0.0,0.0,0.0,50,0,0,0,30555,0,0,0,27.0030425963,None,None,None,22.2000007629,None,None,None
40.41723043,-86.85841541,310,66486,None,None,None,None,None,None,1583868998,16.993392,19,-79.25,-13.875,None,None,None,None,None,None,11.327472,0.0,0.0,0.0,50,0,0,0,16459,0,0,0,26.3786127168,None,None,None,20.3999996185,None,None,None
40.41723043,-86.85841541,310,66486,None,None,None,None,None,None,1583868999,12.447168,20,-81.3125,-15.125,None,None,None,None,None,None,15.038384,0.0,0.0,0.0,50,0,0,0,23129,0,0,0,26.8109339408,None,None,None,21.5,None,None,None
40.41723043,-86.85841542,310,66486,None,None,None,None,None,None,1583869000,14.043552,21,-81.9375,-11.5625,None,None,None,None,None,None,19.009144,0.0,0.0,0.0,50,0,0,0,29352,0,0,0,26.9296577947,None,None,None,21.6000003815,None,None,None
40.41723042,-86.85841542,310,66486,None,None,None,None,None,None,1583869001,17.594928,22,-81.125,-14.625,None,None,None,None,None,None,13.43432,0.0,0.0,0.0,50,0,0,0,21021,0,0,0,26.8292046936,None,None,None,23.3999996185,None,None,None
40.41723042,-86.85841542,310,66486,None,None,None,None,None,None,1583869002,13.742784,23,-81.25,-13.1875,None,None,None,None,None,None,25.088256,0.0,0.0,0.0,50,0,0,0,39227,0,0,0,26.8896551724,None,None,None,21.0,None,None,None
40.41723042,-86.85841539,310,66486,None,None,None,None,None,None,1583869003,23.59872,24,-82.6875,-13.9375,None,None,None,None,None,None,18.027104,0.0,0.0,0.0,50,0,0,0,27263,0,0,0,26.8921161826,None,None,None,21.2999992371,None,None,None
40.41723041,-86.85841537,310,66486,None,None,None,None,None,None,1583869004,18.300576,25,-80.125,-14.875,None,None,None,None,None,None,17.130736,0.0,0.0,0.0,50,0,0,0,26778,0,0,0,26.8665919283,None,None,None,21.2999992371,None,None,None
40.41723041,-86.85841537,310,66486,None,None,None,None,None,None,1583869005,18.115488,26,-80.375,-14.25,None,None,None,None,None,None,15.249248,0.0,0.0,0.0,50,0,0,0,23724,0,0,0,26.768321513,None,None,None,21.2999992371,None,None,None
40.41723041,-86.85841537,310,66486,None,None,None,None,None,None,1583869006,14.888016,27,-80.5625,-14.0,None,None,None,None,None,None,18.69704,0.0,0.0,0.0,50,0,0,0,29485,0,0,0,26.798146241,None,None,None,20.2999992371,None,None,None
40.41723041,-86.85841536,310,66486,None,None,None,None,None,None,1583869007,15.15408,28,-81.125,-15.1875,None,None,None,None,None,None,13.938624,0.0,0.0,0.0,50,0,0,0,21855,0,0,0,26.8239700375,None,None,None,19.7999992371,None,None,None
40.41723041,-86.85841536,310,66486,None,None,None,None,None,None,1583869008,19.20288,29,-81.6875,-12.8125,None,None,None,None,None,None,17.34148,0.0,0.0,0.0,50,0,0,0,26959,0,0,0,26.8542336549,None,None,None,21.7000007629,None,None,None
40.41723041,-86.85841536,310,66486,None,None,None,None,None,None,1583869009,18.994656,30,-82.25,-13.6875,None,None,None,None,None,None,15.761048,0.0,0.0,0.0,50,0,0,0,23131,0,0,0,26.8901322482,None,None,None,21.3999996185,None,None,None
40.41723041,-86.85841537,310,66486,None,None,None,None,None,None,1583869010,13.083408,31,-81.4375,-14.0,None,None,None,None,None,None,19.754504,0.0,0.0,0.0,50,0,0,0,23554,0,0,0,26.0792079208,None,None,None,20.8999996185,None,None,None
40.41723041,-86.85841537,310,66486,None,None,None,None,None,None,1583869011,12.78264,32,-83.1875,-15.1875,None,None,None,None,None,None,19.15732,0.0,0.0,0.0,50,0,0,0,26397,0,0,0,25.9311043566,None,None,None,20.3999996185,None,None,None
40.41723041,-86.85841537,310,66486,None,None,None,None,None,None,1583869012,22.291536,33,-83.8125,-12.625,None,None,None,None,None,None,19.38676,0.0,0.0,0.0,50,0,0,0,25965,0,0,0,26.2894985809,None,None,None,19.8999996185,None,None,None
40.41723042,-86.85841537,310,66486,None,None,None,None,None,None,1583869013,18.196464,34,-85.0625,-15.5,None,None,None,None,None,None,22.491272,0.0,0.0,0.0,50,0,0,0,32284,0,0,0,26.6064690027,None,None,None,20.0,None,None,None
