grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.41800897,-86.88692432,73,66486,None,None,None,None,None,None,1583875209,53.477648,4,-90.5625,-13.5,None,None,None,None,None,None,7.196,0.035904,0.08316,0.0,50,24,50,0,14851,80,141,0,22.8833333333,21.5,25.6666666667,None,14.1000003815,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875210,35.871664,5,-91.3125,-13.1875,None,None,None,None,None,None,7.750616,0.0,0.0,0.0,50,0,0,0,13564,0,0,0,25.7429963459,None,None,None,16.8999996185,None,None,None
40.4180088,-86.88692456,73,66486,None,None,None,None,None,None,1583875211,11.75512,6,-90.5,-14.375,None,None,None,None,None,None,6.727472,0.0,0.0,0.0,50,0,0,0,11341,0,0,0,26.1723730815,None,None,None,18.2999992371,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875212,6.177312,7,-88.4375,-14.5,None,None,None,None,None,None,8.8188,0.0,0.0,0.0,50,0,0,0,14526,0,0,0,26.4175824176,None,None,None,19.2000007629,None,None,None
40.418009,-86.88692486,73,66486,None,None,None,None,None,None,1583875213,7.11432,8,-92.1875,-13.6875,None,None,None,None,None,None,10.65484,0.0,0.0,0.0,50,0,0,0,16850,0,0,0,26.8113207547,None,None,None,15.5,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875214,9.994752,9,-89.1875,-12.5,None,None,None,None,None,None,8.525384,0.0,0.0,0.0,50,0,0,0,14436,0,0,0,25.7869198312,None,None,None,18.1000003815,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875215,6.605328,10,-90.25,-14.4375,None,None,None,None,None,None,15.324792,0.0,0.0,0.0,50,0,0,0,24502,0,0,0,26.7405956113,None,None,None,18.2000007629,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875216,14.367456,11,-90.25,-13.5625,None,None,None,None,None,None,15.026336,0.0,0.0,0.0,50,0,0,0,24156,0,0,0,26.5693979933,None,None,None,14.8000001907,None,None,None
40.41800967,-86.88692513,73,66486,None,None,None,None,None,None,1583875217,15.906,12,-92.4375,-14.5625,None,None,None,None,None,None,6.738672,0.0,0.0,0.0,50,0,0,0,11026,0,0,0,26.3628205128,None,None,None,12.5,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875218,6.929232,13,-92.3125,-12.625,None,None,None,None,None,None,11.907256,0.0,0.0,0.0,50,0,0,0,19909,0,0,0,26.3756243756,None,None,None,15.6999998093,None,None,None
40.418,-86.8865,73,66486,None,None,None,None,None,None,1583875219,7.796832,14,-91.9375,-14.125,None,None,None,None,None,None,14.089688,0.0,0.0,0.0,50,0,0,0,23713,0,0,0,26.1790916881,None,None,None,15.6000003815,None,None,None
