grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198109,4.121648,8,-85.6875,-21.625,None,None,None,None,None,None,4.352384,0.0,0.0,0.0,100,0,0,0,18484,0,0,0,14.4680851064,None,None,None,-5.19999980927,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198110,3.609216,9,-86.1875,-19.6875,None,None,None,None,None,None,4.46424,0.0,0.0,0.0,100,0,0,0,22876,0,0,0,13.0107334526,None,None,None,-2.5,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198111,4.559856,10,-86.0,-17.4375,None,None,None,None,None,None,4.691936,0.0,0.0,0.0,96,0,0,0,20952,0,0,0,14.602,None,None,None,1.5,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198112,4.0488,11,-81.25,-17.625,None,None,None,None,None,None,7.356056,0.0,0.0,0.0,100,0,0,0,26500,0,0,0,16.1116838488,None,None,None,-1.0,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198113,5.656752,12,-84.9375,-18.6875,None,None,None,None,None,None,3.241992,0.0,0.0,0.0,100,0,0,0,12984,0,0,0,15.9641873278,None,None,None,-5.09999990463,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198114,2.649072,13,-84.8125,-18.625,None,None,None,None,None,None,2.23576,0.0,0.0,0.0,100,0,0,0,13588,0,0,0,12.4705882353,None,None,None,-2.40000009537,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198115,3.52824,14,-87.8125,-19.8125,None,None,None,None,None,None,3.951752,0.0,0.0,0.0,100,0,0,0,18284,0,0,0,13.933481153,None,None,None,-7.0,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198116,2.035968,15,-88.75,-20.0,None,None,None,None,None,None,1.60048,0.0,0.0,0.0,100,0,0,0,10264,0,0,0,13.0699300699,None,None,None,-2.79999995232,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198117,1.09896,16,-89.75,-18.25,None,None,None,None,None,None,1.74068,0.0,0.0,0.0,100,0,0,0,13964,0,0,0,10.1150442478,None,None,None,0.800000011921,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198118,1.769904,17,-89.0625,-22.125,None,None,None,None,None,None,2.308528,0.0,0.0,0.0,100,0,0,0,15616,0,0,0,11.2113821138,None,None,None,-2.09999990463,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198119,2.406144,18,-92.625,-20.125,None,None,None,None,None,None,3.046912,0.0,0.0,0.0,100,0,0,0,20772,0,0,0,11.9026369168,None,None,None,-1.5,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198120,3.077088,19,-89.375,-23.1875,None,None,None,None,None,None,2.765296,0.0,0.0,0.0,100,0,0,0,16936,0,0,0,10.5012406948,None,None,None,-5.40000009537,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198121,2.42928,20,-89.75,-21.0,None,None,None,None,None,None,2.897864,0.0,0.0,0.0,100,0,0,0,15620,0,0,0,12.308310992,None,None,None,-6.30000019073,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198122,3.597648,21,-88.3125,-19.125,None,None,None,None,None,None,4.236112,0.0,0.0,0.0,100,0,0,0,21908,0,0,0,12.7988394584,None,None,None,-3.70000004768,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198123,3.146496,22,-88.5625,-20.3125,None,None,None,None,None,None,4.269064,0.0,0.0,0.0,100,0,0,0,26300,0,0,0,10.8473282443,None,None,None,-5.90000009537,None,None,None
34.07,-118.4445,366,850,None,None,None,None,None,None,1583198124,3.320016,23,-90.4375,-20.75,None,None,None,None,None,None,2.220312,0.0,0.0,0.0,100,0,0,0,13816,0,0,0,12.5480769231,None,None,None,-5.19999980927,None,None,None
34.07050289,-118.44480852,366,850,None,None,None,None,None,None,1583198125,1.816176,24,-88.625,-18.75,None,None,None,None,None,None,2.186736,0.0,0.0,0.0,100,0,0,0,14156,0,0,0,12.2478873239,None,None,None,-0.600000023842,None,None,None
34.0705178,-118.44480741,366,850,None,None,None,None,None,None,1583198126,1.642656,25,-89.0,-19.75,None,None,None,None,None,None,2.437928,0.0,0.0,0.0,100,0,0,0,16616,0,0,0,9.83756345178,None,None,None,-5.0,None,None,None
34.0705,-118.4445,366,850,None,None,None,None,None,None,1583198127,1.665792,26,-90.625,-21.9375,None,None,None,None,None,None,1.361752,0.0,0.0,0.0,100,0,0,0,8760,0,0,0,11.4779116466,None,None,None,-7.90000009537,None,None,None
34.0705,-118.4445,366,850,None,None,None,None,None,None,1583198128,1.816176,27,-91.6875,-21.3125,None,None,None,None,None,None,1.838656,0.0,0.0,0.0,100,0,0,0,15248,0,0,0,9.62311557789,None,None,None,-2.09999990463,None,None,None
34.0705,-118.4445,366,850,None,None,None,None,None,None,1583198129,1.538544,28,-91.625,-20.3125,None,None,None,None,None,None,2.160072,0.0,0.0,0.0,100,0,0,0,16152,0,0,0,9.56279069767,None,None,None,-5.59999990463,None,None,None
34.0705,-118.4445,366,850,None,None,None,None,None,None,1583198130,2.012832,29,-90.8125,-21.0,None,None,None,None,None,None,1.818528,0.0,0.0,0.0,100,0,0,0,16588,0,0,0,9.31306306306,None,None,None,-4.19999980927,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198131,1.27248,30,-81.875,-17.9375,-89.375,-12.5,None,None,None,None,0.8478,1.458416,0.0,0.0,100,50,0,0,3892,2898,0,0,14.0380952381,23.2540983607,None,None,3.79999995232,16.7000007629,None,None
34.07058575,-118.44479517,107,850,252,9720,None,None,None,None,1583198132,12.308352,31,-84.5,-17.0,-89.25,-11.4375,None,None,None,None,5.898296,13.102656,0.0,0.0,100,50,0,0,18732,22288,0,0,17.0546623794,24.803945746,None,None,1.10000002384,24.2000007629,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198133,19.017792,32,-86.5,-17.75,-87.8125,-12.1875,None,None,None,None,9.324016,13.159,0.0,0.0,100,50,0,0,29840,20813,0,0,17.676433121,26.1375739645,None,None,3.29999995232,24.8999996185,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198134,22.823664,33,-86.8125,-16.4375,-87.5,-8.125,None,None,None,None,7.707552,19.064984,0.0,0.0,96,50,0,0,23996,30846,0,0,18.0322580645,25.9860365199,None,None,-1.79999995232,20.6000003815,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198135,26.745216,34,-86.125,-18.0,-88.3125,-13.5625,None,None,None,None,9.900624,18.97164,0.0,0.0,100,50,0,0,34980,32458,0,0,16.5675368899,25.4799196787,None,None,2.20000004768,22.7999992371,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198136,30.782448,35,-85.5,-14.8125,-88.25,-6.125,None,None,None,None,15.5524,23.094288,0.0,0.0,100,50,0,0,49160,37523,0,0,17.7402061856,26.0756972112,None,None,1.60000002384,18.7999992371,None,None
34.07064019,-118.44479744,107,850,252,9720,None,None,None,None,1583198137,37.040736,36,-85.5625,-15.3125,-88.75,-7.25,None,None,None,None,19.146888,21.513648,0.0,0.0,100,50,0,0,59328,42667,0,0,17.8448448448,23.2609942639,None,None,-1.0,21.6000003815,None,None
34.07065313,-118.44479887,107,850,252,9720,None,None,None,None,1583198138,39.689808,37,-85.8125,-19.125,-91.0625,-12.8125,None,None,None,None,16.362464,28.707264,0.0,0.0,100,50,0,0,54696,55679,0,0,17.0621716287,23.4605363985,None,None,3.59999990463,13.8000001907,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198139,37.700112,38,-86.375,-15.375,-89.6875,-7.5,None,None,None,None,20.093216,22.237648,0.0,0.0,100,50,0,0,62048,38864,0,0,18.3736884584,25.1767676768,None,None,0.300000011921,25.8999996185,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198140,45.612624,39,-84.1875,-15.75,-88.875,-13.5625,None,None,None,None,22.5954,26.211848,0.0,0.0,100,50,0,0,71460,45550,0,0,18.0192604006,25.17573595,None,None,3.20000004768,22.2000007629,None,None
34.07068962,-118.44480208,107,850,252,9720,None,None,None,None,1583198141,35.502192,40,-82.875,-19.6875,-87.8125,-12.875,None,None,None,None,15.72972,26.859864,0.0,0.0,100,50,0,0,45152,45169,0,0,19.1813953488,25.8280757098,None,None,2.20000004768,20.7999992371,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198142,49.522608,41,-83.75,-19.875,-88.75,-12.25,None,None,None,None,17.298416,39.114984,0.0,0.0,100,50,0,0,52844,67693,0,0,18.2163120567,25.3691045796,None,None,-1.89999997616,22.8999996185,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198143,50.933904,42,-82.5,-19.75,-87.8125,-13.0,None,None,None,None,17.71368,35.339856,0.0,0.0,100,50,0,0,57692,63643,0,0,17.4452975048,24.4494459834,None,None,-0.5,23.2000007629,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198144,50.84136,43,-83.9375,-18.0625,-89.75,-11.625,None,None,None,None,27.876304,34.1794,0.0,0.0,100,50,0,0,80680,59416,0,0,18.6827133479,25.2691740413,None,None,1.29999995232,22.2999992371,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198145,53.918448,44,-82.6875,-17.875,-88.3125,-13.6875,None,None,None,None,26.857064,33.329784,0.0,0.0,100,50,0,0,75468,56263,0,0,19.4389312977,25.793806031,None,None,7.59999990463,23.0,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583198146,52.912032,45,-86.9375,-18.25,-91.0,-12.5,None,None,None,None,23.39756,35.628128,0.0,0.0,100,50,0,0,62512,57235,0,0,19.948657188,26.1313813814,None,None,3.5,24.1000003815,None,None
