grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456961,23.511616,9,-87.375,-19.1875,-89.875,-8.6875,None,None,None,None,26.00476,0.0,0.0,0.0,100,0,0,0,76680,0,0,0,18.7936046512,None,None,None,2.70000004768,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456962,25.07496,10,-85.0,-19.0,-90.0,-8.6875,None,None,None,None,27.953832,0.0,0.0,0.0,100,0,0,0,84984,0,0,0,18.7550260611,None,None,None,3.0,None,None,None
34.07073662,-118.44484772,107,850,252,9720,None,None,None,None,1583456963,23.590352,11,-86.5625,-19.5,-89.5625,-9.625,None,None,None,None,31.616904,0.0,0.0,0.0,100,0,0,0,91880,0,0,0,19.2603878116,None,None,None,3.0,None,None,None
34.07074456,-118.44486387,107,850,252,9720,None,None,None,None,1583456964,31.413456,12,-86.4375,-15.8125,-88.5,-10.5625,None,None,None,None,25.595224,0.0,0.0,0.0,100,0,0,0,69768,0,0,0,20.3501730104,None,None,None,4.19999980927,None,None,None
34.07074456,-118.44486387,107,850,252,9720,None,None,None,None,1583456965,22.176608,13,-85.0,-18.6875,-89.0,-8.625,None,None,None,None,27.844944,0.0,0.0,0.0,100,0,0,0,88692,0,0,0,17.7555238774,None,None,None,3.90000009537,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456966,21.040576,14,-85.6875,-17.25,-89.8125,-8.875,None,None,None,None,31.927736,0.0,0.0,0.0,100,0,0,0,93432,0,0,0,19.3370013755,None,None,None,1.79999995232,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456967,30.549216,15,-87.0625,-15.6875,-89.375,-11.3125,None,None,None,None,33.011296,0.0,0.0,0.0,100,0,0,0,86408,0,0,0,20.4325259516,None,None,None,6.59999990463,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456968,27.244656,16,-86.375,-18.8125,-90.625,-8.5625,None,None,None,None,39.304864,0.0,0.0,0.0,100,0,0,0,109404,0,0,0,19.7780628608,None,None,None,2.40000009537,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456969,36.557552,17,-84.5,-18.6875,-88.6875,-8.625,None,None,None,None,33.861408,0.0,0.0,0.0,100,0,0,0,90940,0,0,0,20.3156123822,None,None,None,4.19999980927,None,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583456970,32.348624,18,-86.0625,-16.875,-88.8125,-13.5,None,None,None,None,27.1444,0.0,0.0,0.0,100,0,0,0,70160,0,0,0,20.7821705426,None,None,None,4.30000019073,None,None,None
