grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457122,13.12528,2,-101.0625,-17.9375,-86.25,-16.625,-85.6875,-16.625,None,None,1.489264,6.321216,0.890824,0.0,50,100,50,0,7729,34732,3643,0,10.6471861472,10.5521557719,14.4237288136,None,-4.5,-1.5,-3.0,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457123,9.161856,3,-100.6875,-18.8125,-86.875,-19.125,-87.375,-19.4375,None,None,0.918168,6.949512,0.78916,0.0,50,100,50,0,7666,46688,4723,0,7.26503340757,9.89568845619,10.501285347,None,-2.5,-5.0,-4.80000019073,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457124,7.334112,4,-99.4375,-17.5,-86.5625,-19.125,-86.3125,-19.125,None,None,0.517392,2.734016,0.367864,0.0,50,100,50,0,4428,22312,3447,0,7.17484662577,8.8707165109,7.04113924051,None,-2.79999995232,-5.09999990463,-5.30000019073,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457125,4.037776,5,-101.9375,-17.4375,-88.625,-19.4375,-86.25,-17.625,None,None,1.955648,2.374608,0.656176,0.0,50,92,50,0,12413,19268,5862,0,9.86902927581,7.67032967033,7.27983539095,None,-3.40000009537,-6.30000019073,-4.19999980927,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457126,4.257024,6,-104.375,-17.625,-89.25,-16.6875,-85.3125,-18.1875,None,None,1.422096,3.67896,1.677768,0.0,50,100,50,0,10398,35936,9293,0,8.51003344482,6.79969879518,11.3144208038,None,-0.20000000298,-3.90000009537,-6.69999980927,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457127,6.316128,7,-101.3125,-16.1875,-89.875,-16.8125,-85.875,-16.25,None,None,1.644152,2.531896,1.254168,0.0,50,96,50,0,10682,21740,9476,0,9.28006872852,7.23090586146,8.95914396887,None,2.70000004768,-4.80000019073,-2.29999995232,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457128,4.442112,8,-97.125,-16.3125,-88.5,-21.375,-86.8125,-17.75,None,None,3.069216,3.808304,1.389592,0.0,50,100,50,0,14544,25552,8793,0,11.1004070556,8.72366148532,9.70727272727,None,4.59999990463,-8.39999961853,-5.5,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457129,6.848256,9,-100.75,-17.375,-84.6875,-19.6875,-82.1875,-15.5,None,None,2.262352,2.958456,2.4282,0.0,50,100,50,0,11205,26452,11597,0,11.6022727273,7.01652892562,12.7435114504,None,2.20000004768,-5.40000009537,1.60000002384,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457130,7.57704,10,-103.875,-17.6875,-89.25,-19.1875,-83.3125,-16.375,None,None,1.979296,5.243008,2.743888,0.0,50,100,50,0,10520,44616,10547,0,10.9169329073,7.29355281207,15.1982905983,None,-0.10000000149,-5.30000019073,-3.09999990463,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457131,9.184992,11,-104.9375,-18.25,-89.8125,-23.5,-84.0625,-14.5625,None,None,0.787896,2.082176,0.696872,0.0,47,100,50,0,5354,21564,4151,0,9.22128851541,7.01275510204,10.7440633245,None,-4.80000019073,-7.59999990463,-0.10000000149,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457132,3.967824,12,-102.0625,-17.5625,-86.5,-18.1875,-82.1875,-15.75,None,None,2.288472,2.17088,2.979184,0.0,50,100,50,0,15489,13080,10273,0,9.2732166891,9.98837209302,16.1070811744,None,4.40000009537,-0.600000023842,-2.0,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457133,5.03208,13,-100.75,-16.3125,-88.9375,-21.0625,-81.25,-15.0,None,None,0.878368,10.797072,0.8396,0.0,50,100,50,0,6748,61444,3090,0,8.05463182898,11.0818291215,15.0896551724,None,2.0,-7.69999980927,-0.10000000149,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457134,12.111696,14,-106.5625,-20.3125,-87.625,-18.5,-84.0,-16.6875,None,None,3.242616,10.258056,2.165672,0.0,50,100,50,0,20706,63736,6667,0,9.83819628647,9.67344497608,17.4914611006,None,-0.600000023842,-5.59999990463,-6.30000019073,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457135,13.974144,15,-101.4375,-15.4375,-90.25,-22.5625,-82.6875,-14.375,None,None,2.284576,3.759568,1.711312,0.0,50,100,50,0,16722,37464,8779,0,8.58962962963,6.44172661871,11.1,None,0.20000000298,-6.40000009537,-3.29999995232,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457136,7.889376,16,-105.125,-18.3125,-86.5625,-18.1875,-87.6875,-15.6875,None,None,2.065304,2.545072,0.391896,0.0,50,100,50,0,13623,29908,1917,0,10.2846003899,6.15734265734,12.2513368984,None,-1.29999995232,-3.5,-5.0,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457137,4.661904,17,-104.0,-17.5625,-91.875,-19.0625,-86.625,-15.875,None,None,0.503392,1.424248,0.294024,0.0,50,100,45,0,5030,11556,1852,0,7.59036144578,8.6773255814,10.0898876404,None,-2.5,-3.70000004768,-5.09999990463,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457138,1.954992,18,-104.5,-19.0625,-87.6875,-19.0,-85.5,-15.5,None,None,0.693728,1.953832,1.298144,0.0,50,100,50,0,6850,20852,7672,0,6.10778443114,7.19836400818,10.2189239332,None,-2.20000004768,-2.40000009537,0.800000011921,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583457139,3.424128,19,-105.6875,-18.6875,-89.8125,-19.5,-85.375,-15.4375,None,None,1.01972,1.437096,1.209072,0.0,50,100,50,0,8091,13896,5832,0,7.53452685422,6.95342465753,12.8852040816,None,-3.40000009537,-4.40000009537,-1.20000004768,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583457140,3.35472,20,-105.0,-18.625,-90.3125,-23.375,-87.1875,-17.125,None,None,0.68164,1.43032,0.9422,0.0,50,100,50,0,6129,15656,4574,0,7.70987654321,6.4,12.2249322493,None,-4.90000009537,-8.30000019073,-3.90000009537,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583457141,2.799456,21,-102.125,-17.125,-87.4375,-20.125,-87.25,-16.5,None,None,1.528008,2.168808,0.35164,0.0,50,100,50,0,11310,19436,2336,0,8.84105960265,7.96450939457,9.40625,None,2.70000004768,-5.19999980927,-4.40000009537,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583457142,3.655488,22,-105.25,-22.0625,-94.25,-20.8125,-86.625,-18.3125,None,None,1.187784,0.711136,0.168864,0.0,50,100,33,0,9796,7964,1430,0,9.34894613583,6.1496350365,7.1511627907,None,-2.40000009537,-6.90000009537,-2.79999995232,None
