grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.424,-86.9225,363,2425,398,850,None,None,None,None,1581126863,18.205296,8,-87.1875,-11.8125,-107.875,-22.5,None,None,None,None,7.562968,9.483384,0.0,0.0,25,100,0,0,21916,82056,0,0,18.5027068832,7.0627753304,None,None,10.0,-7.80000019073,None,None
40.424,-86.9225,363,2425,413,1150,44,2000,None,None,1581126864,14.846592,9,-86.625,-13.0625,-90.25,-18.3125,-105.6875,-26.0,None,None,2.380456,6.952104,0.0126,0.0,25,50,44,0,7176,12110,44,0,16.7777777778,21.8362068966,15.0,None,4.59999990463,13.1999998093,-12.6999998093,None
40.424,-86.9225,363,2425,413,1150,44,2000,None,None,1581126865,18.128544,10,-88.25,-12.8125,-91.6875,-17.3125,-107.0,-25.125,None,None,11.09932,20.67936,0.0,0.0,25,50,0,0,29332,42087,0,0,19.4270072993,23.3703931204,None,None,15.8000001907,15.0,-9.30000019073,None
40.424,-86.9225,363,2425,413,1150,None,None,None,None,1581126866,30.808016,11,-85.625,-12.375,-91.5,-18.6875,None,None,None,None,11.263672,45.75508,0.0,0.0,25,50,0,0,27745,71806,0,0,19.9619903248,25.0844806008,None,None,13.1000003815,12.5,None,None
40.42434187,-86.92270607,363,2425,413,1150,None,None,None,None,1581126867,61.770864,12,-88.3125,-12.9375,-91.8125,-18.9375,None,None,None,None,8.219672,44.091888,0.0,0.0,25,50,0,0,21151,70940,0,0,19.4065550907,25.1624423963,None,None,18.2999992371,15.1000003815,None,None
40.424,-86.9225,363,2425,413,1150,None,None,None,None,1581126868,43.48728,13,-93.0,-13.1875,-89.3125,-18.3125,None,None,None,None,14.62148,42.017104,0.0,0.0,25,50,0,0,38020,67724,0,0,19.5979492715,24.6437108708,None,None,12.6999998093,15.5,None,None
40.424,-86.9225,363,2425,413,1150,None,None,None,None,1581126869,56.723232,14,-91.6875,-11.5625,-92.8125,-14.8125,None,None,None,None,14.071272,41.475504,0.0,0.0,25,50,0,0,35201,65778,0,0,20.2777136259,26.0262828536,None,None,13.6999998093,14.3999996185,None,None
40.424,-86.9225,363,2425,413,1150,None,None,None,None,1581126870,44.579008,15,-91.0,-13.25,-94.375,-19.625,None,None,None,None,12.499176,38.958888,0.0,0.0,25,50,0,0,30492,62827,0,0,20.7743702081,26.2486486486,None,None,15.3000001907,12.8000001907,None,None
40.424,-86.9225,363,2425,413,1150,None,None,None,None,1581126871,55.890016,16,-90.6875,-12.75,-91.5,-19.5625,None,None,None,None,10.77912,44.578392,0.0,0.0,25,50,0,0,23307,69923,0,0,22.3149516771,26.6056955093,None,None,16.1000003815,12.6999998093,None,None
40.424,-86.9225,363,2425,413,1150,None,None,None,None,1581126872,49.874976,17,-87.1875,-13.0,-95.5,-18.6875,None,None,None,None,14.593472,40.185088,0.0,0.0,25,50,0,0,34014,66880,0,0,21.124230554,25.1348441926,None,None,17.7000007629,10.8000001907,None,None
