grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.42343594,-86.90765081,400,5145,22,2000,283,2175,None,None,1583545513,38.00712,5,-86.875,-12.625,-92.5625,-13.4375,-92.4375,-15.5,None,None,0.819312,4.673352,10.999904,0.0,25,50,25,0,3071,11362,24339,0,14.5024875622,19.5552050473,21.8485436893,None,11.5,11.3999996185,8.80000019073,None
40.42343527,-86.90765037,22,2000,400,5145,283,2175,None,None,1583545514,14.28648,6,-89.0,-14.0,-87.125,-12.6875,-89.75,-14.125,None,None,8.128656,2.483968,2.60592,0.0,50,25,25,0,19125,9641,9043,0,17.8243902439,13.9736211031,15.7715736041,None,11.0,10.6000003815,11.3999996185,None
40.42343517,-86.90764976,22,2000,400,5145,283,2175,None,None,1583545515,22.742688,7,-89.6875,-14.0625,-86.875,-12.75,-89.75,-16.1875,None,None,18.880968,4.988896,9.2288,0.0,50,25,25,0,38043,16918,28120,0,20.0910165485,16.1997226075,17.3072487644,None,9.60000038147,9.60000038147,9.0,None
40.42343525,-86.90764921,22,2000,400,5145,283,2175,None,None,1583545516,39.690352,8,-89.5625,-12.1875,-86.4375,-12.875,-87.875,-13.375,None,None,10.808224,4.379672,3.404272,0.0,50,25,25,0,21967,16225,8731,0,21.46485623,15.761299435,19.8305084746,None,11.1000003815,10.6999998093,14.6999998093,None
40.42343526,-86.90764879,22,2000,400,5145,283,2175,None,None,1583545517,17.051232,9,-89.5625,-13.6875,-86.5625,-11.125,-88.6875,-14.3125,None,None,9.927168,2.876192,5.135688,0.0,50,25,25,0,23373,11447,13173,0,20.8613569322,14.4565619224,20.1105610561,None,10.6000003815,10.3000001907,13.3000001907,None
40.42343536,-86.90764832,22,2000,400,5145,283,2175,None,None,1583545518,14.34432,10,-89.0,-15.125,-86.3125,-11.6875,-88.125,-13.625,None,None,9.174688,1.588592,5.594608,0.0,50,25,25,0,21144,6345,14253,0,20.5924092409,14.8592375367,20.2914285714,None,8.89999961853,10.8000001907,18.1000003815,None
40.42343542,-86.90764802,22,2000,400,5145,283,2175,None,None,1583545519,15.084672,11,-87.5625,-14.3125,-86.25,-12.5625,-86.875,-13.875,None,None,4.98416,1.227104,4.914136,0.0,50,25,25,0,10785,4700,11829,0,19.6450892857,15.6951219512,20.9095744681,None,8.69999980927,8.89999961853,12.0,None
40.42343545,-86.90764787,22,2000,400,5145,283,2175,None,None,1583545520,11.648976,12,-88.1875,-11.875,-86.0625,-12.9375,-88.5,-13.8125,None,None,3.385024,0.960152,3.929536,0.0,50,25,25,0,7721,3952,11925,0,21.5528846154,14.9724770642,17.7536231884,None,12.1000003815,10.1000003815,11.1000003815,None
40.42343546,-86.9076478,22,2000,400,5145,283,2175,None,None,1583545521,8.132304,13,-87.875,-15.375,-86.6875,-12.9375,-88.5625,-13.5,None,None,3.073832,3.52864,3.96296,0.0,50,25,25,0,6409,15842,10305,0,20.7791411043,14.1118598383,20.0412573674,None,13.6000003815,7.90000009537,10.6000003815,None
40.42343547,-86.9076477,22,2000,400,5145,283,2175,None,None,1583545522,8.44464,14,-87.3125,-12.3125,-85.8125,-12.4375,-89.75,-14.5,None,None,3.74728,1.239824,1.838288,0.0,50,25,25,0,8158,5353,5421,0,19.3464912281,13.75,18.67752443,None,12.5,9.5,7.19999980927,None
40.42343549,-86.9076476,22,2000,400,5145,283,2175,None,None,1583545523,7.021776,15,-86.5,-13.1875,-85.75,-13.5,-89.125,-12.9375,None,None,7.57588,2.4276,2.000784,0.0,50,25,25,0,14036,11255,4903,0,20.1358313817,13.7100775194,21.1758957655,None,13.8000001907,10.8000001907,18.5,None
40.42343549,-86.90764754,22,2000,400,5145,283,2175,None,None,1583545524,11.139984,16,-85.25,-14.25,-85.9375,-13.4375,-87.6875,-12.1875,None,None,7.561512,2.269984,1.713472,0.0,50,25,25,0,15547,7038,4849,0,21.9431578947,17.4333333333,18.8878504673,None,13.5,9.30000019073,12.3999996185,None
40.42343549,-86.90764747,22,2000,400,5145,283,2175,None,None,1583545525,10.00632,17,-88.875,-14.5,-88.0,-9.4375,-88.625,-14.75,None,None,6.225584,3.395568,2.546328,0.0,50,25,25,0,11511,12143,5061,0,21.9662576687,16.100660066,22.7375,None,12.6000003815,9.60000038147,9.30000019073,None
40.42343549,-86.90764743,22,2000,400,5145,283,2175,None,None,1583545526,11.255664,18,-88.3125,-13.5625,-85.3125,-13.1875,-89.5,-13.375,None,None,6.921288,4.427048,3.801448,0.0,50,25,25,0,11619,16952,10949,0,21.1748466258,14.9885641677,17.8026101142,None,9.80000019073,6.69999980927,10.8999996185,None
40.42343549,-86.90764743,22,2000,400,5145,283,2175,None,None,1583545527,11.174688,19,-89.375,-13.3125,-85.1875,-10.5625,-90.3125,-13.5625,None,None,3.950728,7.12488,7.440032,0.0,50,25,25,0,7188,24843,16556,0,21.6244897959,16.1448792673,21.8269230769,None,15.6000003815,11.8999996185,7.30000019073,None
40.42343548,-86.90764742,22,2000,400,5145,283,2175,None,None,1583545528,19.943232,20,-89.9375,-9.6875,-84.375,-12.4375,-89.1875,-14.3125,None,None,17.665832,4.836856,6.100328,0.0,50,25,25,0,27205,16932,13207,0,21.5215736041,16.1972860125,21.1419656786,None,13.3000001907,3.20000004768,9.0,None
40.42343547,-86.90764742,22,2000,400,5145,283,2175,None,None,1583545529,21.817248,21,-86.9375,-13.4375,-84.875,-13.0,-86.5625,-13.75,None,None,17.746552,4.626208,13.3296,0.0,50,25,25,0,31350,14779,33506,0,19.837398374,17.0500595948,20.1512163051,None,14.0,10.5,16.2000007629,None
40.42343547,-86.90764742,22,2000,400,5145,283,2175,None,None,1583545530,33.72072,22,-86.0625,-14.375,-84.6875,-11.375,-86.0,-13.5,None,None,21.556264,1.814768,10.954808,0.0,50,25,25,0,35257,6729,27883,0,21.2528433946,14.5641547862,19.9108231707,None,9.30000019073,10.6000003815,16.8999996185,None
40.42343548,-86.9076474,22,2000,400,5145,283,2175,None,None,1583545531,30.562656,23,-85.9375,-14.125,-85.0625,-11.75,-86.125,-12.8125,None,None,6.562344,2.736792,16.097256,0.0,50,25,25,0,11679,8919,37549,0,20.7541436464,16.7598152425,21.5124637681,None,10.1999998093,0.20000000298,15.0,None
40.42343546,-86.90764736,22,2000,400,5145,283,2175,None,None,1583545532,25.414896,24,-85.75,-14.5,-85.25,-11.6875,-85.8125,-14.4375,None,None,17.757944,3.534368,11.70424,0.0,50,25,25,0,30983,11403,22575,0,22.0401948843,16.8336380256,23.5023386342,None,11.0,5.40000009537,18.5,None
40.42343543,-86.90764734,22,2000,400,5145,283,2175,None,None,1583545533,26.907168,25,-85.75,-14.3125,-85.875,-13.5625,-85.75,-13.5625,None,None,31.393664,5.439536,18.014968,0.0,50,25,25,0,57475,18701,33429,0,24.1538461538,15.9165763814,24.1828457447,None,13.0,10.8999996185,18.2000007629,None
40.42343543,-86.90764729,22,2000,400,5145,283,2175,None,None,1583545534,50.621568,26,-87.375,-13.9375,-86.375,-13.1875,-86.9375,-11.6875,None,None,18.974352,6.613296,23.233992,0.0,50,25,25,0,28729,20325,40726,0,21.8383233533,17.1386138614,25.0891579527,None,10.1999998093,4.69999980927,16.1000003815,None
40.42343543,-86.90764725,22,2000,400,5145,283,2175,None,None,1583545535,44.987952,27,-87.0,-12.5625,-85.9375,-12.4375,-86.9375,-11.5625,None,None,1.761344,6.9596,18.638192,0.0,50,25,25,0,3578,22294,35562,0,21.0979020979,16.372255489,23.7643034826,None,9.0,4.80000019073,19.8999996185,None
40.42343542,-86.90764721,22,2000,400,5145,283,2175,None,None,1583545536,27.554976,28,-87.625,-13.4375,-85.8125,-13.25,-86.8125,-13.125,None,None,2.409264,5.761056,16.908856,0.0,50,25,25,0,5620,14738,30994,0,20.5166666667,19.8126843658,24.437544611,None,10.3000001907,5.30000019073,16.7000007629,None
