grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4231972,-86.9078607,400,850,400,5145,None,None,None,None,1583548503,20.843248,15,-86.125,-17.125,-84.8125,-13.0,None,None,None,None,28.50008,0.0,0.0,0.0,100,0,0,0,73248,0,0,0,20.6050613497,None,None,None,7.09999990463,None,None,None
40.423,-86.9075,400,850,400,5145,None,None,None,None,1583548504,22.15272,16,-85.6875,-15.3125,-83.75,-13.4375,None,None,None,None,37.302248,0.0,0.0,0.0,100,0,0,0,98620,0,0,0,20.4028985507,None,None,None,10.1999998093,None,None,None
40.423,-86.9075,400,850,400,5145,None,None,None,None,1583548505,40.063104,17,-85.9375,-14.5,-82.9375,-13.9375,None,None,None,None,32.86648,0.0,0.0,0.0,100,0,0,0,82072,0,0,0,21.1371818746,None,None,None,2.90000009537,None,None,None
40.42338774,-86.90764748,400,850,400,5145,None,None,None,None,1583548506,32.240016,18,-85.875,-14.9375,-83.375,-12.5625,None,None,None,None,43.898872,0.0,0.0,0.0,100,0,0,0,106616,0,0,0,21.5645879733,None,None,None,7.30000019073,None,None,None
40.42339018,-86.90764871,400,850,400,5145,None,None,None,None,1583548507,30.493248,19,-86.0,-14.9375,-82.625,-11.1875,None,None,None,None,32.390112,0.0,0.0,0.0,100,0,0,0,79612,0,0,0,21.1279439847,None,None,None,2.90000009537,None,None,None
40.42339207,-86.90764798,400,850,400,5145,None,None,None,None,1583548508,40.048416,20,-85.6875,-15.5,-83.25,-12.0,None,None,None,None,14.173688,0.0,0.0,0.0,100,0,0,0,37600,0,0,0,20.36640625,None,None,None,1.39999997616,None,None,None
40.42339417,-86.90764726,400,850,400,5145,None,None,None,None,1583548509,13.99728,21,-85.25,-14.6875,-82.75,-13.9375,None,None,None,None,11.473376,0.0,0.0,0.0,100,0,0,0,28936,0,0,0,20.5150812065,None,None,None,8.69999980927,None,None,None
40.42339527,-86.90764696,400,850,400,5145,None,None,None,None,1583548510,7.854672,22,-86.3125,-14.25,-83.875,-14.625,None,None,None,None,19.298376,0.0,0.0,0.0,100,0,0,0,41080,0,0,0,22.6306306306,None,None,None,10.6999998093,None,None,None
40.42339576,-86.90764634,400,850,400,5145,None,None,None,None,1583548511,18.890544,23,-87.0,-15.3125,-83.3125,-14.75,None,None,None,None,13.830712,0.0,0.0,0.0,100,0,0,0,30392,0,0,0,21.0575980392,None,None,None,13.3999996185,None,None,None
40.42339632,-86.90764522,400,850,400,5145,None,None,None,None,1583548512,11.301936,24,-84.0,-14.4375,-83.4375,-14.0625,None,None,None,None,8.232344,0.0,0.0,0.0,84,0,0,0,16580,0,0,0,21.4763271162,None,None,None,9.5,None,None,None
40.42339659,-86.90764462,400,850,400,5145,None,None,None,None,1583548513,8.352096,25,-82.8125,-14.1875,-84.25,-14.0,None,None,None,None,4.981288,0.0,0.0,0.0,80,0,0,0,9736,0,0,0,24.0829959514,None,None,None,11.5,None,None,None
40.42339711,-86.90764354,400,850,400,5145,None,None,None,None,1583548514,7.102752,26,-82.6875,-14.0,-82.1875,-12.625,None,None,None,None,12.438656,0.0,0.0,0.0,100,0,0,0,24232,0,0,0,22.3737623762,None,None,None,6.59999990463,None,None,None
40.42339715,-86.90764275,400,850,400,5145,None,None,None,None,1583548515,5.4948,27,-83.625,-14.4375,-81.875,-13.125,None,None,None,None,8.707984,0.0,0.0,0.0,96,0,0,0,17684,0,0,0,22.4983277592,None,None,None,9.69999980927,None,None,None
40.42339688,-86.90764231,400,850,400,5145,None,None,None,None,1583548516,12.933024,28,-83.5,-15.4375,-82.0,-13.1875,None,None,None,None,14.2136,0.0,0.0,0.0,100,0,0,0,30084,0,0,0,22.2301886792,None,None,None,10.0,None,None,None
40.42339655,-86.90764194,400,850,400,5145,None,None,None,None,1583548517,9.532032,29,-84.25,-14.1875,-82.0625,-14.5625,None,None,None,None,7.929712,0.0,0.0,0.0,100,0,0,0,16664,0,0,0,22.7898230088,None,None,None,7.69999980927,None,None,None
40.42339627,-86.90764175,400,850,400,5145,None,None,None,None,1583548518,9.462624,30,-84.0625,-14.75,-81.4375,-13.625,None,None,None,None,6.61748,0.0,0.0,0.0,100,0,0,0,13876,0,0,0,22.7549407115,None,None,None,5.69999980927,None,None,None
40.42339613,-86.90764165,400,850,400,5145,None,None,None,None,1583548519,6.628464,31,-84.1875,-14.0625,-81.0625,-12.6875,None,None,None,None,13.292192,0.0,0.0,0.0,100,0,0,0,25816,0,0,0,22.2232030265,None,None,None,10.5,None,None,None
40.42339607,-86.90764159,400,850,400,5145,None,None,None,None,1583548520,11.267232,32,-84.0625,-13.6875,-80.8125,-14.125,None,None,None,None,4.120952,0.0,0.0,0.0,88,0,0,0,8100,0,0,0,20.9041916168,None,None,None,7.19999980927,None,None,None
40.42339587,-86.90764163,400,850,400,5145,None,None,None,None,1583548521,4.303296,33,-84.0,-15.1875,-80.875,-14.4375,None,None,None,None,7.185584,0.0,0.0,0.0,100,0,0,0,15340,0,0,0,21.454,None,None,None,4.80000019073,None,None,None
40.42339568,-86.90764172,400,850,400,5145,None,None,None,None,1583548522,7.299408,34,-84.375,-16.4375,-81.5,-14.5625,None,None,None,None,5.070896,0.0,0.0,0.0,72,0,0,0,10976,0,0,0,22.0347107438,None,None,None,1.29999995232,None,None,None
40.42339546,-86.90764184,400,850,400,5145,None,None,None,None,1583548523,5.066784,35,-84.4375,-14.625,-81.1875,-12.875,None,None,None,None,8.205168,0.0,0.0,0.0,88,0,0,0,17068,0,0,0,21.4947916667,None,None,None,7.69999980927,None,None,None
40.42339537,-86.90764192,400,850,400,5145,None,None,None,None,1583548524,7.588608,36,-84.5625,-14.1875,-81.125,-13.8125,None,None,None,None,13.817776,0.0,0.0,0.0,100,0,0,0,27104,0,0,0,22.2118181818,None,None,None,7.5,None,None,None
40.42339532,-86.90764197,400,850,400,5145,None,None,None,None,1583548525,10.341792,37,-84.5,-14.5625,-82.0,-14.5,None,None,None,None,8.927608,0.0,0.0,0.0,100,0,0,0,18684,0,0,0,21.27696793,None,None,None,14.1000003815,None,None,None
40.42339532,-86.90764201,400,850,400,5145,None,None,None,None,1583548526,9.740256,38,-84.625,-14.3125,-81.8125,-13.125,None,None,None,None,16.621408,0.0,0.0,0.0,100,0,0,0,30588,0,0,0,21.2299618321,None,None,None,13.1999998093,None,None,None
40.42339531,-86.90764202,400,850,400,5145,None,None,None,None,1583548527,15.420144,39,-84.5,-14.375,-81.25,-12.625,None,None,None,None,22.634048,0.0,0.0,0.0,100,0,0,0,39112,0,0,0,21.4429012346,None,None,None,14.1000003815,None,None,None
40.4233953,-86.90764204,400,850,400,5145,None,None,None,None,1583548528,20.695152,40,-83.625,-14.75,-82.25,-14.1875,None,None,None,None,30.68572,0.0,0.0,0.0,100,0,0,0,54436,0,0,0,21.6854741897,None,None,None,6.0,None,None,None
40.42339529,-86.90764205,400,850,400,5145,None,None,None,None,1583548529,26.467584,41,-83.5,-14.4375,-81.4375,-13.625,None,None,None,None,21.407512,0.0,0.0,0.0,100,0,0,0,44708,0,0,0,22.154316272,None,None,None,10.6999998093,None,None,None
40.42339528,-86.90764205,400,850,400,5145,None,None,None,None,1583548530,20.082048,42,-83.25,-14.6875,-81.9375,-14.0625,None,None,None,None,21.324048,0.0,0.0,0.0,88,0,0,0,40876,0,0,0,23.2085374388,None,None,None,11.0,None,None,None
40.42339529,-86.90764208,400,850,400,5145,None,None,None,None,1583548531,19.815984,43,-83.0625,-14.25,-80.9375,-13.5625,None,None,None,None,9.016416,0.0,0.0,0.0,96,0,0,0,15980,0,0,0,23.2648809524,None,None,None,13.1999998093,None,None,None
40.42339532,-86.90764212,400,850,400,5145,None,None,None,None,1583548532,8.016624,44,-83.5625,-13.375,-80.6875,-12.5,None,None,None,None,16.874344,0.0,0.0,0.0,96,0,0,0,32936,0,0,0,21.4691252144,None,None,None,10.8000001907,None,None,None
40.42339532,-86.90764216,400,850,400,5145,None,None,None,None,1583548533,14.945856,45,-83.5,-14.3125,-81.0,-12.5625,None,None,None,None,13.899784,0.0,0.0,0.0,100,0,0,0,29164,0,0,0,22.1705583756,None,None,None,10.3000001907,None,None,None
40.42339533,-86.9076422,400,850,400,5145,None,None,None,None,1583548534,12.933024,46,-83.375,-13.9375,-81.125,-12.4375,None,None,None,None,8.624432,0.0,0.0,0.0,84,0,0,0,17340,0,0,0,22.7970149254,None,None,None,7.80000019073,None,None,None
40.42339535,-86.90764224,400,850,400,5145,None,None,None,None,1583548535,8.490912,47,-83.625,-13.0,-80.875,-13.5625,None,None,None,None,9.198376,0.0,0.0,0.0,96,0,0,0,18644,0,0,0,22.4458128079,None,None,None,10.0,None,None,None
40.42339536,-86.90764227,400,850,400,5145,None,None,None,None,1583548536,7.738992,48,-83.5625,-13.875,-80.5625,-12.5,None,None,None,None,8.37032,0.0,0.0,0.0,100,0,0,0,18276,0,0,0,21.6851574213,None,None,None,8.39999961853,None,None,None
40.42339537,-86.90764233,400,850,400,5145,None,None,None,None,1583548537,7.646448,49,-83.0625,-14.4375,-80.875,-12.5,None,None,None,None,12.94484,0.0,0.0,0.0,100,0,0,0,27384,0,0,0,21.9310631229,None,None,None,7.80000019073,None,None,None
40.42339533,-86.90764238,400,850,400,5145,None,None,None,None,1583548538,12.308352,50,-83.0,-14.4375,-82.0,-13.375,None,None,None,None,14.088216,0.0,0.0,0.0,92,0,0,0,31304,0,0,0,22.0094582975,None,None,None,11.3000001907,None,None,None
