grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,15,5145,274,850,None,None,None,None,1583811174,34.992592,4,-93.5625,-14.6875,-103.625,-16.9375,None,None,None,None,0.593144,34.63924,0.0,0.0,25,100,0,0,2028,78748,0,0,15.488372093,21.7308838133,None,None,3.79999995232,4.90000009537,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811175,27.700224,5,-92.8125,-14.9375,-99.5625,-19.9375,None,None,None,None,0.043424,19.622528,0.0,0.0,21,100,0,0,200,45728,0,0,15.4705882353,21.5221518987,None,None,-4.19999980927,6.19999980927,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811176,19.064064,6,-90.3125,-13.625,-104.0,-20.75,None,None,None,None,1.763048,20.367136,0.0,0.0,25,100,0,0,8458,49516,0,0,12.7192982456,20.8348765432,None,None,10.3000001907,2.90000009537,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811177,29.139792,7,-93.1875,-13.5625,-99.4375,-19.3125,None,None,None,None,2.228728,27.13008,0.0,0.0,25,100,0,0,7623,55424,0,0,16.2559241706,22.9677419355,None,None,3.09999990463,5.19999980927,None,None
40.43104182,-86.91856496,15,5145,274,850,None,None,None,None,1583811178,19.445808,8,-92.0,-13.875,-100.3125,-19.0625,None,None,None,None,1.418648,20.393088,0.0,0.0,25,100,0,0,4941,43908,0,0,16.3111888112,22.6146341463,None,None,2.90000009537,3.79999995232,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811179,28.954704,9,-90.0625,-13.5,-100.625,-16.75,None,None,None,None,0.074032,32.398152,0.0,0.0,25,100,0,0,294,71660,0,0,14.0740740741,22.5910577972,None,None,1.0,2.40000009537,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811180,29.394288,10,-91.3125,-13.1875,-100.3125,-20.5,None,None,None,None,1.94072,29.156368,0.0,0.0,25,100,0,0,5981,61256,0,0,17.5555555556,22.6873417722,None,None,11.0,4.30000019073,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811181,26.814624,11,-89.625,-14.375,-103.375,-18.6875,None,None,None,None,2.144808,31.418208,0.0,0.0,25,100,0,0,7266,73736,0,0,16.3315508021,21.2537612839,None,None,-2.20000004768,4.30000019073,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811182,25.484304,12,-89.4375,-13.375,-99.75,-19.4375,None,None,None,None,0.701088,22.545904,0.0,0.0,25,100,0,0,2191,50444,0,0,17.0666666667,21.6647807638,None,None,4.09999990463,3.59999990463,None,None
40.431,-86.9185,15,5145,274,850,None,None,None,None,1583811183,32.760576,13,-90.375,-14.0,-99.5625,-21.0,None,None,None,None,1.189824,47.000488,0.0,0.0,25,100,0,0,4210,95428,0,0,15.9011857708,22.9910514541,None,None,3.0,5.0,None,None
