grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.44182117,-86.91860609,406,5145,28,2000,None,None,None,None,1582912635,27.175616,5,-96.5,-14.6875,-100.9375,-14.5625,None,None,None,None,5.685888,19.813288,0.0,0.0,23,50,0,0,20493,46313,0,0,15.0267379679,20.5982490272,None,None,3.29999995232,4.69999980927,None,None
40.4415,-86.9185,406,5145,28,2000,None,None,None,None,1582912636,24.142416,6,-97.9375,-14.625,-105.6875,-16.375,None,None,None,None,5.411056,19.237368,0.0,0.0,23,50,0,0,19352,40743,0,0,15.1871476888,21.8283828383,None,None,0.800000011921,5.09999990463,None,None
40.4418208,-86.91860608,406,5145,28,2000,None,None,None,None,1582912637,22.696416,7,-96.1875,-14.0625,-99.125,-10.0,None,None,None,None,5.18616,19.679568,0.0,0.0,23,50,0,0,20527,54664,0,0,14.1961414791,18.484502447,None,None,1.39999997616,1.10000002384,None,None
40.4415,-86.9185,406,5145,28,2000,None,None,None,None,1582912638,20.267136,8,-93.3125,-16.0625,-100.4375,-15.4375,None,None,None,None,5.824848,18.994616,0.0,0.0,23,50,0,0,20424,41744,0,0,15.4446831364,21.4524312896,None,None,0.699999988079,-1.10000002384,None,None
40.44182088,-86.91860435,406,5145,28,2000,None,None,None,None,1582912639,24.720816,9,-93.875,-14.625,-103.0,-16.875,None,None,None,None,7.585384,16.808008,0.0,0.0,23,50,0,0,20393,81505,0,0,18.6755888651,12.4668493151,None,None,1.10000002384,-2.20000004768,None,None
40.44182172,-86.91860296,406,5145,28,2000,None,None,None,None,1582912640,22.291536,10,-93.6875,-13.875,-103.6875,-15.5625,None,None,None,None,7.07896,18.096912,0.0,0.0,23,50,0,0,21326,82078,0,0,17.4881808839,12.8001083424,None,None,7.30000019073,5.0,None,None
40.44182255,-86.91860197,406,5145,28,2000,None,None,None,None,1582912641,21.851952,11,-93.5,-8.8125,-99.1875,-9.25,None,None,None,None,8.138016,25.5034,0.0,0.0,23,50,0,0,20251,81340,0,0,20.0365198711,17.0753990094,None,None,4.80000019073,5.69999980927,None,None
40.44182343,-86.91860174,406,5145,28,2000,None,None,None,None,1582912642,29.405856,12,-93.625,-14.75,-99.25,-15.75,None,None,None,None,7.695248,23.450568,0.0,0.0,23,50,0,0,20133,75467,0,0,19.4661654135,16.6033878505,None,None,6.19999980927,-0.800000011921,None,None
40.44182462,-86.91860271,406,5145,28,2000,None,None,None,None,1582912643,30.71304,13,-93.8125,-14.9375,-98.3125,-15.125,None,None,None,None,6.303408,21.9944,0.0,0.0,23,50,0,0,20369,73820,0,0,16.5096566524,16.5593426659,None,None,3.5,4.69999980927,None,None
40.44182565,-86.91860289,406,5145,28,2000,None,None,None,None,1582912644,24.281232,14,-93.375,-14.3125,-98.625,-14.0,None,None,None,None,8.107696,22.896048,0.0,0.0,23,50,0,0,21173,77602,0,0,19.5152439024,15.9631548647,None,None,7.30000019073,2.40000009537,None,None
