grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4535,-86.924,493,5145,483,2000,427,2175,None,None,1583619190,66.735824,5,-71.8125,-19.0,-77.9375,-14.625,-81.125,-14.4375,None,None,14.459264,44.96936,26.515256,0.0,23,50,25,0,29507,54060,40408,0,22.8346180799,25.1940063091,26.9730521383,None,11.8999996185,19.8999996185,24.1000003815,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619191,77.41144,6,-100.875,-17.9375,-75.8125,-14.75,-74.8125,-17.375,None,None,6.06928,5.768744,3.241672,0.0,50,50,25,0,15767,10776,7042,0,18.3253731343,23.9826839827,21.6722972973,None,10.3999996185,26.1000003815,16.1000003815,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619192,45.396608,7,-102.3125,-19.25,-75.5625,-11.3125,-72.5625,-19.75,None,None,32.277464,29.753456,26.145408,0.0,50,50,25,0,68004,51861,42623,0,22.5234613041,25.1280746395,25.9983561644,None,11.3000001907,15.3999996185,13.0,None
40.4536047,-86.92421132,46,9820,483,2000,103,2425,None,None,1583619193,86.646192,8,-103.5,-19.3125,-75.6875,-15.5625,-71.125,-18.375,None,None,25.986328,15.118528,24.746592,0.0,50,50,25,0,57030,27632,38980,0,21.9957295374,24.5612535613,26.4900932401,None,8.60000038147,20.0,22.5,None
40.45360449,-86.92421203,46,9820,483,2000,103,2425,None,None,1583619194,59.941984,9,-100.125,-14.3125,-79.375,-16.625,-70.125,-17.9375,None,None,17.789664,30.724464,22.104744,0.0,50,50,25,0,40699,53732,35151,0,20.4307116105,25.0367705835,26.4695273632,None,15.6000003815,11.3999996185,19.3999996185,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619195,66.34248,10,-111.0,-18.625,-83.125,-15.375,-74.0,-17.9375,None,None,31.089216,27.462264,24.35188,0.0,50,50,25,0,66359,48431,40730,0,21.8194444444,24.8731277533,25.7405740011,None,9.5,22.6000003815,11.8000001907,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619196,80.323248,11,-95.4375,-18.6875,-96.0,-14.4375,-78.0625,-16.375,None,None,30.20452,46.401728,23.83628,0.0,50,50,25,0,57374,74610,43237,0,23.9192200557,26.4665057333,24.5309306079,None,14.6000003815,23.7000007629,14.6999998093,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619197,90.798688,12,-97.3125,-18.5625,-96.0625,-13.75,-73.625,-16.75,None,None,36.217712,29.144528,25.097672,0.0,50,50,25,0,63639,44651,39897,0,25.1473214286,27.0082720588,26.4968838527,None,15.1999998093,22.5,20.5,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619198,83.97688,13,-99.0625,-17.9375,-85.875,-15.5625,-77.25,-13.875,None,None,30.897136,28.699792,23.988832,0.0,50,50,25,0,61312,47726,40053,0,23.3017356475,26.1170395869,25.645179692,None,13.5,24.8999996185,15.1000003815,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619199,76.58304,14,-102.125,-20.3125,-76.8125,-14.1875,-74.9375,-16.6875,None,None,35.518344,14.837248,24.185232,0.0,50,50,25,0,69155,23573,39805,0,23.3453510436,26.5258064516,25.9380378657,None,8.30000019073,27.1000003815,18.0,None
40.4535,-86.924,46,9820,483,2000,103,2425,None,None,1583619200,68.65608,15,-103.0,-18.3125,-80.5625,-13.75,-74.25,-17.0625,None,None,44.048896,45.711248,22.948872,0.0,50,50,25,0,73947,68076,39454,0,25.7729154347,27.3001293661,25.2469951923,None,14.6000003815,20.7000007629,20.2999992371,None
40.4535,-86.924,427,2175,None,None,46,9820,None,None,1583619201,103.991904,16,-81.625,-7.3125,None,None,-103.5625,-10.125,None,None,0.238656,0.013984,0.1242,0.0,50,11,25,0,674,22,212,0,13.6,27.0,25.0,None,25.2000007629,None,None,None
40.45360275,-86.92421177,427,2175,103,2425,46,9820,None,None,1583619202,54.30248,17,-80.25,-13.875,-74.625,-18.625,-98.6875,-19.125,None,None,29.416472,20.640616,42.3724,0.0,25,25,50,0,44060,40798,83017,0,27.0277629471,23.2387720296,23.3657013061,None,24.2000007629,16.6000003815,11.8999996185,None
40.4535,-86.924,427,2175,103,2425,46,9820,None,None,1583619203,90.210352,18,-81.4375,-14.0625,-72.3125,-18.25,-97.6875,-17.5,None,None,28.2114,24.302736,43.608736,0.0,25,25,50,0,41158,40732,79941,0,27.4431621466,25.7670291929,24.217071792,None,19.8999996185,19.6000003815,10.8999996185,None
40.45360487,-86.92420851,427,2175,103,2425,46,9820,None,None,1583619204,87.790656,19,-79.1875,-14.9375,-76.625,-17.9375,-97.6875,-18.5625,None,None,20.851224,21.603384,38.483848,0.0,25,25,50,0,34332,35132,67918,0,25.7151556157,26.1238471673,25.0267449446,None,22.2000007629,18.7999992371,13.3999996185,None
40.4535,-86.924,427,2175,103,2425,46,9820,None,None,1583619205,74.856528,20,-77.1875,-15.75,-71.75,-19.375,-100.9375,-19.1875,None,None,20.585688,21.003992,35.200424,0.0,25,25,50,0,32960,33941,62762,0,26.1834403997,26.0631944444,24.9148486981,None,14.8999996185,13.1000003815,7.30000019073,None
40.4535,-86.924,427,2175,103,2425,46,9820,None,None,1583619206,64.02888,21,-74.75,-12.5625,-68.0,-16.375,-96.1875,-14.3125,None,None,19.45184,13.064304,22.431816,0.0,25,25,50,0,29617,21161,45887,0,26.8793235972,25.9194560669,22.4441340782,None,21.5,15.1999998093,15.0,None
40.4535,-86.924,427,2175,103,2425,46,9820,None,None,1583619207,55.202496,22,-75.6875,-16.125,-71.1875,-17.375,-95.1875,-15.75,None,None,18.096736,9.546912,29.12884,0.0,25,25,50,0,31959,13621,52921,0,24.9134477825,27.5024549918,24.3649517685,None,12.3000001907,9.10000038147,10.6000003815,None
40.45360576,-86.92421347,427,2175,103,2425,46,9820,None,None,1583619208,49.383792,23,-77.25,-14.8125,-71.1875,-12.5,-90.75,-17.8125,None,None,18.620864,2.967248,9.513248,0.0,25,25,50,0,33710,4655,17410,0,24.7598072953,26.68,24.464,None,18.0,18.1000003815,9.19999980927,None
