grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453132,-86.9238703,103,2425,175,850,483,2000,None,None,1583611226,47.429376,5,-76.125,-18.0625,-84.875,-12.3125,-87.875,-13.5625,None,None,8.242136,22.604872,18.877288,0.0,25,100,50,0,17867,37448,38762,0,22.1633605601,22.8863232682,23.3355408389,None,12.8999996185,13.3000001907,17.7000007629,None
40.45362099,-86.92398127,103,2425,175,850,483,2000,None,None,1583611227,51.435792,6,-75.625,-16.4375,-83.1875,-13.6875,-89.625,-14.4375,None,None,12.315776,21.483984,19.675808,0.0,25,100,50,0,23834,34500,45298,0,23.2664329535,21.3843537415,21.8510273973,None,14.6000003815,18.6000003815,12.6999998093,None
40.4535,-86.9235,103,2425,175,850,483,2000,None,None,1583611228,39.2972,7,-76.625,-16.8125,-82.75,-11.5625,-91.0625,-10.9375,None,None,11.174152,23.397832,21.364248,0.0,25,100,50,0,19894,38284,47900,0,24.4447852761,21.2239747634,21.6123348018,None,21.7999992371,16.2000007629,15.1000003815,None
40.4535,-86.9235,46,9820,175,850,493,5145,None,None,1583611229,46.870336,8,-107.0625,-18.0625,-82.875,-14.375,-79.25,-14.3125,None,None,19.407016,24.774408,12.234568,0.0,50,100,23,0,55609,64364,23442,0,18.5237717908,19.8573248408,23.7245614035,None,10.1999998093,15.6999998093,12.1999998093,None
40.45361779,-86.92398886,46,9820,175,850,493,5145,None,None,1583611230,54.68928,9,-107.0,-17.5,-83.1875,-12.0625,-77.75,-16.375,None,None,27.43184,9.365648,16.734832,0.0,50,100,23,0,71581,23616,33432,0,20.2898799314,20.1051136364,23.3212951432,None,10.6999998093,16.2000007629,8.69999980927,None
40.4535,-86.9235,46,9820,175,850,493,5145,None,None,1583611231,50.571616,10,-108.125,-18.125,-83.3125,-15.375,-78.0625,-17.9375,None,None,25.118688,12.359864,9.024856,0.0,50,100,23,0,65150,30092,20413,0,20.2346683354,20.7245762712,21.6440511308,None,9.0,14.8999996185,18.2000007629,None
40.45361664,-86.92399522,46,9820,175,850,493,5145,None,None,1583611232,41.031376,11,-107.5625,-18.125,-83.3125,-14.25,-77.75,-17.125,None,None,26.925264,4.97652,15.943128,0.0,50,100,23,0,69405,13688,31548,0,20.0856164384,19.6717557252,23.3494051346,None,9.60000038147,14.6999998093,14.1000003815,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611233,43.863216,12,-106.5625,-16.125,-82.3125,-14.1875,-75.875,-16.4375,None,None,24.754816,17.278856,13.268568,0.0,50,100,23,0,64281,46668,26499,0,19.8374915711,19.3424855491,23.1645185747,None,11.8999996185,15.5,11.8000001907,None
40.45361569,-86.92400058,46,9820,175,850,493,5145,None,None,1583611234,49.464704,13,-106.8125,-18.875,-82.9375,-14.0625,-76.8125,-18.625,None,None,24.737096,25.097168,11.372992,0.0,50,100,23,0,60552,67008,22977,0,20.5521835677,19.3515092502,22.9682539683,None,9.30000019073,13.1999998093,11.5,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611235,49.771088,14,-108.875,-13.875,-82.875,-13.25,-79.0,-8.75,None,None,23.879824,12.227384,14.261592,0.0,50,100,23,0,61706,31108,26820,0,19.7988748242,20.652014652,23.9409090909,None,12.1000003815,16.1000003815,23.2999992371,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611236,50.938368,15,-107.3125,-18.8125,-82.75,-14.6875,-79.5,-18.8125,None,None,30.608552,8.444856,16.016768,0.0,50,100,23,0,76160,20668,31910,0,20.465648855,20.8917197452,23.051465798,None,11.8000001907,13.8000001907,19.6000003815,None
40.45361488,-86.92400524,46,9820,175,850,493,5145,None,None,1583611237,54.350928,16,-105.375,-18.3125,-83.3125,-14.1875,-74.375,-16.3125,None,None,28.643752,9.049776,16.740688,0.0,50,100,23,0,68407,22804,31846,0,20.9514877102,20.6639566396,23.7919334187,None,8.80000019073,18.2999992371,24.1000003815,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611238,49.648784,17,-107.6875,-17.9375,-82.4375,-14.0625,-80.3125,-18.375,None,None,28.417552,5.46172,18.56728,0.0,50,100,23,0,72240,13104,34510,0,20.2730560579,20.9663461538,24.1302021403,None,7.80000019073,16.5,19.5,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611239,49.666432,18,-106.9375,-17.25,-83.0625,-16.875,-77.75,-17.75,None,None,27.17628,11.272992,17.16992,0.0,50,100,23,0,72366,29164,30455,0,19.5946283573,20.3457556936,24.7779255319,None,9.5,15.0,21.2999992371,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611240,50.37208,19,-107.625,-18.3125,-82.4375,-15.875,-81.5,-16.0625,None,None,31.64124,0.867512,15.013928,0.0,50,100,23,0,86319,2176,28438,0,19.401540154,20.2631578947,23.851018974,None,10.0,19.2999992371,18.1000003815,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611241,44.143104,20,-107.0,-18.25,-82.625,-16.0,-80.6875,-19.375,None,None,31.985296,1.513432,17.135368,0.0,50,100,23,0,76386,3780,34559,0,20.9645625692,21.9027777778,22.9422619048,None,12.6999998093,15.8000001907,19.8999996185,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611242,43.308192,21,-106.0,-19.1875,-84.5625,-14.375,-79.25,-18.3125,None,None,30.908176,2.713656,15.330704,0.0,50,100,23,0,72280,7768,32707,0,21.1956393636,18.7179487179,22.218889598,None,14.3000001907,13.8000001907,20.7000007629,None
40.45361468,-86.92400661,46,9820,175,850,493,5145,None,None,1583611243,47.101696,22,-105.0625,-18.0625,-83.25,-14.0625,-80.25,-16.8125,None,None,29.465208,5.79096,17.90368,0.0,50,100,23,0,66622,16408,36200,0,21.6740563212,18.6338983051,22.9622857143,None,14.8000001907,15.6000003815,16.2999992371,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611244,49.185008,23,-107.8125,-18.3125,-83.25,-14.75,-79.1875,-17.0625,None,None,23.369024,9.71752,17.131432,0.0,50,100,23,0,68050,28872,33285,0,18.4002389486,18.5308880309,23.4271665642,None,12.3999996185,11.1999998093,12.8000001907,None
40.45361469,-86.92400667,46,9820,175,850,493,5145,None,None,1583611245,47.0512,24,-104.5,-17.875,-83.5,-14.5,-77.375,-18.1875,None,None,21.85224,23.255624,14.339296,0.0,50,100,23,0,58920,70532,26804,0,19.4038978495,17.7379949452,24.0193498452,None,11.8999996185,11.6000003815,18.7000007629,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611246,50.234352,25,-104.5625,-18.75,-84.0,-13.4375,-80.375,-10.5625,None,None,22.24828,22.955248,18.485424,0.0,50,100,23,0,60555,76432,30500,0,19.4033496162,16.2830188679,25.9171309192,None,11.1999998093,14.1000003815,10.1000003815,None
40.45361468,-86.9240067,46,9820,175,850,493,5145,None,None,1583611247,62.375504,26,-107.1875,-14.0,-80.625,-11.9375,-78.5,-10.1875,None,None,21.801152,25.047136,15.097688,0.0,50,100,23,0,57522,72020,29022,0,19.6389312977,18.8133333333,23.5643994211,None,10.6000003815,19.8999996185,9.60000038147,None
40.45361468,-86.92400671,46,9820,175,850,493,5145,None,None,1583611248,57.0124,27,-103.5625,-19.25,-82.75,-15.5,-77.375,-18.625,None,None,24.327112,33.51744,12.109256,0.0,50,100,23,0,60961,83008,23372,0,19.7238023952,20.4590443686,23.531358885,None,16.1000003815,20.3999996185,10.8000001907,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611249,69.02984,28,-105.25,-12.0,-85.6875,-10.75,-76.75,-8.875,None,None,27.844728,33.832744,10.808816,0.0,50,100,23,0,59949,80128,23285,0,22.0069230769,20.9624373957,22.0122591944,None,14.5,13.1999998093,17.6000003815,None
40.45361466,-86.92400674,46,9820,175,850,493,5145,None,None,1583611250,62.329216,29,-106.9375,-18.5,-85.3125,-14.375,-78.5,-16.125,None,None,28.668928,14.770824,10.033376,0.0,50,100,23,0,71216,39006,17980,0,20.3297801466,19.8532258065,24.5334051724,None,12.5,14.3999996185,26.2000007629,None
40.45361465,-86.92400676,46,9820,175,850,493,5145,None,None,1583611251,46.646848,30,-107.3125,-18.9375,-81.9375,-13.625,-75.9375,-16.4375,None,None,33.414152,0.242976,5.799064,0.0,50,96,23,0,87559,645,10686,0,19.988127361,18.0769230769,24.5349206349,None,8.89999961853,19.0,22.7000007629,None
40.45361465,-86.92400676,46,9820,175,850,493,5145,None,None,1583611252,35.802576,31,-107.1875,-16.8125,-82.9375,-14.25,-74.8125,-18.0625,None,None,27.650256,11.571344,7.297416,0.0,50,100,23,0,75117,26800,14581,0,19.4291666667,21.1756097561,23.0104575163,None,13.6999998093,13.6000003815,8.69999980927,None
40.45361464,-86.92400678,46,9820,175,850,493,5145,None,None,1583611254,42.442608,33,-107.5,-18.1875,-83.125,-14.3125,-76.125,-16.4375,None,None,23.502112,21.960888,15.608984,0.0,50,100,23,0,69208,51220,28230,0,18.2553475936,21.1241743725,24.5221238938,None,12.8000001907,12.6000003815,18.1000003815,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611255,65.204288,34,-107.625,-12.625,-83.0625,-13.3125,-76.625,-12.375,None,None,18.483184,28.54848,10.89896,0.0,50,100,23,0,51800,69684,20088,0,18.7070347284,20.9150460594,24.204569055,None,12.8999996185,16.0,16.0,None
40.45361465,-86.92400679,46,9820,175,850,493,5145,None,None,1583611256,58.552528,35,-107.25,-17.8125,-82.3125,-14.25,-77.3125,-17.0625,None,None,22.126216,37.413688,11.631032,0.0,50,100,23,0,66468,91140,24022,0,17.8290119131,20.8993710692,22.7211864407,None,12.1999998093,15.0,16.5,None
