grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4531375,-86.91798065,207,850,447,5145,None,None,None,None,1583623516,1.933728,3,-89.3125,-19.3125,-88.0,-19.1875,None,None,None,None,0.479056,0.327136,0.0,0.0,100,23,0,0,1568,686,0,0,18.9130434783,22.8484848485,None,None,-2.70000004768,-4.19999980927,None,None
40.45313749,-86.91798063,207,850,447,5145,None,None,None,None,1583623518,2.845728,5,-87.0625,-17.3125,-90.25,-17.9375,None,None,None,None,2.692208,0.104048,0.0,0.0,100,23,0,0,9516,318,0,0,19.157480315,19.5714285714,None,None,-1.39999997616,-1.70000004768,None,None
40.45313749,-86.91798063,207,850,447,5145,None,None,None,None,1583623519,2.047536,6,-90.4375,-16.5,-88.0625,-19.0625,None,None,None,None,0.700008,0.351368,0.0,0.0,100,23,0,0,2812,926,0,0,16.1428571429,21.9318181818,None,None,-3.70000004768,-0.300000011921,None,None
40.45313748,-86.91798063,207,850,447,5145,None,None,None,None,1583623520,0.8676,7,-90.3125,-19.25,-88.3125,-17.1875,None,None,None,None,0.695832,0.63848,0.0,0.0,100,23,0,0,2960,1466,0,0,14.0476190476,22.3513513514,None,None,-4.09999990463,-1.10000002384,None,None
40.45313748,-86.91798062,207,850,447,5145,None,None,None,None,1583623521,1.365024,8,-87.1875,-18.8125,-88.9375,-16.3125,None,None,None,None,0.31628,0.218608,0.0,0.0,100,23,0,0,1348,522,0,0,14.0,21.16,None,None,-3.0,-1.10000002384,None,None
40.45313747,-86.91798062,207,850,447,5145,None,None,None,None,1583623522,0.670944,9,-87.8125,-16.75,-89.25,-17.1875,None,None,None,None,2.361464,0.264272,0.0,0.0,100,23,0,0,9824,662,0,0,15.8543046358,23.5,None,None,11.1000003815,4.5,None,None
40.45313747,-86.91798061,207,850,447,5145,None,None,None,None,1583623523,2.348304,10,-87.5,-17.5,-88.75,-14.0,None,None,None,None,3.19096,0.414944,0.0,0.0,100,23,0,0,10668,1123,0,0,19.4969325153,19.9622641509,None,None,0.20000000298,6.40000009537,None,None
40.45313747,-86.91798059,207,850,447,5145,None,None,None,None,1583623524,2.938272,11,-97.0625,-15.875,-87.5,-19.5625,None,None,None,None,2.045736,0.443272,0.0,0.0,100,23,0,0,7140,1224,0,0,16.8983050847,21.5396825397,None,None,-1.70000004768,2.90000009537,None,None
40.453,-86.9175,447,5145,244,2000,170,2175,None,None,1583623527,0.000608,1,-89.3125,-20.75,-91.625,-16.5625,-96.125,-16.875,None,None,1.238736,5.361088,2.361432,0.0,23,50,25,0,4897,18264,6322,0,14.1525974026,16.2374429224,20.062283737,None,-3.79999995232,-0.600000023842,13.6000003815,None
40.45313745,-86.91798057,447,5145,244,2000,170,2175,None,None,1583623528,16.951728,2,-89.5625,-20.9375,-92.875,-15.75,-95.1875,-15.625,None,None,2.209712,16.41672,7.859656,0.0,23,50,25,0,10289,61260,25134,0,12.7851851852,15.8863801894,17.0454545455,None,-2.90000009537,14.3999996185,12.5,None
40.45313745,-86.91798057,447,5145,244,2000,170,2175,None,None,1583623529,19.076768,3,-89.1875,-20.8125,-93.5,-18.625,-95.375,-14.1875,None,None,1.407376,8.743168,8.3094,0.0,23,50,25,0,7547,34493,26903,0,11.1712846348,14.2966903073,16.6248927039,None,-7.40000009537,0.699999988079,11.3999996185,None
40.45313745,-86.91798057,45,9820,244,2000,447,5145,None,None,1583623530,16.646352,4,-113.3125,-18.6875,-93.25,-17.1875,-89.0,-17.25,None,None,17.384136,12.481184,2.601216,0.0,50,50,23,0,53795,40268,10253,0,17.0680061824,17.1898305085,14.1252609603,None,6.09999990463,3.70000004768,0.600000023842,None
40.45313745,-86.91798056,45,9820,244,2000,447,5145,None,None,1583623531,33.478336,5,-112.5625,-18.3125,-94.0625,-18.625,-89.375,-19.0,None,None,22.992656,4.51032,0.434304,0.0,50,50,23,0,68383,16222,2193,0,18.5772544515,15.5073891626,11.4174757282,None,7.0,-2.59999990463,2.59999990463,None
