grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,27,5145,393,850,None,None,None,None,1583466208,18.908432,4,-93.375,-13.875,-91.375,-15.25,None,None,None,None,3.22688,18.37256,0.0,0.0,23,100,0,0,8237,53352,0,0,19.3019271949,18.330199765,None,None,11.1999998093,-2.59999990463,None,None
40.45623224,-86.94794128,27,5145,393,850,None,None,None,None,1583466209,17.875488,5,-95.1875,-12.4375,-92.1875,-15.8125,None,None,None,None,2.010312,7.671912,0.0,0.0,23,100,0,0,4976,18504,0,0,20.1879194631,21.6395348837,None,None,6.09999990463,1.70000004768,None,None
40.45620831,-86.9479742,27,5145,393,850,None,None,None,None,1583466210,10.17984,6,-94.0625,-10.0,-93.9375,-15.5625,None,None,None,None,2.293296,0.691096,0.0,0.0,23,100,0,0,7421,2784,0,0,17.18,13.1086956522,None,None,11.8000001907,-1.20000004768,None,None
40.45623165,-86.94796277,27,5145,393,850,None,None,None,None,1583466211,2.580208,7,-90.5625,-14.3125,-95.4375,-13.0,None,None,None,None,1.884992,2.565904,0.0,0.0,23,100,0,0,7257,10624,0,0,15.7237479806,13.4878892734,None,None,-0.699999988079,-1.0,None,None
40.45622673,-86.94795389,27,5145,393,850,None,None,None,None,1583466212,4.557792,8,-92.875,-12.375,-94.8125,-14.75,None,None,None,None,6.512736,2.668856,0.0,0.0,23,100,0,0,20047,8848,0,0,17.1894308943,15.52,None,None,11.8999996185,-2.20000004768,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466213,7.98192,9,-91.375,-10.3125,-96.4375,-12.9375,None,None,None,None,5.050736,0.074776,0.0,0.0,23,96,0,0,14924,424,0,0,18.828125,8.52941176471,None,None,9.89999961853,2.90000009537,None,None
40.45621577,-86.94796037,27,5145,393,850,None,None,None,None,1583466214,5.95752,10,-91.75,-7.1875,-89.375,-12.0625,None,None,None,None,2.565536,2.208328,0.0,0.0,23,100,0,0,6561,6940,0,0,20.0566502463,15.7797619048,None,None,11.5,3.0,None,None
40.45620931,-86.94796005,27,5145,393,850,None,None,None,None,1583466215,2.996112,11,-89.6875,-12.4375,-93.6875,-15.9375,None,None,None,None,3.212464,4.800872,0.0,0.0,23,100,0,0,7677,9344,0,0,20.731277533,20.6169154229,None,None,10.5,4.0,None,None
40.45621045,-86.94795421,27,5145,393,850,None,None,None,None,1583466216,7.102752,12,-87.4375,-13.25,-103.4375,-17.5625,None,None,None,None,7.222208,0.681208,0.0,0.0,23,96,0,0,17493,1816,0,0,20.3413173653,17.5714285714,None,None,18.0,-4.90000009537,None,None
40.45620742,-86.94795635,27,5145,393,850,None,None,None,None,1583466217,7.183728,13,-91.0625,-13.5,-98.0,-10.9375,None,None,None,None,4.461296,6.298216,0.0,0.0,23,100,0,0,9552,15880,0,0,21.5788590604,18.7024539877,None,None,13.3999996185,5.0,None,None
40.45620536,-86.94795373,27,5145,393,850,None,None,None,None,1583466218,10.318656,14,-91.375,-13.5,-98.0625,-14.3125,None,None,None,None,3.821672,7.538576,0.0,0.0,23,100,0,0,8393,15164,0,0,20.3676767677,21.881305638,None,None,12.0,5.40000009537,None,None
40.45620832,-86.94795565,27,5145,393,850,None,None,None,None,1583466219,10.122,15,-90.9375,-12.875,-99.375,-14.1875,None,None,None,None,5.654528,9.311448,0.0,0.0,23,100,0,0,10090,22476,0,0,23.6571936057,18.9596412556,None,None,13.0,1.89999997616,None,None
40.45620809,-86.94795565,27,5145,393,850,None,None,None,None,1583466220,13.684944,16,-91.8125,-11.5625,-98.75,-13.0625,None,None,None,None,7.962032,8.499144,0.0,0.0,23,100,0,0,16677,23306,0,0,21.4322799097,17.6666666667,None,None,7.90000009537,3.29999995232,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466221,17.201616,17,-90.75,-12.375,-95.8125,-12.9375,None,None,None,None,4.399432,12.379808,0.0,0.0,23,100,0,0,6607,23968,0,0,26.84375,22.95,None,None,7.30000019073,11.8999996185,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466222,13.53456,18,-91.875,-12.25,-96.25,-13.3125,None,None,None,None,4.174672,16.548608,0.0,0.0,23,100,0,0,6679,35130,0,0,26.0110132159,21.3930722892,None,None,12.8999996185,7.59999990463,None,None
40.45620841,-86.94795526,27,5145,393,850,None,None,None,None,1583466223,19.909072,19,-92.5,-7.5,-97.9375,-13.0625,None,None,None,None,1.84192,16.597888,0.0,0.0,23,100,0,0,3153,28864,0,0,24.786407767,24.7891156463,None,None,10.1000003815,6.59999990463,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466224,17.9304,20,-91.0625,-13.5,-98.3125,-14.25,None,None,None,None,4.798104,17.04084,0.0,0.0,23,100,0,0,8209,35908,0,0,24.177383592,21.8396551724,None,None,12.6999998093,3.20000004768,None,None
40.45620979,-86.94795474,27,5145,393,850,None,None,None,None,1583466225,19.075632,21,-90.6875,-10.6875,-96.25,-13.1875,None,None,None,None,6.024192,16.687904,0.0,0.0,23,100,0,0,11050,35044,0,0,22.7548701299,22.0441640379,None,None,11.5,2.5,None,None
40.45620982,-86.94795475,27,5145,393,850,None,None,None,None,1583466226,20.175136,22,-90.1875,-7.125,-96.9375,-10.5,None,None,None,None,4.39968,10.81164,0.0,0.0,23,100,0,0,11701,23648,0,0,17.784764208,21.1371841155,None,None,5.40000009537,3.70000004768,None,None
40.45620981,-86.9479548,27,5145,393,850,None,None,None,None,1583466227,14.020416,23,-91.625,-11.6875,-94.875,-11.875,None,None,None,None,6.14108,15.18676,0.0,0.0,23,100,0,0,10350,29048,0,0,24.4494773519,22.8916827853,None,None,12.6000003815,8.10000038147,None,None
40.45620937,-86.94795475,27,5145,393,850,None,None,None,None,1583466228,19.31856,24,-90.6875,-14.875,-98.25,-12.4375,None,None,None,None,3.35548,8.150968,0.0,0.0,23,100,0,0,7119,16388,0,0,20.2894736842,20.257985258,None,None,6.69999980927,4.30000019073,None,None
40.45620922,-86.94795473,27,5145,393,850,None,None,None,None,1583466229,11.950288,25,-90.0625,-14.0625,-96.625,-13.5,None,None,None,None,2.69808,4.750792,0.0,0.0,23,100,0,0,5560,11244,0,0,21.7268170426,18.928,None,None,13.0,1.39999997616,None,None
40.45620905,-86.9479547,27,5145,393,850,None,None,None,None,1583466230,7.611744,26,-90.5,-14.375,-95.5625,-13.5625,None,None,None,None,5.378368,3.337472,0.0,0.0,23,100,0,0,9480,8164,0,0,24.0580524345,19.5597484277,None,None,10.1999998093,6.30000019073,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466231,7.831536,27,-90.8125,-12.1875,-95.6875,-14.125,None,None,None,None,1.75944,4.881112,0.0,0.0,23,100,0,0,2921,9080,0,0,25.7158469945,23.7594936709,None,None,13.1999998093,1.70000004768,None,None
40.45620906,-86.94795483,27,5145,393,850,None,None,None,None,1583466232,5.945952,28,-90.125,-11.875,-94.875,-13.4375,None,None,None,None,3.316736,4.6974,0.0,0.0,23,100,0,0,6640,8564,0,0,22.8102678571,23.0196078431,None,None,12.8999996185,1.79999995232,None,None
40.45620905,-86.94795486,27,5145,393,850,None,None,None,None,1583466233,7.391952,29,-90.375,-13.625,-94.75,-13.5625,None,None,None,None,2.221392,2.809776,0.0,0.0,23,100,0,0,4282,5300,0,0,22.1592592593,22.0507246377,None,None,13.1999998093,3.5,None,None
40.45620905,-86.94795489,27,5145,393,850,None,None,None,None,1583466234,4.39584,30,-90.0625,-10.75,-94.8125,-12.9375,None,None,None,None,1.959512,4.303832,0.0,0.0,23,100,0,0,3210,10056,0,0,25.8860103627,20.4632768362,None,None,13.8999996185,3.90000009537,None,None
40.45620907,-86.94795495,27,5145,393,850,None,None,None,None,1583466235,6.258288,31,-89.5,-14.5625,-96.5625,-13.0,None,None,None,None,1.518952,4.02188,0.0,0.0,23,100,0,0,2813,8896,0,0,23.393442623,21.4635761589,None,None,11.8000001907,2.5,None,None
40.45620907,-86.94795491,27,5145,393,850,None,None,None,None,1583466236,4.985808,32,-91.125,-13.4375,-97.875,-13.875,None,None,None,None,1.515256,5.661336,0.0,0.0,23,100,0,0,3157,13068,0,0,21.3402489627,19.9694656489,None,None,11.1000003815,5.69999980927,None,None
40.45620904,-86.94795494,27,5145,393,850,None,None,None,None,1583466237,7.010208,33,-91.125,-12.875,-96.8125,-12.6875,None,None,None,None,1.077464,6.235824,0.0,0.0,23,100,0,0,3123,12304,0,0,16.2276785714,21.993220339,None,None,13.3000001907,7.09999990463,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466238,7.241568,34,-91.1875,-12.3125,-97.6875,-13.0,None,None,None,None,2.636384,4.032248,0.0,0.0,23,100,0,0,4761,6680,0,0,23.79,25.0977443609,None,None,12.8999996185,5.59999990463,None,None
40.45620914,-86.94795491,27,5145,393,850,None,None,None,None,1583466239,5.679888,35,-91.5,-11.9375,-98.25,-13.6875,None,None,None,None,2.586632,5.80432,0.0,0.0,23,100,0,0,4729,11888,0,0,23.6573426573,23.1696969697,None,None,12.8999996185,2.29999995232,None,None
40.45620912,-86.9479549,27,5145,393,850,None,None,None,None,1583466240,7.415088,36,-91.125,-12.125,-98.0625,-12.75,None,None,None,None,1.883568,3.828696,0.0,0.0,23,100,0,0,3768,8632,0,0,22.324,21.5260115607,None,None,18.0,3.79999995232,None,None
40.4562091,-86.94795493,27,5145,393,850,None,None,None,None,1583466241,5.113056,37,-91.5,-13.5625,-97.875,-12.75,None,None,None,None,4.26064,6.776552,0.0,0.0,23,100,0,0,6920,13724,0,0,25.7303921569,21.4914529915,None,None,12.6999998093,7.40000009537,None,None
40.45620911,-86.94795493,27,5145,393,850,None,None,None,None,1583466242,11.001168,38,-90.5,-11.125,-97.75,-11.125,None,None,None,None,2.70068,3.71868,0.0,0.0,23,100,0,0,4489,6624,0,0,24.8983050847,23.8333333333,None,None,16.5,2.70000004768,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466243,5.575776,39,-90.25,-14.5,-97.125,-12.375,None,None,None,None,2.543728,7.464944,0.0,0.0,23,100,0,0,5316,13196,0,0,21.2872928177,23.5402684564,None,None,11.6999998093,4.5,None,None
40.45620911,-86.94795488,27,5145,393,850,None,None,None,None,1583466244,9.705552,40,-90.8125,-12.0625,-97.75,-12.4375,None,None,None,None,3.059896,2.581064,0.0,0.0,23,100,0,0,5495,4796,0,0,23.5548172757,24.4189189189,None,None,13.1999998093,5.30000019073,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466245,5.529504,41,-91.1875,-12.5,-97.5,-12.3125,None,None,None,None,2.763816,5.923888,0.0,0.0,23,100,0,0,6053,11276,0,0,20.325,23.4333333333,None,None,14.1999998093,5.09999990463,None,None
40.45620905,-86.94795478,27,5145,393,850,None,None,None,None,1583466246,7.658016,42,-90.1875,-14.375,-97.6875,-12.8125,None,None,None,None,3.825176,3.316992,0.0,0.0,23,100,0,0,7706,7016,0,0,21.50499002,21.8596491228,None,None,15.8999996185,3.0,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466247,7.068048,43,-91.0625,-12.4375,-95.875,-11.75,None,None,None,None,4.686864,2.723168,0.0,0.0,23,100,0,0,9001,6390,0,0,22.9891500904,19.6646341463,None,None,8.60000038147,7.0,None,None
40.45620909,-86.94795474,27,5145,393,850,None,None,None,None,1583466248,6.293536,44,-91.0,-10.9375,-97.4375,-11.4375,None,None,None,None,1.618432,5.77324,0.0,0.0,23,100,0,0,3761,12316,0,0,19.3092783505,21.3928571429,None,None,16.3999996185,4.59999990463,None,None
40.45620908,-86.94795475,27,5145,393,850,None,None,None,None,1583466249,6.952368,45,-90.6875,-15.0,-96.5,-12.625,None,None,None,None,2.266104,6.800752,0.0,0.0,23,100,0,0,4839,13856,0,0,21.375,22.6267942584,None,None,8.39999961853,5.19999980927,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583466250,9.13872,46,-90.875,-13.5625,-95.4375,-13.4375,None,None,None,None,4.85356,0.862936,0.0,0.0,23,100,0,0,8520,1644,0,0,24.0313152401,22.7916666667,None,None,9.60000038147,4.59999990463,None,None
40.45620912,-86.94795475,27,5145,393,850,None,None,None,None,1583466251,4.789152,47,-91.125,-14.25,-95.4375,-12.3125,None,None,None,None,6.299568,1.53452,0.0,0.0,23,100,0,0,9983,3160,0,0,26.1645101664,21.7118644068,None,None,9.80000019073,11.6999998093,None,None
