grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.45978713,-86.90282269,102,2425,244,2000,207,850,None,None,1583800679,7.03784,4,-103.75,-14.625,-116.625,-17.4375,-110.6875,-11.4375,None,None,4.845128,3.477744,9.716344,0.0,25,50,100,0,9927,15995,38700,0,22.7567567568,13.4257555848,14.9223674097,None,4.5,1.20000004768,7.59999990463,None
40.4595,-86.9025,102,2425,244,2000,207,850,None,None,1583800680,14.702928,5,-103.0625,-12.5,-116.0,-17.4375,-110.375,-15.3125,None,None,6.217584,3.906416,3.160256,0.0,25,50,100,0,14621,15916,14232,0,21.0901994796,15.2893518519,13.8650306748,None,9.60000038147,2.79999995232,9.10000038147,None
40.45978649,-86.90282682,102,2425,244,2000,207,850,None,None,1583800681,12.585984,6,-103.9375,-18.0,-117.25,-18.625,-112.75,-16.75,None,None,6.344488,7.968712,4.67856,0.0,25,50,100,0,15405,34743,20484,0,20.3224637681,13.7332506203,13.911827957,None,8.39999961853,1.20000004768,3.29999995232,None
40.45978651,-86.90282782,102,2425,244,2000,207,850,None,None,1583800682,19.31856,7,-115.4375,-18.5,-121.4375,-17.75,-120.4375,-15.3125,None,None,11.034032,7.776736,17.719728,0.0,25,50,100,0,32875,34949,75976,0,17.6574727389,13.2485065711,14.5740236149,None,5.40000009537,-2.09999990463,1.29999995232,None
40.45978578,-86.90282824,102,2425,244,2000,207,850,None,None,1583800683,32.772144,8,-120.1875,-21.5,-127.5625,-19.75,-124.125,-14.3125,None,None,7.530712,3.500648,3.930592,0.0,25,50,100,0,23417,29657,23520,0,17.3163172288,7.17119565217,12.5101580135,None,3.0,-4.0,-0.300000011921,None
40.45978505,-86.90282833,447,5145,207,850,None,None,None,None,1583800685,11.059008,1,-107.3125,-12.5625,-126.0,-18.5,None,None,None,None,0.387792,0.00832,0.0,0.0,23,39,0,0,1018,78,0,0,18.9655172414,6.0,None,None,5.40000009537,-2.59999990463,None,None
40.4595,-86.9025,447,5145,207,850,None,None,None,None,1583800686,6.629008,2,-107.4375,-18.3125,-126.375,-16.5,None,None,None,None,1.680664,1.359528,0.0,0.0,23,76,0,0,3965,6856,0,0,19.5017064846,19.1055900621,None,None,5.69999980927,-1.70000004768,None,None
40.45978468,-86.9028284,447,5145,207,850,None,None,None,None,1583800687,1.746768,3,-108.0,-19.75,-125.125,-16.0625,None,None,None,None,2.669312,3.318304,0.0,0.0,23,100,0,0,6076,18560,0,0,21.6826196474,18.1074020319,None,None,5.80000019073,0.899999976158,None,None
40.45978463,-86.90282826,447,5145,207,850,None,None,None,None,1583800688,2.83416,4,-109.3125,-18.5625,-126.5,-16.875,None,None,None,None,1.83292,1.178192,0.0,0.0,23,84,0,0,4928,10716,0,0,18.4681440443,12.3768115942,None,None,3.20000004768,-0.20000000298,None,None
40.45978459,-86.90282822,447,5145,207,850,None,None,None,None,1583800689,4.10664,5,-108.6875,-18.5,-126.6875,-15.375,None,None,None,None,3.509536,0.77272,0.0,0.0,23,100,0,0,8306,12104,0,0,21.2651851852,6.84328358209,None,None,3.70000004768,-2.70000004768,None,None
40.4597846,-86.90282833,102,2425,244,2000,207,850,None,None,1583800690,2.637504,6,-114.8125,-14.3125,-129.75,-19.875,-124.9375,-14.1875,None,None,1.744264,0.493472,2.018232,0.0,25,80,100,0,6716,4491,13396,0,14.7174447174,6.92647058824,12.6754617414,None,5.90000009537,-6.90000009537,0.699999988079,None
40.45978462,-86.90282839,102,2425,170,2175,207,850,None,None,1583800691,3.829008,7,-115.5,-18.0625,-130.625,-19.0625,-126.8125,-16.875,None,None,1.437256,0.113008,2.243816,0.0,25,25,100,0,2777,1519,18216,0,22.8398058252,4.10447761194,11.4604519774,None,4.0,-7.30000019073,-0.40000000596,None
40.45978472,-86.90282851,102,2425,None,None,207,850,None,None,1583800692,6.350832,8,-115.1875,-19.75,None,None,-124.8125,-15.0625,None,None,0.61208,0.0,0.189736,0.0,25,0,92,0,2220,0,916,0,15.375,None,14.4,None,5.0,None,-0.899999976158,None
40.4595,-86.9025,102,2425,None,None,207,850,None,None,1583800693,5.945952,9,-114.3125,-18.0,None,None,-124.9375,-14.75,None,None,5.380248,0.0,3.246592,0.0,25,0,100,0,17485,0,15432,0,16.9937565036,None,14.3567839196,None,5.0,None,-1.0,None
40.4597848,-86.90282862,102,2425,None,None,207,850,None,None,1583800694,7.438224,10,-115.625,-16.8125,None,None,-125.1875,-15.5,None,None,4.175776,0.0,3.150384,0.0,25,0,100,0,12218,0,13296,0,18.7464788732,None,16.9253731343,None,5.0,None,-1.70000004768,None
40.4595,-86.9025,102,2425,None,None,207,850,None,None,1583800695,6.99864,11,-114.0625,-18.5,None,None,-125.6875,-15.625,None,None,6.47808,0.0,2.604912,0.0,25,0,88,0,17881,0,13044,0,19.0372340426,None,14.0153061224,None,5.19999980927,None,-0.699999988079,None
40.4597848,-86.90282871,102,2425,None,None,207,850,None,None,1583800696,7.900944,12,-115.0,-18.3125,None,None,-126.0625,-18.5625,None,None,4.59416,0.0,2.92648,0.0,25,0,100,0,13899,0,17400,0,18.4190106693,None,14.8310810811,None,5.19999980927,None,-3.20000004768,None
40.45978481,-86.90282877,102,2425,None,None,207,850,None,None,1583800697,5.529504,13,-113.3125,-15.875,None,None,-125.1875,-15.3125,None,None,3.576416,0.0,2.776536,0.0,25,0,100,0,9472,0,16270,0,19.4731585518,None,14.4748858447,None,5.5,None,0.10000000149,None
