grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890679,13.606336,6,-91.3125,-9.9375,-74.9375,-10.0625,-85.75,-9.8125,None,None,10.112896,9.99952,5.941488,0.0,47,25,25,0,25287,14758,12687,0,12.8627889635,21.0483091787,14.9371859296,None,12.8999996185,18.3999996185,15.1999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890680,23.855104,7,-90.4375,-10.8125,-74.75,-6.75,-85.125,-7.9375,None,None,11.694608,11.22512,6.383712,0.0,47,25,25,0,30631,16401,14753,0,12.149197356,21.1146496815,13.996742671,None,12.5,17.7999992371,13.1999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890681,23.99488,8,-89.4375,-9.4375,-74.375,-4.4375,-84.5625,-9.8125,None,None,9.797016,12.377272,7.30168,0.0,47,25,25,0,25676,18691,18099,0,12.1733457596,20.6666666667,13.071942446,None,12.3999996185,17.1000003815,14.0,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890682,25.532416,9,-90.0,-10.375,-75.0,-11.375,-84.6875,-9.9375,None,None,12.018808,13.704056,4.387184,0.0,47,25,25,0,27700,20884,11023,0,13.6915129151,20.5376068376,13.1092436975,None,12.3999996185,17.7999992371,15.6999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890683,26.359424,10,-90.1875,-10.25,-74.375,-11.125,-84.8125,-9.125,None,None,12.708304,12.688728,5.119088,0.0,47,25,21,0,31393,19004,12392,0,13.3459988486,20.9111111111,13.4018456376,None,13.1000003815,17.3999996185,14.0,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890684,24.484096,11,-89.3125,-10.1875,-76.8125,-11.5625,-87.5625,-7.75,None,None,14.71628,16.353416,6.055352,0.0,47,25,25,0,36616,24910,15886,0,13.1818181818,20.3595125254,12.3926576217,None,13.1999998093,18.1000003815,16.3999996185,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890685,30.785664,12,-89.6875,-10.625,-74.5,-11.4375,-88.1875,-9.625,None,None,18.089384,14.399448,6.96232,0.0,41,23,21,0,38821,24041,15995,0,15.0604727872,18.7877830437,13.9282296651,None,12.8999996185,21.1000003815,23.6000003815,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890686,33.383168,13,-90.125,-11.625,-74.6875,-11.375,-82.5,-9.125,None,None,13.310344,15.321816,9.0092,0.0,38,25,25,0,30922,25568,19820,0,14.1133960047,18.9483837331,14.5647614053,None,13.6999998093,21.7000007629,20.2000007629,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890687,37.343488,14,-85.25,-10.8125,-76.125,-11.3125,-86.625,-9.9375,None,None,19.884936,22.549472,6.492208,0.0,47,25,21,0,40608,30608,14674,0,15.4972341733,22.6137295082,14.0841184388,None,14.8999996185,21.0,15.6999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583890688,37.413376,15,-85.5625,-10.25,-77.375,-11.625,-86.9375,-9.9375,None,None,22.973744,23.596456,5.470944,0.0,47,25,17,0,56034,32858,16928,0,13.3360995851,22.184371808,10.4153587444,None,12.1999998093,18.6000003815,12.6000003815,None
