grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886616,39.405184,0,-93.625,-10.25,-88.8125,-9.75,-79.375,-10.375,None,None,186.865184,122.9942,42.518968,0.0,47,25,25,0,410239,208953,118237,0,14.6005857175,18.6543833854,11.7679856115,None,14.0,15.5,18.1000003815,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886617,43.575168,1,-93.5625,-10.375,-88.9375,-10.0625,-79.375,-11.25,None,None,25.957984,18.739136,7.149392,0.0,47,25,25,0,57654,33048,20820,0,14.5013642565,18.1251691475,11.3657937807,None,14.8999996185,16.0,18.2000007629,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886618,41.105792,2,-92.625,-10.5,-89.8125,-8.8125,-79.5,-10.5,None,None,26.461896,18.220104,6.287056,0.0,47,25,25,0,55914,32236,17196,0,15.1460597826,18.0134770889,12.1855095541,None,15.0,15.1999998093,18.0,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886619,47.209344,3,-92.6875,-10.625,-89.4375,-9.3125,-79.4375,-8.875,None,None,25.711952,19.212072,8.92084,0.0,47,25,25,0,54064,33546,22351,0,15.3022922636,18.2780026991,13.1299477222,None,15.3000001907,18.5,18.7000007629,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886620,47.139456,4,-92.875,-10.375,-89.4375,-10.1875,-79.4375,-10.5625,None,None,24.909008,19.763488,9.178848,0.0,47,25,25,0,53426,33948,22485,0,14.9791516894,18.4980026631,13.3744427935,None,16.5,17.1000003815,21.0,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886621,49.049728,5,-93.5625,-10.9375,-89.1875,-9.375,-79.75,-11.625,None,None,12.15508,12.275088,6.411216,0.0,47,25,25,0,26364,22722,16636,0,14.9488549618,17.4209431345,12.8065934066,None,15.3000001907,18.5,18.1000003815,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886622,46.826752,6,-92.5,-9.25,-89.625,-7.9375,-79.625,-11.1875,None,None,10.981392,10.629304,7.540112,0.0,47,25,25,0,23949,20148,19049,0,14.8244213887,17.0991735537,13.0340488527,None,15.8000001907,15.6999998093,23.8999996185,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886626,20.907136,10,-91.6875,-10.375,-90.5,-9.5,-80.4375,-11.0,None,None,14.519384,17.946984,9.482304,0.0,47,25,25,0,31822,29426,24899,0,14.8016467066,19.1692524683,12.5307958478,None,15.8000001907,23.6000003815,20.2000007629,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886629,42.57344,13,-92.8125,-9.875,-89.3125,-9.4375,-80.0625,-11.375,None,None,15.21552,19.143208,10.355608,0.0,47,25,25,0,31968,34188,31756,0,15.4738988581,17.7701778386,10.7360724234,None,15.3000001907,19.0,18.5,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886638,54.302976,22,-92.625,-10.4375,-89.9375,-9.875,-79.5625,-11.375,None,None,15.83948,17.948248,9.693408,0.0,47,25,25,0,33904,32068,25480,0,15.1239612188,17.7550607287,12.5411522634,None,15.5,16.7000007629,26.7999992371,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886644,39.949056,28,-92.0625,-10.0,-89.625,-9.8125,-79.375,-10.375,None,None,27.142592,21.277736,10.719504,0.0,47,25,25,0,57080,35120,28835,0,15.2886456908,19.0819783198,12.1030561478,None,14.6999998093,17.7000007629,27.0,None
40.4535,-86.924,247,2250,418,976,373,5035,None,None,1583886659,19.021184,43,-86.5625,-10.3125,-84.8125,-9.125,-75.6875,-11.375,None,None,13.268144,11.599216,6.624072,0.0,41,25,21,0,26224,16898,13444,0,16.1851851852,21.2219215156,15.8273638968,None,16.2000007629,15.8999996185,22.0,None
