grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970576,14.444992,6,-78.4375,-14.75,-87.8125,-15.375,None,None,None,None,23.604768,5.544192,0.0,0.0,50,25,0,0,68318,32656,0,0,11.469234885,5.07025316456,None,None,10.0,-0.5,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970577,27.827072,7,-78.375,-15.125,-87.0625,-16.375,None,None,None,None,18.356704,2.751232,0.0,0.0,50,25,0,0,47344,17389,0,0,12.5474716202,4.87046263345,None,None,7.69999980927,0.899999976158,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970578,17.856384,8,-85.1875,-15.8125,-92.3125,-16.125,None,None,None,None,20.491704,3.31144,0.0,0.0,50,25,0,0,57000,19449,0,0,11.9570680628,5.25413966883,None,None,2.5,7.80000019073,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970579,21.793408,9,-84.4375,-15.3125,-97.1875,-17.625,None,None,None,None,19.054312,3.95368,0.0,0.0,50,25,0,0,54136,22827,0,0,12.2960795787,5.26243980738,None,None,6.5,0.40000000596,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970580,20.884864,10,-80.0,-15.5625,-88.6875,-14.75,None,None,None,None,17.906376,3.759816,0.0,0.0,50,25,0,0,43542,18159,0,0,13.7166262136,6.45238095238,None,None,6.90000009537,3.70000004768,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970581,19.964672,11,-90.0625,-16.875,-99.125,-14.125,None,None,None,None,25.742264,7.05096,0.0,0.0,50,25,0,0,62896,37633,0,0,13.1095183486,5.6717378584,None,None,2.29999995232,5.59999990463,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970582,31.251584,12,-83.8125,-15.875,-94.875,-17.875,None,None,None,None,16.946256,1.87812,0.0,0.0,50,25,0,0,46880,11902,0,0,12.1200873362,4.27941176471,None,None,6.5,2.09999990463,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970583,14.897792,13,-86.625,-16.4375,-95.0625,-17.875,None,None,None,None,22.756328,0.625352,0.0,0.0,50,25,0,0,56110,18474,0,0,13.4389117043,0.522977941176,None,None,5.59999990463,0.0,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970584,22.774656,14,-82.0,-15.3125,-90.75,-13.5625,None,None,None,None,23.309096,0.756712,0.0,0.0,50,25,0,0,55368,19506,0,0,13.6718170581,0.617318435754,None,None,6.09999990463,5.69999980927,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583970585,22.270976,15,-84.0,-15.625,-93.0625,-18.25,None,None,None,None,25.020264,3.210168,0.0,0.0,50,25,0,0,64129,24133,0,0,12.8395480226,3.96327467483,None,None,7.40000009537,-1.70000004768,None,None
