grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142613,20.570368,5,-99.0,-14.8125,-97.1875,-10.0625,None,None,None,None,16.577016,4.888144,0.0,0.0,41,21,0,0,38608,12320,0,0,13.9180080483,12.914244186,None,None,8.30000019073,12.6999998093,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142614,17.157504,6,-99.3125,-15.5,-96.875,-9.5,None,None,None,None,11.672808,6.113936,0.0,0.0,29,19,0,0,29284,13566,0,0,13.0390143737,14.4934640523,None,None,7.80000019073,14.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142616,41.606656,8,-97.9375,-16.0625,-99.875,-9.4375,None,None,None,None,34.121696,16.171944,0.0,0.0,50,25,0,0,87486,35622,0,0,12.8034800409,14.7284527518,None,None,7.69999980927,16.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142617,37.017344,9,-96.1875,-13.375,-98.625,-10.9375,None,None,None,None,14.080208,13.26856,0.0,0.0,50,25,0,0,35754,29622,0,0,12.8970588235,14.6149843913,None,None,8.0,13.8999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142618,25.171328,10,-97.6875,-16.0625,-99.5,-10.4375,None,None,None,None,12.954656,14.56988,0.0,0.0,50,25,0,0,33212,30558,0,0,12.7198124267,15.3245109321,None,None,8.60000038147,13.1999998093,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142619,29.143296,11,-99.4375,-15.375,-100.0,-10.3125,None,None,None,None,27.018912,18.116344,0.0,0.0,50,25,0,0,74044,36812,0,0,12.084178499,15.8270676692,None,None,6.0,14.1000003815,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142620,40.220544,12,-98.5625,-15.0625,-92.75,-10.6875,None,None,None,None,31.622344,10.303888,0.0,0.0,50,25,0,0,83575,21440,0,0,12.4312796209,15.9307692308,None,None,5.40000009537,12.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142621,39.71968,13,-97.4375,-16.0,-99.0,-9.6875,None,None,None,None,32.153688,15.713128,0.0,0.0,50,25,0,0,76698,33418,0,0,13.6707317073,15.2131882202,None,None,8.89999961853,15.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142622,44.223552,14,-98.8125,-16.0625,-97.0625,-11.375,None,None,None,None,27.020304,14.0302,0.0,0.0,50,25,0,0,67826,31254,0,0,13.074695122,14.4539641944,None,None,6.5,14.0,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142623,30.719616,15,-97.125,-16.5625,-95.5,-9.5625,None,None,None,None,16.910776,8.98448,0.0,0.0,50,25,0,0,43253,20670,0,0,12.7623542476,14.1663851351,None,None,4.59999990463,11.8999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142624,23.057728,16,-96.8125,-17.125,-94.5,-10.5625,None,None,None,None,26.907416,8.707048,0.0,0.0,50,25,0,0,68538,19186,0,0,12.9252525253,14.6629692833,None,None,4.30000019073,15.3000001907,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142625,38.03072,17,-97.8125,-16.125,-93.5,-10.125,None,None,None,None,31.377584,12.682856,0.0,0.0,50,25,0,0,81308,28586,0,0,12.6673387097,14.4934980494,None,None,5.09999990463,12.5,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142626,39.13728,18,-97.4375,-16.3125,-93.5,-10.0625,None,None,None,None,28.35004,13.736624,0.0,0.0,50,25,0,0,70660,30024,0,0,13.164790174,14.995483871,None,None,9.19999980927,12.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142627,36.761088,19,-96.25,-16.5625,-93.0625,-10.0,None,None,None,None,25.476488,10.269608,0.0,0.0,50,25,0,0,56868,22224,0,0,14.688354292,15.0307346327,None,None,5.59999990463,15.6000003815,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142628,29.80864,20,-97.25,-17.125,-93.25,-10.1875,None,None,None,None,23.296144,9.048864,0.0,0.0,50,25,0,0,58005,21882,0,0,13.2472527473,13.6574500768,None,None,4.69999980927,16.7999992371,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142629,28.18816,21,-96.3125,-16.3125,-93.375,-11.25,None,None,None,None,19.43204,9.612464,0.0,0.0,50,25,0,0,48970,23352,0,0,13.2396648045,13.4978723404,None,None,4.5,13.1000003815,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142630,26.219648,22,-97.1875,-16.75,-93.375,-10.625,None,None,None,None,22.769392,9.174176,0.0,0.0,47,25,0,0,53704,22212,0,0,13.9223463687,13.7419601838,None,None,5.59999990463,11.1999998093,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142631,27.710592,23,-98.4375,-16.75,-92.75,-10.125,None,None,None,None,19.992808,13.282192,0.0,0.0,47,25,0,0,47394,30642,0,0,13.8842917251,14.2450980392,None,None,6.80000019073,13.1999998093,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142633,32.812416,25,-97.875,-17.1875,-91.9375,-10.375,None,None,None,None,24.732328,10.493016,0.0,0.0,50,25,0,0,62898,24274,0,0,13.0465517241,14.125577812,None,None,4.69999980927,14.1999998093,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142634,31.286528,26,-97.4375,-16.8125,-94.25,-9.875,None,None,None,None,26.26956,11.516248,0.0,0.0,50,25,0,0,75148,24595,0,0,11.6307609861,15.0583804143,None,None,5.59999990463,13.6999998093,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142636,45.438848,28,-98.3125,-16.0,-94.625,-9.875,None,None,None,None,37.534096,13.713896,0.0,0.0,50,25,0,0,87346,27472,0,0,13.9691422594,15.9703757225,None,None,6.0,11.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584142638,35.305088,30,-98.5,-17.1875,-92.25,-10.0625,None,None,None,None,32.202616,15.444016,0.0,0.0,50,25,0,0,78846,29774,0,0,13.4117021277,16.6395027624,None,None,4.59999990463,15.3999996185,None,None
