grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,193,66836,393,67086,None,None,None,None,1583887515,74.725408,0,-72.625,-7.0,-132.6875,-30.0,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,25.7999992371,None,None,None
None,None,193,66836,393,67086,None,None,None,None,1583887516,67.585216,1,-69.75,-6.375,-120.8125,-21.8125,None,None,None,None,8e-05,0.0,0.0,0.0,3,0,0,0,3,0,0,0,0.0,None,None,None,28.8999996185,None,None,None
None,None,193,66836,393,67086,None,None,None,None,1583887517,89.186112,2,-73.375,-7.0625,-132.0,-30.0,None,None,None,None,9.6e-05,0.0,0.0,0.0,9,0,0,0,9,0,0,0,2.0,None,None,None,26.2000007629,None,None,None
None,None,193,66836,393,67086,None,None,None,None,1583887518,85.13504,3,-71.3125,-7.4375,-131.4375,-30.0,None,None,None,None,0.032744,0.0,0.0,0.0,12,0,0,0,60,0,0,0,13.8571428571,None,None,None,27.2999992371,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583887519,86.255392,4,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887520,73.499808,0,-78.5,-9.6875,-80.3125,-9.8125,-77.4375,-9.75,None,None,472.670816,515.176648,226.376064,0.0,50,50,50,0,613080,759374,304293,0,24.5015775756,22.9422326308,23.8978643355,None,20.2999992371,20.3999996185,23.8999996185,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887521,66.259424,1,-78.375,-10.125,-80.375,-5.625,-77.125,-7.125,None,None,32.506072,35.999056,14.877928,0.0,50,50,50,0,42465,53649,18865,0,24.0083391244,21.547788873,24.4128686327,None,22.2999992371,23.1000003815,26.5,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887522,70.943008,2,-77.9375,-10.25,-80.5625,-10.5625,-77.4375,-10.3125,None,None,33.161344,38.536832,8.876656,0.0,50,50,50,0,43583,59196,11516,0,24.0570469799,20.878243513,23.5558583106,None,19.8999996185,20.8999996185,25.8999996185,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887523,73.946528,3,-77.625,-9.875,-79.875,-9.6875,-77.6875,-10.9375,None,None,23.16404,25.910368,21.363096,0.0,50,50,50,0,29456,38899,26235,0,25.0517844647,21.587804878,25.1235679214,None,21.1000003815,20.3999996185,26.0,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887524,78.89568,4,-77.4375,-10.125,-80.625,-9.625,-77.375,-10.5625,None,None,42.862424,39.947952,35.715344,0.0,50,50,50,0,56867,59803,46751,0,23.4850603942,21.6425217975,23.8401759531,None,20.6000003815,20.2000007629,25.1000003815,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887525,115.151424,5,-75.4375,-9.9375,-79.0625,-9.9375,-78.125,-11.4375,None,None,35.276576,48.70728,35.951496,0.0,50,50,50,0,45729,70843,44594,0,24.1220498989,21.8586683417,24.7050359712,None,20.2000007629,20.5,24.2999992371,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887526,90.102752,6,-75.375,-9.8125,-78.9375,-10.0625,-76.375,-10.5,None,None,32.638032,46.52244,20.917512,0.0,50,50,50,0,42200,67836,26057,0,24.223869533,21.9292149292,24.8901623687,None,19.8999996185,20.5,23.7000007629,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887527,102.998048,7,-75.0,-9.9375,-77.875,-9.5,-76.9375,-9.9375,None,None,45.928808,47.239584,8.65144,0.0,50,50,50,0,56296,66389,10331,0,25.0894736842,22.6248294679,25.7980416157,None,21.0,21.0,24.6000003815,None
40.4530519,-86.9240159,193,2100,193,2350,193,5230,None,None,1583887528,90.135776,8,-75.8125,-9.5,-78.25,-10.0625,-76.0625,-9.625,None,None,45.24144,46.6438,10.249456,0.0,50,50,50,0,55454,64598,12310,0,25.3725,22.9466080402,25.3539192399,None,21.3999996185,21.2000007629,26.3999996185,None
