grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,193,1075,None,None,None,None,None,None,1583888451,29.204608,5,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888452,40.37424,6,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888453,29.4576,7,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888454,29.965888,8,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888455,21.301888,9,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888456,21.359648,10,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888457,17.870944,11,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888458,27.158752,12,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888459,19.476672,13,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888460,7.116032,14,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888461,34.783072,15,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888462,39.461632,16,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888463,26.095968,17,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583888464,23.011584,18,-69.9375,-11.875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.1000003815,None,None,None
None,None,193,66586,393,67086,None,None,None,None,1583888465,29.422944,19,-71.3125,-9.0625,-123.625,-22.9375,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,21.6000003815,None,None,None
None,None,193,66586,393,67086,None,None,None,None,1583888466,11.817696,20,-73.375,-8.6875,-129.5,-26.875,None,None,None,None,0.070416,0.0,0.0,0.0,41,0,0,0,376,0,0,0,11.1267605634,None,None,None,23.2999992371,-7.69999980927,None,None
None,None,193,66586,393,67086,None,None,None,None,1583888467,8.328992,21,-75.0,-9.8125,-127.0625,-23.625,None,None,None,None,6.302392,0.0,0.0,0.0,50,0,0,0,7324,0,0,0,24.0109090909,None,None,None,24.3999996185,None,None,None
40.4535,-86.924,193,66586,393,67086,None,None,None,None,1583888468,3.91472,22,-75.0,-10.0,-130.25,-29.5,None,None,None,None,34.847216,0.0,0.0,0.0,50,0,0,0,38920,0,0,0,26.5228677379,None,None,None,24.2999992371,None,None,None
40.4535,-86.924,193,66586,393,67086,None,None,None,None,1583888469,4.98304,23,-75.1875,-10.0625,-120.8125,-21.125,None,None,None,None,47.322712,0.0,0.0,0.0,50,0,0,0,53558,0,0,0,26.4300518135,None,None,None,22.5,None,None,None
40.4535,-86.924,193,66586,393,67086,None,None,None,None,1583888470,4.0432,24,-74.875,-9.75,-129.6875,-30.0,None,None,None,None,25.231096,0.0,0.0,0.0,50,0,0,0,29288,0,0,0,26.0298181818,None,None,None,24.7000007629,None,None,None
40.4535,-86.924,193,66586,393,67086,None,None,None,None,1583888471,7.150688,25,-76.1875,-9.25,-120.8125,-20.8125,None,None,None,None,38.428768,0.0,0.0,0.0,50,0,0,0,44737,0,0,0,25.8536036036,None,None,None,23.7999992371,None,None,None
40.4535,-86.924,193,66586,393,67086,None,None,None,None,1583888472,8.664,26,-77.1875,-8.8125,-133.0625,-29.4375,None,None,None,None,18.940464,0.0,0.0,0.0,50,0,0,0,25088,0,0,0,23.8934782609,None,None,None,23.2999992371,None,None,None
40.4535,-86.924,193,66586,393,67086,None,None,None,None,1583888473,10.28128,27,-78.5625,-10.6875,-131.0625,-30.0,None,None,None,None,25.012448,0.0,0.0,0.0,50,0,0,0,29669,0,0,0,25.7884750527,None,None,None,23.7000007629,None,None,None
