grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,193,2100,None,None,None,None,None,None,1583965714,6.262336,7,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965715,12.268224,8,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965716,17.143168,9,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965717,14.994496,10,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965718,18.286816,11,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965719,12.01408,12,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965720,8.9528,13,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965721,14.32448,14,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965722,7.012064,15,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965723,8.886752,16,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965724,6.087904,17,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965725,8.687104,18,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
None,None,193,2100,None,None,None,None,None,None,1583965726,5.591168,19,-93.5625,-11.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.1000003815,None,None,None
40.453,-86.916,193,2100,193,2350,193,5230,None,None,1583965727,9.680576,20,-103.1875,-13.3125,-104.75,-11.3125,-83.5625,-11.5,None,None,50.600344,107.271864,21.411032,0.0,50,50,50,0,154840,368861,53916,0,17.5380637153,16.3849502998,19.5896328294,None,2.0,1.79999995232,15.0,None
40.45301481,-86.91629239,193,2100,193,2350,193,5230,None,None,1583965728,5.672032,21,-103.625,-12.4375,-107.6875,-11.9375,-80.75,-9.9375,None,None,0.028192,3.478304,1.04088,0.0,18,50,44,0,89,18196,2359,0,17.1538461538,12.2834645669,22.1685393258,None,2.90000009537,1.70000004768,17.7000007629,None
40.45301481,-86.91629241,193,2100,193,2350,193,5230,None,None,1583965729,3.673536,22,-106.5,-11.5625,-103.6875,-12.0,-81.25,-11.25,None,None,0.110984,2.443056,0.958264,0.0,38,50,50,0,429,14691,2489,0,15.0303030303,10.9887429644,18.967032967,None,7.69999980927,3.09999990463,5.19999980927,None
40.45301481,-86.91629241,193,2100,193,2350,193,5230,None,None,1583965730,3.92768,23,-102.5625,-11.8125,-102.75,-12.4375,-80.875,-11.125,None,None,0.093648,1.53708,0.356744,0.0,24,50,50,0,283,7844,1367,0,16.8181818182,11.6585365854,14.1346153846,None,8.0,3.40000009537,9.39999961853,None
40.45301482,-86.91629241,193,2100,193,2350,193,5230,None,None,1583965731,2.888,24,-103.1875,-13.3125,-103.0625,-12.25,-80.9375,-10.6875,None,None,0.08056,2.960808,0.194416,0.0,26,50,42,0,304,13251,516,0,15.625,13.9752475248,19.25,None,0.20000000298,1.70000004768,4.59999990463,None
40.45301482,-86.91629241,193,2100,193,2350,193,5230,None,None,1583965732,2.54144,25,-101.4375,-12.875,-104.5625,-11.875,-80.875,-11.9375,None,None,0.416928,1.449104,0.989864,0.0,39,50,50,0,1249,6648,2358,0,18.2604166667,13.3546511628,19.1315789474,None,2.40000009537,2.29999995232,14.6000003815,None
40.453,-86.916,193,2100,193,2350,193,5230,None,None,1583965733,2.449024,26,-102.4375,-12.8125,-104.5,-11.6875,-80.9375,-11.5625,None,None,0.42512,2.915048,0.2062,0.0,35,50,38,0,1498,13096,563,0,15.9217391304,13.8581081081,19.3913043478,None,9.0,4.0,7.30000019073,None
40.45301483,-86.91629234,193,2100,193,2350,193,5230,None,None,1583965734,3.11904,27,-102.625,-13.125,-105.6875,-13.375,-80.3125,-10.9375,None,None,0.487184,3.990272,0.601816,0.0,50,50,50,0,1653,18272,1433,0,16.5578231293,14.2074829932,21.0833333333,None,3.20000004768,1.60000002384,6.09999990463,None
40.45301482,-86.91629234,193,2100,193,2350,193,5230,None,None,1583965735,3.663072,28,-103.25,-13.125,-105.25,-12.875,-80.75,-11.8125,None,None,1.111904,3.512928,0.0,0.0,42,50,0,0,4726,16502,0,0,15.031884058,13.842837274,None,None,1.29999995232,2.0,3.59999990463,None
