grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,17,66586,None,None,None,None,None,None,1583980279,11.078368,0,-106.375,-14.25,None,None,None,None,None,None,0.00028,0.0,0.0,0.0,6,0,0,0,6,0,0,0,8.0,None,None,None,-4.80000019073,None,None,None
None,None,16,66836,None,None,None,None,None,None,1583980280,13.16928,1,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,66836,None,None,None,None,None,None,1583980281,13.365664,2,-103.75,-9.875,None,None,None,None,None,None,0.001224,0.0,0.0,0.0,47,0,0,0,74,0,0,0,10.6666666667,None,None,None,0.600000023842,None,None,None
None,None,16,66836,None,None,None,None,None,None,1583980282,15.964864,3,None,None,None,None,None,None,None,None,0.00032,0.0,0.0,0.0,6,0,0,0,6,0,0,0,9.0,None,None,None,None,None,None,None
None,None,16,66586,None,None,None,None,None,None,1583980283,16.369184,4,None,None,None,None,None,None,None,None,0.00068,0.0,0.0,0.0,30,0,0,0,33,0,0,0,9.5,None,None,None,None,None,None,None
None,None,16,66586,None,None,None,None,None,None,1583980284,13.45808,5,-103.0,-10.0,None,None,None,None,None,None,0.001568,0.0,0.0,0.0,50,0,0,0,98,0,0,0,10.25,None,None,None,4.80000019073,None,None,None
None,None,16,2350,None,None,None,None,None,None,1583980285,14.205728,6,None,None,None,None,None,None,None,None,0.00032,0.0,0.0,0.0,5,0,0,0,5,0,0,0,9.0,None,None,None,None,None,None,None
None,None,16,66836,None,None,None,None,None,None,1583980286,15.895552,7,None,None,None,None,None,None,None,None,0.001224,0.0,0.0,0.0,47,0,0,0,71,0,0,0,10.6666666667,None,None,None,None,None,None,None
None,None,16,66836,177,2561,None,None,None,None,1583980287,17.085408,0,-105.625,-12.25,-113.875,-19.875,None,None,None,None,0.040592,0.0,0.0,0.0,33,0,0,0,276,0,0,0,5.74358974359,None,None,None,3.90000009537,1.39999997616,None,None
None,None,177,2561,None,None,None,None,None,None,1583980288,19.141664,0,-114.0625,-19.3125,None,None,None,None,None,None,0.001112,0.0,0.0,0.0,30,0,0,0,54,0,0,0,5.0,None,None,None,0.20000000298,None,None,None
None,None,179,2561,None,None,None,None,None,None,1583980289,16.11504,1,-109.9375,-17.375,None,None,None,None,None,None,0.23824,0.0,0.0,0.0,41,0,0,0,721,0,0,0,16.6666666667,None,None,None,0.600000023842,None,None,None
None,None,179,2561,None,None,None,None,None,None,1583980290,16.600224,2,-109.9375,-17.375,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,0.600000023842,None,None,None
None,None,179,2561,None,None,None,None,None,None,1583980291,14.070336,3,-109.9375,-17.375,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,0.600000023842,None,None,None
None,None,179,2561,None,None,None,None,None,None,1583980292,17.73232,4,-109.9375,-17.375,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,0.600000023842,None,None,None
None,None,179,2561,None,None,None,None,None,None,1583980293,19.361152,5,-110.1875,-18.625,None,None,None,None,None,None,4.435664,0.0,0.0,0.0,41,0,0,0,11148,0,0,0,21.2704081633,None,None,None,0.800000011921,None,None,None
40.4236592,-86.9122736,179,2561,None,None,None,None,None,None,1583980294,18.448544,6,-110.625,-19.4375,None,None,None,None,None,None,12.410848,0.0,0.0,0.0,41,0,0,0,31628,0,0,0,21.0377155172,None,None,None,0.800000011921,None,None,None
