grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,16,1075,None,None,None,None,None,None,1583978219,3.790208,6,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978220,1.894528,7,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978221,2.48368,8,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978222,4.701664,9,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978223,5.533408,10,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978224,3.072832,11,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978225,3.23456,12,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978226,4.944256,13,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978227,4.528384,14,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978228,5.14064,15,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978229,4.343552,16,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978230,5.752896,17,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978231,4.586144,18,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,1075,None,None,None,None,None,None,1583978232,3.00352,19,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,16,66836,179,67086,None,None,None,None,1583978233,3.419392,0,-100.6875,-11.25,-125.375,-21.75,None,None,None,None,0.003944,0.0,0.0,0.0,32,0,0,0,72,0,0,0,3.33333333333,None,None,None,8.19999980927,-6.80000019073,None,None
None,None,16,66836,179,67086,None,None,None,None,1583978234,4.21648,1,-100.6875,-11.25,-125.375,-21.75,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,8.19999980927,-6.80000019073,None,None
None,None,16,66836,179,67086,None,None,None,None,1583978235,4.15872,2,-100.5,-10.5625,-124.9375,-17.3125,None,None,None,None,0.049376,0.0,0.0,0.0,50,0,0,0,327,0,0,0,8.26829268293,None,None,None,9.60000038147,-6.0,None,None
None,None,16,66836,179,67086,None,None,None,None,1583978236,3.500256,3,-100.6875,-12.0,-124.4375,-20.6875,None,None,None,None,0.04864,0.0,0.0,0.0,35,0,0,0,157,0,0,0,12.4347826087,None,None,None,10.3999996185,None,None,None
40.4235,-86.912,16,66836,179,67086,None,None,None,None,1583978237,2.749376,4,-101.0,-11.5625,-126.0,-20.9375,None,None,None,None,2.2612,1.279024,0.0,0.0,50,50,0,0,7123,6122,0,0,18.3917137476,12.8626373626,None,None,7.80000019073,-3.20000004768,None,None
40.4235,-86.912,16,66836,179,67086,None,None,None,None,1583978238,2.472128,5,-101.375,-11.5,-125.625,-23.9375,None,None,None,None,1.62976,0.87424,0.0,0.0,38,50,0,0,6423,4256,0,0,15.0630769231,13.4696969697,None,None,6.59999990463,-7.80000019073,None,None
40.42360805,-86.91208167,16,66836,179,67086,None,None,None,None,1583978239,3.939232,6,-100.5,-11.1875,-125.8125,-17.0,None,None,None,None,2.920264,0.0,0.0,0.0,50,0,0,0,11957,0,0,0,15.9394736842,None,None,None,7.69999980927,None,None,None
40.42360781,-86.91208158,16,66836,179,67086,None,None,None,None,1583978240,2.795584,7,-104.3125,-8.875,-121.0,-13.375,None,None,None,None,4.023392,0.567048,0.0,0.0,50,50,0,0,13093,2369,0,0,17.1786570743,13.5344827586,None,None,9.5,0.0,None,None
40.42360784,-86.91208159,16,66836,179,67086,None,None,None,None,1583978241,2.275744,8,-105.375,-12.375,-121.5625,-17.625,None,None,None,None,3.611696,2.866224,0.0,0.0,50,50,0,0,10706,13216,0,0,18.8257575758,12.6065989848,None,None,6.69999980927,-1.10000002384,None,None
40.42360803,-86.91208176,16,66836,179,67086,None,None,None,None,1583978242,2.056256,9,-106.0,-11.9375,-125.5,-20.8125,None,None,None,None,1.565232,1.538608,0.0,0.0,47,50,0,0,7772,11235,0,0,13.5594936709,8.57874015748,None,None,9.60000038147,-4.19999980927,None,None
40.4235,-86.912,16,66836,179,67086,None,None,None,None,1583978243,2.241088,10,-106.0,-12.125,-124.5625,-18.0,None,None,None,None,1.486872,2.480592,0.0,0.0,39,50,0,0,4140,14967,0,0,19.8903225806,11.2990936556,None,None,8.0,-6.40000009537,None,None
40.42360845,-86.91208225,16,66836,179,67086,None,None,None,None,1583978244,1.859872,11,-105.375,-11.75,-126.375,-21.0625,None,None,None,None,2.655736,1.87736,0.0,0.0,44,50,0,0,6741,13604,0,0,20.9054054054,8.16831683168,None,None,10.3999996185,-4.09999990463,None,None
40.42360879,-86.91208233,16,66836,179,67086,None,None,None,None,1583978245,2.472128,12,-105.3125,-11.4375,-125.25,-18.0,None,None,None,None,4.477368,1.024048,0.0,0.0,50,50,0,0,10731,6467,0,0,21.6111908178,10.4335664336,None,None,8.5,-4.0,None,None
40.42360913,-86.91208223,16,66836,179,67086,None,None,None,None,1583978246,4.690112,13,-105.875,-11.6875,-125.75,-20.0,None,None,None,None,3.109936,2.944944,0.0,0.0,44,50,0,0,8568,16797,0,0,19.9560632689,11.3686868687,None,None,8.19999980927,-6.90000009537,None,None
