grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,341,1075,None,None,None,None,None,None,1584053016,1.468256,0,-99.25,-11.8125,None,None,None,None,None,None,0.003472,0.0,0.0,0.0,25,0,0,0,152,0,0,0,6.58333333333,None,None,None,5.09999990463,None,None,None
None,None,341,1075,179,2561,None,None,None,None,1584053017,59.491552,1,-100.125,-11.75,-128.375,-21.3125,None,None,None,None,0.015928,0.0,0.0,0.0,10,0,0,0,100,0,0,0,7.22857142857,None,None,None,5.0,-0.10000000149,None,None
None,None,341,1075,179,2561,None,None,None,None,1584053018,62.378656,2,-100.0625,-13.125,-128.5625,-21.4375,None,None,None,None,0.015008,0.0,0.0,0.0,12,0,0,0,52,0,0,0,12.4285714286,None,None,None,7.30000019073,None,None,None
None,None,341,1075,None,None,None,None,None,None,1584053019,56.450016,3,-102.25,-14.75,None,None,None,None,None,None,0.85748,0.0,0.0,0.0,25,0,0,0,3612,0,0,0,16.84,None,None,None,10.3000001907,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053020,54.166848,4,-105.25,-16.0625,-93.0625,-24.6875,None,None,None,None,7.552032,0.0,0.0,0.0,25,0,0,0,35348,0,0,0,13.0013879251,None,None,None,7.80000019073,-6.09999990463,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053021,72.143808,5,-104.8125,-16.0,-89.875,-23.25,None,None,None,None,7.955656,0.0,0.0,0.0,25,0,0,0,43824,0,0,0,11.7747344885,None,None,None,6.80000019073,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053022,74.091136,6,-102.9375,-16.5625,-92.0625,-22.9375,None,None,None,None,9.932096,0.0,0.0,0.0,25,0,0,0,43428,0,0,0,13.9185520362,None,None,None,3.09999990463,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053023,47.307616,7,-104.625,-13.5,-91.5,-24.6875,None,None,None,None,7.41392,0.0,0.0,0.0,25,0,0,0,36170,0,0,0,13.0033829499,None,None,None,4.5,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053024,70.2136,8,-104.5,-12.0,-95.5,-24.875,None,None,None,None,0.001472,0.0,0.0,0.0,5,0,0,0,20,0,0,0,2.57142857143,None,None,None,8.30000019073,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053025,58.271712,9,-98.4375,-13.6875,-95.5,-24.25,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,-0.699999988079,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053026,62.583552,10,-102.5625,-13.625,-98.125,-23.5625,None,None,None,None,5.6e-05,0.0,0.0,0.0,2,0,0,0,2,0,0,0,0.0,None,None,None,0.10000000149,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053027,68.045632,11,-101.9375,-15.5625,-96.875,-24.375,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,-0.300000011921,None,None,None
40.438,-86.917,341,1075,341,2100,None,None,None,None,1584053028,63.284576,12,-102.75,-13.25,-98.5,-22.875,None,None,None,None,0.030976,0.0,0.0,0.0,25,0,0,0,189,0,0,0,8.3125,None,None,None,5.59999990463,None,None,None
40.438,-86.917,341,1075,None,None,None,None,None,None,1584053029,68.58144,13,-102.875,-15.5,None,None,None,None,None,None,0.00136,0.0,0.0,0.0,4,0,0,0,12,0,0,0,6.5,None,None,None,2.79999995232,None,None,None
40.438,-86.917,341,1075,None,None,None,None,None,None,1584053030,57.682944,14,-102.875,-15.5,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,2.79999995232,None,None,None
40.438,-86.917,313,66586,None,None,15,1075,None,None,1584053031,65.652128,0,-79.4375,-10.375,None,None,-108.0,-21.375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.7999992371,None,None,None
40.438,-86.917,313,66586,None,None,15,1075,None,None,1584053032,57.437504,1,-79.4375,-10.375,None,None,-108.0,-21.375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,22.7999992371,None,None,None
