grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,313,66836,313,66586,313,5230,None,None,1584055796,13.007552,0,-84.625,-7.1875,-85.125,-8.0625,-82.125,-12.6875,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,20.5,None,None,None
None,None,313,66836,313,66586,313,5230,None,None,1584055797,10.650944,1,-86.9375,-7.8125,-83.5,-9.1875,-83.625,-9.9375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,24.2999992371,None,None,None
None,None,313,66836,313,66586,313,5230,None,None,1584055798,9.195392,2,-88.125,-7.6875,-84.9375,-8.4375,-82.75,-9.9375,None,None,0.039936,0.0,0.0,0.0,21,0,0,0,120,0,0,0,15.65,None,None,None,20.2000007629,None,None,None
None,None,313,66836,313,66586,313,5230,None,None,1584055799,9.5304,3,-88.125,-7.6875,-84.9375,-8.4375,-82.75,-9.9375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,20.2000007629,None,None,None
None,None,313,66836,313,66586,313,5230,None,None,1584055800,12.684096,4,-88.125,-7.6875,-84.9375,-8.4375,-82.75,-9.9375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,20.2000007629,None,None,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055801,16.912128,0,-76.0625,-9.6875,-97.75,-21.25,-93.125,-20.0625,None,None,2.392984,0.0,0.227584,0.0,50,0,50,0,4883,0,2196,0,17.0585365854,None,6.12244897959,None,6.09999990463,-9.39999961853,-6.09999990463,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055802,11.887008,1,-76.0625,-9.6875,-97.75,-21.25,-93.125,-20.0625,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,6.09999990463,-9.39999961853,-6.09999990463,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055803,13.897056,2,-76.0625,-9.6875,-97.75,-21.25,-93.125,-20.0625,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,6.09999990463,-9.39999961853,-6.09999990463,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055804,18.1944,3,-77.6875,-11.3125,-96.8125,-20.125,-94.9375,-20.3125,None,None,3.92436,0.0,0.100064,0.0,50,0,50,0,8649,0,996,0,22.2124542125,None,6.61538461538,None,6.5,None,-7.80000019073,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055805,14.428448,4,-77.5625,-12.5,-97.75,-19.0625,-94.0,-20.875,None,None,8.655368,0.0,0.27144,0.0,50,0,50,0,17959,0,1777,0,22.8214731586,None,10.4,None,20.7000007629,None,-8.30000019073,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055806,13.839296,5,-77.125,-13.0,-100.9375,-24.5625,-97.3125,-20.25,None,None,8.102216,0.0,0.0,0.0,50,0,0,0,19724,0,0,0,21.1760479042,None,None,None,17.6000003815,None,-4.09999990463,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055808,6.908096,7,-77.125,-9.8125,-94.0,-21.5625,-97.1875,-21.375,None,None,3.927696,0.0,0.06888,0.0,50,0,50,0,9427,0,358,0,22.0482315113,None,11.7777777778,None,11.8999996185,None,-3.40000009537,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055809,7.520352,8,-76.25,-12.3125,-96.3125,-17.75,-89.5,-20.625,None,None,4.295856,0.0,0.03056,0.0,50,0,27,0,8636,0,204,0,23.8234234234,None,14.6666666667,None,12.3000001907,None,-7.09999990463,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055810,13.931712,9,-76.3125,-13.375,-99.5,-20.875,-91.25,-21.5625,None,None,5.732176,1.077232,0.0,0.0,50,50,0,0,17480,6248,0,0,18.9909677419,12.6990291262,None,None,4.09999990463,0.5,None,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055811,6.561536,10,-76.1875,-12.25,-99.5,-24.0625,-90.5625,-21.25,None,None,11.381264,0.8176,0.0,0.0,50,50,0,0,33815,5944,0,0,18.6933333333,8.27096774194,None,None,6.40000009537,-8.60000038147,None,None
40.438,-86.917,312,5230,312,2100,312,2350,None,None,1584055812,6.041696,11,-76.375,-13.25,-98.5,-22.125,-89.625,-20.875,None,None,13.600656,2.122464,0.0,0.0,50,50,0,0,43794,16474,0,0,16.8369905956,7.90825688073,None,None,3.5,3.0,None,None
