grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,32,1075,32,2350,32,5230,None,None,1584060628,32.65968,0,-101.625,-15.6875,-116.6875,-21.625,-109.375,-22.4375,None,None,9.6e-05,0.0,0.0,0.0,8,0,0,0,8,0,0,0,2.0,None,None,None,4.69999980927,None,None,None
None,None,32,1075,32,2350,32,5230,None,None,1584060629,31.999584,1,-101.8125,-13.3125,-115.5,-16.6875,-107.25,-21.9375,None,None,9.6e-05,0.0,0.0,0.0,9,0,0,0,9,0,0,0,2.0,None,None,None,0.600000023842,None,None,None
None,None,32,1075,32,2350,32,5230,None,None,1584060630,22.772256,2,-101.5,-16.6875,-115.625,-17.6875,-108.8125,-23.375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.20000004768,None,None,None
None,None,32,1075,32,2350,32,5230,None,None,1584060631,24.998528,0,-103.5,-18.8125,-113.6875,-18.75,-111.375,-21.625,None,None,0.030384,0.0,0.0,0.0,25,0,0,0,185,0,0,0,5.64,None,None,None,1.20000004768,-7.59999990463,-9.39999961853,None
None,None,8,66836,None,None,None,None,None,None,1584060632,19.094432,1,-105.4375,-13.0625,None,None,None,None,None,None,0.001904,0.0,0.0,0.0,42,0,0,0,125,0,0,0,6.85714285714,None,None,None,3.09999990463,None,None,None
None,None,8,66836,None,None,None,None,None,None,1584060633,35.096544,2,-104.875,-12.1875,None,None,None,None,None,None,0.00032,0.0,0.0,0.0,6,0,0,0,6,0,0,0,9.0,None,None,None,2.20000004768,None,None,None
None,None,8,66836,None,None,None,None,None,None,1584060634,34.956352,3,-104.25,-14.75,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.39999997616,None,None,None
None,None,8,66836,None,None,None,None,None,None,1584060635,25.922688,4,-104.5,-15.1875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.60000002384,None,None,None
None,None,8,66836,None,None,None,None,None,None,1584060636,37.220544,5,-104.125,-15.125,None,None,None,None,None,None,8e-05,0.0,0.0,0.0,3,0,0,0,3,0,0,0,0.0,None,None,None,2.40000009537,None,None,None
None,None,8,66836,None,None,None,None,None,None,1584060637,25.853376,6,-104.375,-15.0625,None,None,None,None,None,None,0.000352,0.0,0.0,0.0,3,0,0,0,3,0,0,0,7.0,None,None,None,1.39999997616,None,None,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060638,24.501792,0,-99.375,-14.3125,-104.875,-13.875,-108.3125,-14.0,None,None,18.554704,30.999832,15.939952,0.0,50,50,50,0,89476,110068,42066,0,11.7310409797,15.787429944,19.9663658737,None,3.90000009537,5.19999980927,5.0,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060639,14.289824,1,-99.375,-14.3125,-104.875,-13.875,-108.3125,-14.0,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,3.90000009537,5.19999980927,5.0,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060640,20.458592,2,-99.375,-14.3125,-104.875,-13.875,-108.3125,-14.0,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,3.90000009537,5.19999980927,5.0,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060641,30.312448,3,-99.375,-14.3125,-104.875,-13.875,-108.3125,-14.0,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,3.90000009537,5.19999980927,5.0,None
40.422,-86.9045,8,5230,None,None,None,None,None,None,1584060642,31.791104,4,None,None,None,None,None,None,None,None,0.094752,0.195912,0.05032,0.0,50,50,20,0,321,682,116,0,15.4285714286,15.7142857143,21.2857142857,None,None,None,None,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060643,24.986976,5,-99.6875,-14.75,-105.875,-13.9375,-108.5,-13.6875,None,None,12.98944,17.805776,7.123216,0.0,50,50,50,0,41152,59699,18255,0,16.9823284823,16.6105197245,20.5118549512,None,9.0,4.19999980927,5.90000009537,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060644,25.218016,6,-98.4375,-14.375,-105.75,-14.625,-107.5625,-13.8125,None,None,8.8286,16.680464,4.136624,0.0,50,50,50,0,37167,55354,10491,0,14.54512958,17.0518950437,20.4858569052,None,4.19999980927,4.90000009537,4.09999990463,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060645,16.23056,7,-99.125,-14.5625,-105.0,-12.9375,-108.125,-15.3125,None,None,12.962056,18.337688,5.62676,0.0,50,50,50,0,43612,70816,14855,0,15.9340770791,15.0824308063,19.8969072165,None,4.5,3.70000004768,5.0,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060646,21.556032,8,-98.875,-15.5,-104.875,-14.0,-106.9375,-13.9375,None,None,10.399184,17.37804,5.787808,0.0,50,50,50,0,33711,67197,14471,0,16.6670506912,14.9111245466,20.4940298507,None,5.59999990463,5.40000009537,5.30000019073,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060647,19.29184,9,-98.9375,-14.9375,-105.8125,-14.9375,-107.625,-14.25,None,None,11.643816,13.639928,4.750176,0.0,50,50,50,0,39634,52498,11170,0,15.8199780461,15.2448320413,21.3409090909,None,3.0,2.90000009537,4.5,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060648,21.209472,10,-98.875,-13.9375,-106.5,-13.875,-107.5,-14.6875,None,None,8.055264,7.390264,8.24932,0.0,50,50,50,0,25870,28032,19520,0,16.7780938834,15.9978556112,21.3291457286,None,4.5,4.09999990463,5.19999980927,None
40.422,-86.9045,8,5230,8,2350,8,2100,None,None,1584060649,29.203456,11,-98.375,-14.75,-105.6875,-13.8125,-106.4375,-14.3125,None,None,7.145936,10.01432,7.871384,0.0,50,50,50,0,24560,39351,19795,0,16.3215962441,15.1752727273,20.2981969487,None,2.5,2.90000009537,1.60000002384,None
