grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,8,66586,177,67086,32,1075,None,None,1584059679,2.044704,0,-102.0,-9.875,-130.4375,-20.5,-105.375,-12.1875,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,5.5,None,None,None
None,None,8,66586,177,67086,32,1075,None,None,1584059680,5.059776,1,-100.8125,-7.875,-130.4375,-19.9375,-106.3125,-16.375,None,None,0.000352,0.0,0.0,0.0,3,0,0,0,3,0,0,0,7.0,None,None,None,7.30000019073,None,None,None
None,None,8,66586,None,None,None,None,None,None,1584059681,5.568064,2,-101.875,-12.0,None,None,None,None,None,None,9.6e-05,0.0,0.0,0.0,9,0,0,0,9,0,0,0,2.0,None,None,None,6.5,None,None,None
None,None,8,66586,None,None,None,None,None,None,1584059682,5.31392,3,-101.875,-12.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,6.5,None,None,None
None,None,8,66586,None,None,None,None,None,None,1584059683,5.66048,4,-103.8125,-13.0625,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,2.0,None,None,None
None,None,8,66586,None,None,None,None,None,None,1584059684,5.591168,5,-105.5625,-12.6875,None,None,None,None,None,None,9.6e-05,0.0,0.0,0.0,9,0,0,0,9,0,0,0,2.0,None,None,None,3.5,None,None,None
None,None,8,66586,None,None,None,None,None,None,1584059685,6.630848,0,-106.8125,-15.5625,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.70000004768,None,None,None
None,None,8,66586,177,67086,32,1075,None,None,1584059686,5.521856,1,-106.9375,-15.375,-133.5625,-22.9375,-102.6875,-16.75,None,None,0.017344,0.0,0.0,0.0,24,0,0,0,95,0,0,0,5.86666666667,None,None,None,2.0,None,None,None
None,None,8,66586,177,67086,32,1075,None,None,1584059687,4.828736,2,-106.9375,-15.375,-133.5625,-22.9375,-102.6875,-16.75,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,2.0,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584059688,1.79056,0,-96.5,-18.0625,None,None,None,None,None,None,0.001488,0.0,0.0,0.0,25,0,0,0,54,0,0,0,5.28571428571,None,None,None,-0.699999988079,None,None,None
