grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,32,1075,None,None,None,None,None,None,1584120994,31.42832,14,-108.875,-11.3125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.79999995232,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584120995,90.110688,15,-108.875,-11.3125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.79999995232,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584120996,68.290432,16,-108.875,-11.3125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.79999995232,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584120997,67.608608,17,-108.875,-11.3125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.79999995232,None,None,None
None,None,32,1075,None,None,None,None,None,None,1584120998,61.81168,18,-108.875,-11.3125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.79999995232,None,None,None
None,None,7,2350,None,None,None,None,None,None,1584120999,65.627328,19,-92.4375,-5.25,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,19.0,None,None,None
None,None,7,2350,7,2100,177,2561,None,None,1584121000,82.095584,20,-93.0625,-6.0,-92.5,-6.0,-124.1875,-16.0,None,None,0.00776,0.0,0.0,0.0,41,0,0,0,154,0,0,0,5.78260869565,None,None,None,16.7999992371,21.1000003815,None,None
None,None,7,2350,7,2100,177,2561,None,None,1584121001,87.796832,21,-95.25,-6.0,-93.9375,-7.8125,-122.75,-13.25,None,None,0.017328,0.0,0.0,0.0,8,0,0,0,73,0,0,0,10.55,None,None,None,20.2000007629,None,None,None
None,None,7,2350,None,None,177,2561,None,None,1584121002,87.48448,22,-95.875,-6.1875,None,None,-124.0625,-14.8125,None,None,0.026528,0.0,0.0,0.0,20,0,0,0,70,0,0,0,13.4444444444,None,None,None,18.5,None,None,None
None,None,7,2350,7,2100,177,2561,None,None,1584121003,90.51264,23,-92.6875,-6.0625,-95.0625,-11.75,-122.125,-12.75,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,19.8999996185,None,None,None
