grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,316,66586,None,None,None,None,None,None,1584129098,74.7216,0,-84.8125,-9.1875,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,15.3000001907,None,None,None
None,None,316,66586,None,None,None,None,None,None,1584129099,102.179616,1,-82.125,-9.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,21.3999996185,None,None,None
None,None,316,66586,None,None,None,None,None,None,1584129100,85.028,0,-84.0,-12.375,None,None,None,None,None,None,0.000688,0.0,0.0,0.0,12,0,0,0,27,0,0,0,0.25,None,None,None,-0.20000000298,None,None,None
None,None,316,66586,None,None,None,None,None,None,1584129101,78.688992,1,-85.625,-14.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,1.5,None,None,None
None,None,316,5230,None,None,None,None,None,None,1584129102,92.17504,0,-85.375,-7.4375,None,None,None,None,None,None,0.005112,0.0,0.0,0.0,39,0,0,0,212,0,0,0,6.84615384615,None,None,None,14.8999996185,None,None,None
None,None,316,2350,316,2100,316,5230,None,None,1584129103,77.610688,1,-82.25,-9.625,-85.75,-8.8125,-83.8125,-7.25,None,None,0.024664,0.0,0.0,0.0,50,0,0,0,183,0,0,0,4.8,None,None,None,17.2000007629,13.6999998093,15.3999996185,None
None,None,316,2350,316,2100,316,5230,None,None,1584129104,66.845312,2,-83.875,-9.5,-90.875,-12.1875,-82.5,-8.1875,None,None,0.052536,0.004032,0.0,0.0,44,3,0,0,277,24,0,0,10.1836734694,11.75,None,None,11.8000001907,10.1999998093,15.8999996185,None
None,None,316,2350,316,2100,316,5230,None,None,1584129105,87.205568,3,-82.9375,-10.1875,-85.1875,-8.9375,-82.3125,-8.0,None,None,2.678752,1.764168,0.0,0.0,50,50,0,0,5060,3350,0,0,20.6535947712,23.9673913043,None,None,7.19999980927,15.3999996185,None,None
40.42366196,-86.91600667,316,2350,316,2100,316,5230,None,None,1584129106,81.346592,4,-83.3125,-16.625,-84.9375,-16.1875,-84.875,-10.875,None,None,34.094272,26.211976,29.174584,0.0,50,50,50,0,66103,66777,71906,0,22.4495159059,19.9631306598,20.4605834885,None,11.6999998093,12.8999996185,15.6000003815,None
40.42365908,-86.9160066,316,2350,316,2100,316,5230,None,None,1584129107,81.495104,5,-82.9375,-16.125,-86.3125,-14.75,-84.5625,-10.875,None,None,33.23384,25.293256,35.323192,0.0,50,50,50,0,70870,71489,80741,0,21.0728562218,18.2418687167,21.2382035247,None,8.89999961853,12.8999996185,17.2999992371,None
40.42365785,-86.91600671,316,2350,316,2100,316,5230,None,None,1584129108,101.639936,6,-83.8125,-15.1875,-85.125,-17.0625,-85.875,-11.0,None,None,35.523144,28.228288,35.566528,0.0,50,50,50,0,68960,74253,82059,0,17.0947176685,19.5387755102,21.3235955056,None,16.7999992371,12.6000003815,9.89999961853,None
40.42365706,-86.91600674,316,2350,316,2100,316,5230,None,None,1584129109,89.2248,7,-83.875,-13.125,-83.5,-10.8125,-85.75,-10.6875,None,None,43.62288,36.508552,31.076872,0.0,50,50,50,0,81856,87566,84333,0,17.4445073613,20.6771910724,18.9667755991,None,13.1000003815,11.6000003815,15.8000001907,None
40.42365632,-86.91600725,316,2350,316,2100,316,5230,None,None,1584129110,84.000576,8,-83.5,-10.4375,-84.875,-15.0625,-83.375,-11.25,None,None,41.433024,31.075752,32.96896,0.0,50,50,50,0,79933,78309,82485,0,16.9521094641,20.1397479954,20.1497476164,None,14.8999996185,16.7000007629,15.8999996185,None
40.4236559,-86.91600754,316,2350,316,2100,316,5230,None,None,1584129111,75.322976,9,-85.875,-16.75,-84.9375,-16.9375,-83.8125,-11.875,None,None,37.1436,33.207768,38.655432,0.0,50,50,50,0,70702,73607,77769,0,17.2188431723,21.6505681818,23.032,None,12.8000001907,18.5,19.1000003815,None
40.42365626,-86.91600737,316,2350,316,2100,316,5230,None,None,1584129112,80.59248,10,-87.375,-11.6875,-84.875,-10.75,-85.0625,-9.125,None,None,38.722112,34.554816,33.914576,0.0,50,50,50,0,76839,74666,80879,0,16.6703877791,21.3970856102,20.8122171946,None,20.8999996185,18.5,11.6000003815,None
40.4236568,-86.91600731,316,2350,316,2100,316,5230,None,None,1584129113,94.16592,11,-86.5625,-15.1875,-84.625,-14.75,-84.375,-11.125,None,None,38.283288,30.889144,27.947504,0.0,50,50,50,0,70054,69043,81368,0,18.05625,14.8747720365,18.6623667975,None,14.8000001907,15.1000003815,12.1999998093,None
40.42365712,-86.91600713,316,2350,316,2100,316,5230,None,None,1584129114,86.043648,12,-87.875,-15.8125,-86.0625,-15.375,-84.375,-11.3125,None,None,41.253704,31.694088,33.482664,0.0,50,50,50,0,79723,89888,87737,0,16.5058823529,11.7533818939,19.7346398305,None,14.3999996185,17.8999996185,15.3000001907,None
40.42365733,-86.91600698,316,2350,316,2100,316,5230,None,None,1584129115,83.535232,13,-85.25,-14.4375,-85.5625,-15.0625,-85.5625,-8.8125,None,None,37.6854,28.925112,35.819112,0.0,50,50,50,0,69072,73026,79704,0,17.6514148104,13.0644361834,21.1836141778,None,10.0,18.3999996185,15.0,None
40.4235,-86.916,316,2350,316,2100,316,5230,None,None,1584129116,66.137248,14,-84.1875,-15.4375,-84.125,-15.6875,-83.4375,-11.25,None,None,36.766704,19.197088,29.790056,0.0,50,50,50,0,63008,50384,78342,0,19.0847262248,12.7290076336,12.7641873278,None,7.80000019073,17.2999992371,11.6999998093,None
40.42365737,-86.91600689,316,2350,316,2100,316,5230,None,None,1584129117,61.980832,15,-85.125,-15.5625,-84.125,-14.875,-85.3125,-11.0,None,None,43.526744,28.018416,38.483936,0.0,50,50,50,0,74567,68627,80333,0,18.9115523466,13.8567916411,15.6687824582,None,14.3000001907,13.6000003815,11.3000001907,None
40.42365765,-86.91600669,316,2350,316,2100,316,5230,None,None,1584129118,64.293152,16,-85.8125,-16.0625,-85.0625,-14.25,-86.0625,-11.4375,None,None,40.956152,20.727256,27.624352,0.0,50,50,50,0,69723,61399,81413,0,19.2067833698,11.5774907749,12.5452069717,None,15.3000001907,12.8999996185,12.1000003815,None
40.42365779,-86.91600661,316,2350,316,2100,316,5230,None,None,1584129119,56.300224,17,-85.125,-16.0,-85.125,-15.75,-85.4375,-11.0625,None,None,33.524888,22.380496,38.407688,0.0,50,50,50,0,59582,62886,87634,0,18.9321933962,12.5262843489,14.7196361691,None,13.6000003815,12.8000001907,13.3999996185,None
40.42365789,-86.91600652,316,2350,316,2100,316,5230,None,None,1584129120,83.087968,18,-88.375,-15.875,-86.6875,-14.25,-84.6875,-11.0625,None,None,40.305392,26.046248,34.455608,0.0,50,50,50,0,73392,69465,84705,0,17.4809897405,12.6989178867,13.5178082192,None,16.6000003815,16.5,16.6000003815,None
