grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,316,66836,316,66586,None,None,None,None,1584134580,37.763488,0,-82.625,-10.75,-78.6875,-9.5625,None,None,None,None,0.000176,0.0,0.0,0.0,6,0,0,0,9,0,0,0,1.0,None,None,None,18.7000007629,None,None,None
None,None,316,66836,316,66586,None,None,None,None,1584134581,34.217024,1,-83.8125,-12.1875,-81.8125,-11.75,None,None,None,None,0.000248,0.0,0.0,0.0,3,0,0,0,6,0,0,0,0.5,None,None,None,3.59999990463,None,None,None
None,None,316,66836,177,67086,None,None,None,None,1584134582,29.607776,0,-83.8125,-11.0625,-140.0,-30.0,None,None,None,None,0.05144,0.0,0.0,0.0,29,0,0,0,184,0,0,0,9.57142857143,None,None,None,22.7000007629,-9.0,None,None
None,None,316,66836,177,2561,None,None,None,None,1584134583,23.716256,1,-84.4375,-10.6875,-120.0625,-30.0,None,None,None,None,0.009328,0.0,0.0,0.0,6,0,0,0,63,0,0,0,4.26315789474,None,None,None,13.6999998093,-0.20000000298,None,None
None,None,316,1075,None,None,None,None,None,None,1584134584,32.149216,0,-71.1875,-9.25,None,None,None,None,None,None,0.003848,0.0,0.0,0.0,25,0,0,0,159,0,0,0,6.23076923077,None,None,None,19.7999992371,None,None,None
None,None,316,66586,179,67086,None,None,None,None,1584134585,27.447552,1,-77.125,-15.0,-119.4375,-17.125,None,None,None,None,0.009616,0.0,0.0,0.0,32,0,0,0,169,0,0,0,5.23076923077,None,None,None,4.69999980927,-1.29999995232,None,None
None,None,316,66586,None,None,None,None,None,None,1584134586,35.568608,2,-77.0625,-10.5625,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,18.2999992371,None,None,None
None,None,316,66586,179,67086,None,None,None,None,1584134587,34.170816,3,-78.1875,-9.5625,-118.0625,-15.0625,None,None,None,None,0.099992,0.0,0.0,0.0,44,0,0,0,380,0,0,0,13.1194029851,None,None,None,14.1000003815,None,None,None
None,None,316,66586,179,67086,None,None,None,None,1584134588,33.535456,4,-80.3125,-16.125,-123.0,-20.0,None,None,None,None,7.654896,0.0,0.0,0.0,50,0,0,0,11465,0,0,0,25.0553505535,None,None,None,16.2999992371,-5.19999980927,None,None
40.4231695,-86.9165556,316,66586,179,67086,None,None,None,None,1584134589,31.1904,5,-82.875,-16.375,-123.875,-20.875,None,None,None,None,38.588368,0.007248,0.0,0.0,50,20,0,0,79241,20,0,0,20.5995449374,19.0,None,None,10.3999996185,-6.0,None,None
