grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,past_seconds_since_rrc_request
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323035,0
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323036,1
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323037,2
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323038,3
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323039,0
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323040,1
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323041,2
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323042,3
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323043,4
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323044,5
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323045,6
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323046,7
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323047,8
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323048,9
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323049,10
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323050,11
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323056,17
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323057,18
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323058,19
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323059,20
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323060,21
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323061,22
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323062,23
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323063,24
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323064,25
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323065,26
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323066,27
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323067,28
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323068,29
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323069,30
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323070,31
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323071,32
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323072,33
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323073,34
40.454,-86.9035,283,40978,None,None,283,41374,None,None,1584323074,35
40.454,-86.9035,283,40978,283,41176,None,None,None,None,1584323075,36
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323076,37
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323077,38
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323078,39
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323079,40
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323080,41
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323081,42
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323082,43
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323083,44
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323084,45
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323085,46
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323086,47
40.454,-86.9035,283,40978,283,41176,283,41374,None,None,1584323087,48
40.454,-86.9035,283,40978,None,None,None,None,None,None,1584323088,49
