grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
30.374,-97.9875,478,1075,176,2501,87,2225,None,None,1583198844,1.729376,5,-112.8125,-16.6875,-111.9375,-13.4375,-117.1875,-19.5625,None,None,1.044392,4.317616,0.685856,0.0,75,50,75,0,7528,10264,4337,0,8.22282608696,21.1698630137,9.54639175258,None,-2.79999995232,2.90000009537,-4.40000009537,None
30.374,-97.9875,478,1075,176,2501,87,2225,None,None,1583198845,4.534656,6,-113.1875,-16.1875,-111.0,-20.3125,-117.625,-21.0,None,None,1.55724,5.844928,3.858128,0.0,75,50,75,0,11786,14056,23169,0,7.6498951782,20.7278761062,10.2437923251,None,-1.20000004768,2.09999990463,-2.59999990463,None
30.374,-97.9875,478,1075,176,2501,88,9820,None,None,1583198846,9.60144,7,-112.875,-16.375,-111.75,-19.9375,-127.0,-25.0,None,None,2.289984,8.897736,0.005184,0.0,75,50,50,0,18013,22564,50,0,7.7330754352,19.8081180812,6.0,None,-0.20000000298,2.5,-5.5,None
30.374,-97.9875,478,1075,176,2501,None,None,None,None,1583198847,7.98192,8,-111.75,-17.6875,-110.875,-21.375,None,None,None,None,3.158864,7.314808,0.0,0.0,75,50,0,0,20764,16395,0,0,9.07716049383,21.393442623,None,None,-4.80000019073,3.70000004768,None,None
30.374,-97.9875,478,1075,176,2501,None,None,None,None,1583198848,13.557696,9,-112.0625,-20.4375,-111.4375,-18.875,None,None,None,None,4.336096,7.162008,0.0,0.0,75,50,0,0,32882,15383,0,0,8.63257575758,22.3146666667,None,None,-6.59999990463,3.40000009537,None,None
30.37424126,-97.98761361,478,1075,176,2501,None,None,None,None,1583198849,13.156256,10,-112.4375,-16.5,-111.0625,-22.0625,None,None,None,None,3.729736,10.665136,0.0,0.0,75,50,0,0,21856,25849,0,0,10.9757834758,20.6241721854,None,None,-2.70000004768,1.79999995232,None,None
30.374,-97.9875,478,1075,260,2600,87,2225,None,None,1583198850,10.781376,11,-112.375,-16.375,-114.9375,-16.9375,-113.0625,-15.75,None,None,0.67148,0.1632,0.0,0.0,75,50,0,0,4929,523,0,0,7.28333333333,17.4444444444,None,None,-3.40000009537,-0.20000000298,None,None
30.37424124,-97.9876136,478,1075,260,2600,87,2225,None,None,1583198852,11.317584,13,-112.375,-15.3125,-113.6875,-18.5,-117.3125,-19.9375,None,None,3.331048,11.008312,7.7772,0.0,75,50,75,0,24542,31796,76816,0,8.38,17.9171817058,6.76732673267,None,-2.90000009537,3.0,-2.90000009537,None
30.37424123,-97.98761359,478,1075,260,2600,None,None,None,None,1583198853,21.250416,14,-112.0,-17.0625,-115.375,-14.875,None,None,None,None,0.005992,0.0,0.0,0.0,8,0,0,0,151,0,0,0,2.22222222222,None,None,None,-8.10000038147,None,None,None
30.374,-97.9875,478,1075,260,2600,None,None,None,None,1583198854,6.89672,15,-112.1875,-17.6875,-112.375,-21.6875,None,None,None,None,4.448,11.059224,0.0,0.0,75,50,0,0,25396,27548,0,0,10.7914285714,20.4217687075,None,None,-4.19999980927,-0.20000000298,None,None
30.37424121,-97.98761357,478,1075,260,2600,None,None,None,None,1583198855,14.992128,16,-112.375,-17.125,-113.25,-14.625,None,None,None,None,2.404632,7.027088,0.0,0.0,75,50,0,0,14524,17430,0,0,10.3825363825,20.536121673,None,None,-2.09999990463,0.899999976158,None,None
30.37424121,-97.98761357,478,1075,260,2600,None,None,None,None,1583198856,7.993488,17,-113.25,-17.5625,-113.3125,-18.25,None,None,None,None,3.296792,3.11256,0.0,0.0,75,50,0,0,25527,9628,0,0,8.6303142329,17.7474048443,None,None,-5.0,1.79999995232,None,None
30.3742412,-97.98761356,478,1075,260,2600,None,None,None,None,1583198857,6.70944,18,-114.3125,-18.1875,-114.3125,-21.125,None,None,None,None,7.118296,10.957912,0.0,0.0,75,50,0,0,50859,32627,0,0,8.61007025761,18.0023668639,None,None,-5.19999980927,-0.10000000149,None,None
30.37424119,-97.98761356,478,1075,None,None,None,None,None,None,1583198858,16.414992,19,-112.5,-16.8125,None,None,None,None,None,None,4.803536,0.102712,0.0,0.0,75,50,0,0,38294,211,0,0,8.81761978362,22.4,None,None,-3.79999995232,None,None,None
30.37424117,-97.98761355,478,1075,None,None,None,None,None,None,1583198859,10.087296,20,-111.8125,-17.125,None,None,None,None,None,None,5.936176,0.0,0.0,0.0,75,0,0,0,44614,0,0,0,9.95220243674,None,None,None,-3.70000004768,None,None,None
30.37424117,-97.98761354,478,1075,None,None,None,None,None,None,1583198860,5.228736,21,-111.6875,-17.375,None,None,None,None,None,None,9.151328,0.0,0.0,0.0,75,0,0,0,68932,0,0,0,9.40321217244,None,None,None,-2.90000009537,None,None,None
30.37424117,-97.98761356,478,1075,None,None,None,None,None,None,1583198861,8.73384,22,-111.4375,-16.8125,None,None,None,None,None,None,5.7454,0.0,0.0,0.0,75,0,0,0,41598,0,0,0,11.2530949106,None,None,None,-1.29999995232,None,None,None
30.37424117,-97.98761357,478,1075,None,None,None,None,None,None,1583198862,4.095072,23,-113.3125,-17.875,None,None,None,None,None,None,4.853328,0.0,0.0,0.0,75,0,0,0,27227,0,0,0,11.7691154423,None,None,None,-2.5,None,None,None
30.37424116,-97.98761358,478,1075,None,None,None,None,None,None,1583198863,4.846992,24,-113.75,-17.9375,None,None,None,None,None,None,6.869896,0.0,0.0,0.0,75,0,0,0,40734,0,0,0,11.2947481243,None,None,None,-3.70000004768,None,None,None
30.37424116,-97.9876136,478,1075,None,None,None,None,None,None,1583198864,6.292992,25,-113.5,-17.375,None,None,None,None,None,None,5.155504,0.0,0.0,0.0,75,0,0,0,34112,0,0,0,11.5137067938,None,None,None,-2.0,None,None,None
30.37424116,-97.98761362,478,1075,None,None,None,None,None,None,1583198865,4.546224,26,-113.3125,-17.6875,None,None,None,None,None,None,3.355424,0.0,0.0,0.0,75,0,0,0,23049,0,0,0,10.7134670487,None,None,None,-3.29999995232,None,None,None
30.374,-97.9875,478,1075,None,None,None,None,None,None,1583198866,2.672208,27,-113.0625,-19.25,None,None,None,None,None,None,1.997696,0.0,0.0,0.0,75,0,0,0,14416,0,0,0,10.6077669903,None,None,None,-5.5,None,None,None
30.37424115,-97.98761364,478,1075,None,None,None,None,None,None,1583198867,1.746768,28,-113.125,-19.0625,None,None,None,None,None,None,3.797984,0.0,0.0,0.0,75,0,0,0,30964,0,0,0,8.90318118949,None,None,None,-6.30000019073,None,None,None
30.37424115,-97.98761365,478,1075,None,None,None,None,None,None,1583198868,3.331584,29,-113.6875,-17.5,None,None,None,None,None,None,2.612424,0.0,0.0,0.0,75,0,0,0,20535,0,0,0,9.54280510018,None,None,None,-3.5,None,None,None
30.37424116,-97.98761365,478,1075,None,None,None,None,None,None,1583198869,2.359872,30,-113.3125,-18.25,None,None,None,None,None,None,3.410344,0.0,0.0,0.0,75,0,0,0,28257,0,0,0,8.89670014347,None,None,None,-1.79999995232,None,None,None
30.37424116,-97.98761366,478,1075,None,None,None,None,None,None,1583198870,3.100224,31,-113.375,-18.0,None,None,None,None,None,None,2.94484,0.0,0.0,0.0,75,0,0,0,21115,0,0,0,11.1014285714,None,None,None,-5.19999980927,None,None,None
