grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
30.37,-97.9895,260,2600,176,2501,None,None,None,None,1583369199,5.405072,5,-120.9375,-23.9375,-118.9375,-19.75,None,None,None,None,0.911072,0.0,0.0,0.0,50,0,0,0,6071,0,0,0,10.6157635468,None,None,None,-6.59999990463,-0.899999976158,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369200,4.711312,6,-119.5,-20.6875,None,None,None,None,None,None,3.764224,0.0,0.0,0.0,50,0,0,0,19408,0,0,0,12.9189189189,None,None,None,-0.300000011921,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369201,3.620784,7,-120.25,-21.6875,None,None,None,None,None,None,4.743424,0.0,0.0,0.0,50,0,0,0,19484,0,0,0,15.2078720787,None,None,None,-3.79999995232,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369202,4.151904,8,-120.25,-22.4375,None,None,None,None,None,None,4.652552,0.0,0.0,0.0,50,0,0,0,23183,0,0,0,13.5159313725,None,None,None,-4.90000009537,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369203,3.944688,9,-121.1875,-21.3125,None,None,None,None,None,None,4.22344,0.0,0.0,0.0,50,0,0,0,24453,0,0,0,12.2133333333,None,None,None,-2.20000004768,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369204,3.81744,10,-121.3125,-21.8125,None,None,None,None,None,None,4.03288,0.0,0.0,0.0,50,0,0,0,20730,0,0,0,13.3522427441,None,None,None,-4.40000009537,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369205,3.609216,11,-123.0625,-20.875,None,None,None,None,None,None,5.692416,0.0,0.0,0.0,50,0,0,0,23305,0,0,0,14.9173859433,None,None,None,-1.89999997616,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369206,5.645184,12,-122.25,-19.375,None,None,None,None,None,None,4.380768,0.0,0.0,0.0,50,0,0,0,19378,0,0,0,14.5684062059,None,None,None,-3.90000009537,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369207,3.516672,13,-123.25,-23.3125,None,None,None,None,None,None,4.54096,0.0,0.0,0.0,50,0,0,0,28376,0,0,0,11.3,None,None,None,-6.80000019073,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369208,4.071936,14,-122.5,-22.375,None,None,None,None,None,None,4.359296,0.0,0.0,0.0,50,0,0,0,28349,0,0,0,11.0773405699,None,None,None,-3.79999995232,None,None,None
