grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368824,3.646176,10,-113.0625,-15.5,-118.6875,-16.8125,None,None,None,None,1.597088,1.56864,0.0,0.0,50,75,0,0,7442,13937,0,0,13.831408776,7.52830188679,None,None,-1.20000004768,-6.09999990463,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368825,3.562944,11,-111.5,-15.4375,-120.0,-18.1875,None,None,None,None,3.042336,1.568472,0.0,0.0,50,75,0,0,13821,17782,0,0,13.5353901996,5.61688311688,None,None,0.300000011921,-6.90000009537,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368826,2.984544,12,-111.75,-15.0625,-121.0,-20.1875,None,None,None,None,2.393224,1.648912,0.0,0.0,50,75,0,0,10253,19402,0,0,14.3427991886,5.49840255591,None,None,1.39999997616,-8.5,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368827,4.28016,13,-111.625,-15.375,-120.0625,-19.4375,None,None,None,None,2.115528,1.570592,0.0,0.0,50,75,0,0,9078,18457,0,0,14.3662921348,5.58095238095,None,None,1.0,-6.90000009537,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368828,3.863712,14,-111.75,-15.0,-121.1875,-18.75,None,None,None,None,0.534096,0.873728,0.0,0.0,41,75,0,0,2279,8950,0,0,14.6451612903,8.06034482759,None,None,0.699999988079,-7.19999980927,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368829,1.758336,15,-111.625,-15.0625,-120.9375,-19.5,None,None,None,None,1.183536,1.607728,0.0,0.0,48,75,0,0,4627,18140,0,0,15.0362318841,6.59228650138,None,None,0.5,-7.19999980927,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368830,2.221056,16,-111.8125,-15.0,-121.0625,-19.4375,None,None,None,None,1.391488,1.362296,0.0,0.0,50,75,0,0,5796,16604,0,0,14.1384615385,6.30303030303,None,None,0.5,-6.0,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368831,2.151648,17,-111.3125,-15.1875,-120.625,-17.875,None,None,None,None,2.243816,2.4134,0.0,0.0,50,75,0,0,9948,22061,0,0,13.7991718427,7.33643122677,None,None,1.89999997616,-3.90000009537,None,None
30.37012086,-97.98977783,35,5110,478,1075,None,None,None,None,1583368832,3.042384,18,-111.625,-14.625,-120.3125,-19.1875,None,None,None,None,2.534248,2.521304,0.0,0.0,50,75,0,0,10896,25166,0,0,13.8514851485,6.93725490196,None,None,1.5,-4.09999990463,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368833,5.298144,19,-111.375,-14.125,-119.75,-20.0625,None,None,None,None,1.431632,1.614704,0.0,0.0,50,75,0,0,5778,14092,0,0,14.4593837535,7.51687763713,None,None,1.5,-6.40000009537,None,None
30.37,-97.9895,35,5110,478,1075,None,None,None,None,1583368834,2.799456,20,-111.375,-16.125,-119.5,-19.375,None,None,None,None,0.602656,0.016368,0.0,0.0,50,59,0,0,2657,127,0,0,14.180952381,8.0,None,None,0.0,-5.90000009537,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368835,3.562944,21,-111.25,-14.8125,None,None,None,None,None,None,1.919152,0.0,0.0,0.0,50,0,0,0,8619,0,0,0,14.3629807692,None,None,None,1.70000004768,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368836,2.625936,22,-111.1875,-14.625,None,None,None,None,None,None,3.380656,0.0,0.0,0.0,50,0,0,0,15606,0,0,0,14.3224222586,None,None,None,0.5,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368837,2.059104,23,-111.375,-15.5625,None,None,None,None,None,None,3.69932,0.0,0.0,0.0,50,0,0,0,17319,0,0,0,14.0234948605,None,None,None,1.0,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368838,3.771168,24,-111.4375,-15.125,None,None,None,None,None,None,3.03112,0.0,0.0,0.0,50,0,0,0,14245,0,0,0,14.36,None,None,None,1.29999995232,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368839,2.822592,25,-111.4375,-14.9375,None,None,None,None,None,None,1.409136,0.0,0.0,0.0,50,0,0,0,6741,0,0,0,14.1871657754,None,None,None,0.40000000596,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368840,2.059104,26,-111.125,-14.9375,None,None,None,None,None,None,3.546864,0.0,0.0,0.0,50,0,0,0,17576,0,0,0,13.7837445573,None,None,None,0.20000000298,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368841,2.0244,27,-109.6875,-15.4375,None,None,None,None,None,None,5.7872,0.0,0.0,0.0,50,0,0,0,25117,0,0,0,14.5794520548,None,None,None,2.40000009537,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368842,5.217168,28,-110.5625,-16.125,None,None,None,None,None,None,6.93868,0.0,0.0,0.0,50,0,0,0,24361,0,0,0,16.4183535762,None,None,None,1.79999995232,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368843,6.616896,29,-115.5,-16.6875,None,None,None,None,None,None,2.07972,0.0,0.0,0.0,50,0,0,0,9271,0,0,0,13.878600823,None,None,None,-1.5,None,None,None
30.37,-97.9895,35,5110,None,None,None,None,None,None,1583368844,2.799456,30,-114.0625,-16.8125,None,None,None,None,None,None,1.488272,0.0,0.0,0.0,50,0,0,0,9027,0,0,0,11.953271028,None,None,None,-0.300000011921,None,None,None
