grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
30.37,-97.9895,73,2225,157,2501,None,None,None,None,1583369391,8.538496,6,-120.1875,-16.8125,-130.625,-27.125,None,None,None,None,0.28408,0.0,0.0,0.0,75,0,0,0,10108,0,0,0,0.156462585034,None,None,None,-2.79999995232,-10.3999996185,None,None
30.37,-97.9895,73,2225,157,2501,None,None,None,None,1583369392,4.74288,7,-121.3125,-19.9375,-124.6875,-23.875,None,None,None,None,9.614528,0.0,0.0,0.0,75,0,0,0,57275,0,0,0,11.9314285714,None,None,None,-4.59999990463,-7.80000019073,None,None
30.37,-97.9895,73,2225,280,2600,None,None,None,None,1583369393,8.930496,8,-122.0,-19.6875,-125.625,-26.0625,None,None,None,None,3.916288,0.0,0.0,0.0,75,0,0,0,24610,0,0,0,11.4677002584,None,None,None,-2.0,-8.30000019073,None,None
30.37,-97.9895,73,2225,None,None,None,None,None,None,1583369394,3.782736,9,-121.125,-19.9375,None,None,None,None,None,None,0.422368,0.0,0.0,0.0,75,0,0,0,3233,0,0,0,6.1186440678,None,None,None,-5.09999990463,None,None,None
30.37,-97.9895,260,2600,87,2225,None,None,None,None,1583369395,1.769904,10,-121.5,-22.0,-126.625,-22.375,None,None,None,None,1.55836,1.050912,0.0,0.0,75,75,0,0,10840,9860,0,0,8.97095435685,7.32795698925,None,None,-6.80000019073,-9.10000038147,None,None
30.37,-97.9895,260,2600,176,2501,None,None,None,None,1583369396,9.057744,11,-120.4375,-22.0625,-119.1875,-21.25,None,None,None,None,3.773552,1.650864,0.0,0.0,50,50,0,0,25685,11942,0,0,9.9945553539,8.09385113269,None,None,-6.30000019073,-1.60000002384,None,None
30.37,-97.9895,260,2600,176,2501,None,None,None,None,1583369397,7.415088,12,-121.0625,-21.0625,-118.9375,-18.1875,None,None,None,None,6.711352,0.0,0.0,0.0,50,0,0,0,44968,0,0,0,9.86632653061,None,None,None,-4.40000009537,-3.79999995232,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369398,7.831536,13,-121.125,-21.25,None,None,None,None,None,None,8.294304,0.0,0.0,0.0,50,0,0,0,49094,0,0,0,11.8815672306,None,None,None,-4.19999980927,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369399,6.47808,14,-121.1875,-20.875,None,None,None,None,None,None,7.515224,0.0,0.0,0.0,50,0,0,0,36426,0,0,0,13.5230769231,None,None,None,-3.5,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369400,6.431808,15,-121.375,-24.3125,None,None,None,None,None,None,7.09108,0.0,0.0,0.0,50,0,0,0,34300,0,0,0,13.3412204234,None,None,None,-4.69999980927,None,None,None
30.37,-97.9895,260,2600,None,None,None,None,None,None,1583369401,7.796832,16,-120.75,-24.25,None,None,None,None,None,None,9.029104,0.0,0.0,0.0,50,0,0,0,38831,0,0,0,14.5783274441,None,None,None,-5.19999980927,None,None,None
30.37,-97.9895,243,2501,423,2225,None,None,None,None,1583369402,6.038496,17,-123.1875,-22.9375,-126.75,-22.3125,None,None,None,None,2.3488,1.955984,0.0,0.0,50,75,0,0,23585,26719,0,0,6.2350877193,4.54833040422,None,None,-6.90000009537,-10.1000003815,None,None
30.37015641,-97.98979651,243,2501,243,2600,None,None,None,None,1583369403,4.488928,18,-121.3125,-22.5,-119.375,-21.75,None,None,None,None,1.74168,1.278064,0.0,0.0,50,50,0,0,15357,12495,0,0,7.63360881543,6.31055900621,None,None,-5.09999990463,-7.59999990463,None,None
30.37,-97.9895,475,2225,88,2600,None,None,None,None,1583369405,2.915136,1,-121.9375,-15.75,-121.375,-20.6875,None,None,None,None,1.801616,0.180336,0.0,0.0,75,47,0,0,15224,1977,0,0,7.30965909091,5.44117647059,None,None,-5.90000009537,-6.40000009537,None,None
30.37015634,-97.98979647,475,2225,322,2501,None,None,None,None,1583369406,1.943424,2,-122.4375,-18.6875,-120.5625,-20.125,None,None,None,None,1.541368,0.27784,0.0,0.0,75,50,0,0,9254,2170,0,0,11.1597938144,7.58823529412,None,None,-3.70000004768,-6.90000009537,None,None
30.37015631,-97.98979645,475,2225,322,2501,None,None,None,None,1583369407,3.100224,3,-121.0625,-15.625,-119.9375,-21.5,None,None,None,None,2.306888,0.621888,0.0,0.0,75,50,0,0,12547,6711,0,0,10.1942446043,5.8040201005,None,None,-4.09999990463,-4.59999990463,None,None
