grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.41801791,-86.88692946,178,2425,73,2000,None,None,None,None,1583873472,18.167376,4,-95.75,-18.3125,-94.3125,-14.6875,None,None,None,None,10.792976,20.404488,0.0,0.0,25,50,0,0,30187,37801,0,0,18.6941917425,24.4989858012,None,None,9.19999980927,13.8999996185,None,None
40.418,-86.8865,178,2425,73,2000,None,None,None,None,1583873473,21.993696,5,-95.4375,-16.125,-94.9375,-15.125,None,None,None,None,13.7494,22.0602,0.0,0.0,25,50,0,0,36192,43209,0,0,19.2197659298,23.8362299465,None,None,15.3999996185,9.69999980927,None,None
40.418,-86.8865,178,2425,73,2000,None,None,None,None,1583873474,30.661216,6,-90.5625,-18.1875,-97.0,-12.0625,None,None,None,None,13.653928,18.841464,0.0,0.0,25,50,0,0,35467,38832,0,0,19.506234414,23.0467924528,None,None,13.3999996185,14.8999996185,None,None
40.418,-86.8865,178,2425,73,2000,None,None,None,None,1583873475,34.002192,7,-98.5,-18.625,-100.1875,-12.625,None,None,None,None,16.52352,10.6748,0.0,0.0,25,50,0,0,36643,23012,0,0,21.8302114804,22.4725738397,None,None,9.39999961853,12.8000001907,None,None
40.418,-86.8865,178,2425,73,2000,None,None,None,None,1583873476,26.678464,8,-99.3125,-18.3125,-101.1875,-15.25,None,None,None,None,17.89864,6.887592,0.0,0.0,25,50,0,0,37381,14677,0,0,22.9268146371,22.5571808511,None,None,17.2999992371,10.8000001907,None,None
40.418,-86.8865,178,2425,73,2000,None,None,None,None,1583873477,24.53808,9,-100.375,-18.125,-101.3125,-14.3125,None,None,None,None,19.891,20.753008,0.0,0.0,25,50,0,0,34949,35794,0,0,25.0385774563,25.4813688213,None,None,17.1000003815,12.6999998093,None,None
40.418,-86.8865,70,9820,73,2000,178,2425,None,None,1583873478,24.39504,10,-117.125,-20.4375,-98.1875,-14.375,-95.5,-15.125,None,None,3.34088,1.157904,0.748288,0.0,50,50,25,0,13239,2105,2522,0,14.74,24.224137931,15.4454545455,None,2.29999995232,12.6000003815,10.3000001907,None
40.418,-86.8865,70,9820,73,2000,178,2425,None,None,1583873479,40.77736,11,-116.875,-19.25,-102.875,-13.125,-96.6875,-18.5625,None,None,14.648632,17.363176,21.055696,0.0,50,50,25,0,41333,38555,37716,0,18.249382716,22.0078627591,24.6588669951,None,3.29999995232,10.1000003815,15.3999996185,None
40.418,-86.8865,70,9820,73,2000,178,2425,None,None,1583873480,37.44632,12,-115.8125,-19.25,-104.25,-15.75,-99.375,-18.625,None,None,15.08988,9.144888,20.53548,0.0,50,50,25,0,42481,19008,34472,0,18.488034188,23.2240075614,25.6533599468,None,4.0,11.5,13.6000003815,None
40.41801647,-86.88692918,70,9820,73,2000,178,2425,None,None,1583873481,42.219456,13,-117.1875,-20.25,-102.125,-15.0,-95.125,-16.875,None,None,9.989768,2.554472,19.853112,0.0,50,50,25,0,33060,6390,34784,0,16.8429360695,21.0872340426,25.0379581152,None,2.5,10.0,13.8999996185,None
