grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202187,10.763632,9,-86.6875,-16.4375,-83.6875,-15.9375,None,None,None,None,4.289584,5.390824,0.0,0.0,100,50,0,0,18948,25951,0,0,12.6875,12.2231270358,None,None,0.5,-2.70000004768,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202188,9.020064,10,-84.8125,-19.125,-83.3125,-15.625,None,None,None,None,6.617624,4.879624,0.0,0.0,100,50,0,0,36944,27535,0,0,11.5145530146,10.6809392265,None,None,-1.89999997616,-1.89999997616,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202189,9.647712,11,-85.875,-17.0625,-88.8125,-17.25,None,None,None,None,8.942008,2.052384,0.0,0.0,100,50,0,0,51056,12663,0,0,11.1836917563,10.2745709828,None,None,2.09999990463,-1.29999995232,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202190,10.607856,12,-88.8125,-19.6875,-84.1875,-16.0625,None,None,None,None,9.613904,2.988504,0.0,0.0,100,50,0,0,49528,14432,0,0,11.9328793774,11.5460893855,None,None,-4.30000019073,1.10000002384,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202191,10.723536,13,-86.75,-21.5,-84.0625,-13.875,None,None,None,None,3.945632,4.14528,0.0,0.0,92,50,0,0,17332,20412,0,0,13.1403197158,12.5407523511,None,None,-2.90000009537,1.70000004768,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202192,8.120736,14,-85.4375,-17.875,-83.8125,-14.4375,None,None,None,None,2.845256,2.063464,0.0,0.0,96,50,0,0,12816,10398,0,0,13.0720930233,12.9826589595,None,None,0.10000000149,-1.89999997616,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202193,4.349568,15,-89.875,-17.125,-86.3125,-14.5625,None,None,None,None,2.972912,1.604128,0.0,0.0,100,50,0,0,13656,7888,0,0,13.0656455142,12.952,None,None,-0.40000000596,-0.5,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202194,4.245456,16,-87.375,-19.1875,-85.9375,-16.1875,None,None,None,None,9.204888,2.345416,0.0,0.0,100,50,0,0,52568,13671,0,0,10.8496240602,10.856152513,None,None,-2.59999990463,-1.79999995232,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202195,8.988336,17,-87.3125,-20.0625,-85.1875,-14.4375,None,None,None,None,10.779056,2.147096,0.0,0.0,100,50,0,0,48932,13948,0,0,13.1923583663,9.60353130016,None,None,-2.0,0.40000000596,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202196,12.042288,18,-84.3125,-19.875,-85.375,-17.0625,None,None,None,None,7.917128,3.257432,0.0,0.0,100,50,0,0,46440,18275,0,0,10.7436208991,11.1149584488,None,None,-1.89999997616,-2.79999995232,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202197,9.936912,19,-88.5,-19.6875,-85.9375,-16.0625,None,None,None,None,8.920096,2.074168,0.0,0.0,100,50,0,0,48580,13894,0,0,11.6352941176,9.4162601626,None,None,-5.5,1.20000004768,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202198,10.550016,20,-83.8125,-18.1875,-87.4375,-14.0,None,None,None,None,8.917648,3.26096,0.0,0.0,100,50,0,0,48228,20748,0,0,11.3078534031,10.5710659898,None,None,-2.59999990463,-2.40000009537,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202199,10.7004,21,-84.625,-17.8125,-87.8125,-16.6875,None,None,None,None,8.485296,2.505424,0.0,0.0,100,50,0,0,42632,13596,0,0,12.4430939227,11.5365126677,None,None,-2.70000004768,0.10000000149,None,None
34.07,-118.4445,366,850,178,5110,None,None,None,None,1583202200,10.133568,22,-87.0625,-21.25,-83.5625,-14.75,None,None,None,None,8.248808,6.894184,0.0,0.0,100,50,0,0,45388,21695,0,0,11.0,17.1299363057,None,None,-6.5,0.0,None,None
34.0705,-118.4445,366,850,178,5110,None,None,None,None,1583202201,12.805776,23,-87.8125,-20.625,-89.5625,-15.875,None,None,None,None,6.6896,5.139808,0.0,0.0,100,50,0,0,29516,26281,0,0,12.9643410853,11.8024523161,None,None,-5.5,-0.10000000149,None,None
34.0705,-118.4445,366,850,178,5110,None,None,None,None,1583202202,11.776224,24,-88.0625,-21.6875,-85.375,-16.75,None,None,None,None,3.669488,3.589248,0.0,0.0,100,50,0,0,21404,21070,0,0,11.2964071856,11.2667617689,None,None,-5.0,-3.20000004768,None,None
34.0705,-118.4445,366,850,178,5110,None,None,None,None,1583202203,6.547488,25,-90.4375,-20.4375,-87.6875,-17.25,None,None,None,None,4.641552,1.697272,0.0,0.0,100,50,0,0,18444,9487,0,0,14.3063380282,11.6980830671,None,None,-4.19999980927,0.899999976158,None,None
34.0705,-118.4445,366,850,178,5110,None,None,None,None,1583202204,5.749296,26,-89.875,-20.0,-85.4375,-15.875,None,None,None,None,2.628448,3.744152,0.0,0.0,100,50,0,0,18700,17337,0,0,8.90512333966,13.0961538462,None,None,-2.90000009537,1.70000004768,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202205,5.332848,27,-84.4375,-15.9375,-88.25,-6.75,None,None,None,None,2.800312,16.238688,0.0,0.0,100,50,0,0,13268,25935,0,0,13.8762626263,25.9898255814,None,None,0.10000000149,23.7999992371,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202206,18.867952,28,-84.1875,-18.9375,-86.0625,-12.4375,None,None,None,None,9.149944,27.455248,0.0,0.0,100,50,0,0,31364,48676,0,0,16.6042553191,24.8805460751,None,None,2.79999995232,18.8999996185,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202207,33.558768,29,-81.1875,-15.5,-91.25,-13.4375,None,None,None,None,8.120504,30.221984,0.0,0.0,100,50,0,0,25132,48440,0,0,18.5407673861,26.2364444444,None,None,4.69999980927,19.1000003815,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202208,35.62944,30,-84.6875,-18.9375,-92.9375,-13.8125,None,None,None,None,12.345264,36.695952,0.0,0.0,100,50,0,0,35164,60524,0,0,19.2074074074,25.9026798307,None,None,3.29999995232,20.1000003815,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202209,43.761744,31,-88.125,-18.875,-89.0,-13.0625,None,None,None,None,16.976208,32.733968,0.0,0.0,100,50,0,0,53048,59187,0,0,18.2286661143,24.4145267792,None,None,-1.70000004768,15.5,None,None
34.07063241,-118.44487412,107,850,252,9720,None,None,None,None,1583202210,44.59464,32,-85.9375,-18.9375,-89.0625,-11.8125,None,None,None,None,16.982416,21.24836,0.0,0.0,100,50,0,0,57656,33985,0,0,16.8552631579,26.3614130435,None,None,0.0,23.3999996185,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202211,36.55488,33,-81.0625,-16.8125,-88.625,-12.5,None,None,None,None,15.972144,32.976328,0.0,0.0,100,50,0,0,49884,59368,0,0,17.7659758204,24.7488921713,None,None,4.30000019073,24.0,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202212,41.575392,34,-83.625,-18.1875,-89.8125,-11.5,None,None,None,None,19.626864,30.963984,0.0,0.0,100,50,0,0,56124,50117,0,0,19.0173501577,26.2243346008,None,None,4.59999990463,22.3999996185,None,None
34.07066332,-118.4448704,107,850,252,9720,None,None,None,None,1583202213,49.175568,35,-88.3125,-17.9375,-89.3125,-12.5625,None,None,None,None,23.09316,27.956128,0.0,0.0,100,50,0,0,64312,44950,0,0,19.3746958637,26.4266777133,None,None,0.699999988079,25.6000003815,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202214,44.896112,36,-85.8125,-17.9375,-91.0625,-12.5,None,None,None,None,20.550264,21.374744,0.0,0.0,100,50,0,0,61312,37797,0,0,18.1352418559,25.0397614314,None,None,3.5,20.1000003815,None,None
34.07068397,-118.44487258,107,850,252,9720,None,None,None,None,1583202215,37.572864,37,-86.25,-19.1875,-92.875,-5.9375,None,None,None,None,13.671832,22.28492,0.0,0.0,100,50,0,0,43608,37557,0,0,17.7293868922,25.6763875823,None,None,0.600000023842,24.2000007629,None,None
34.07069578,-118.44487524,107,850,252,9720,None,None,None,None,1583202216,35.617872,38,-84.25,-19.0,-89.5,-11.75,None,None,None,None,15.92676,34.4214,0.0,0.0,100,50,0,0,46244,56337,0,0,18.8948717949,26.1055429005,None,None,1.89999997616,20.6000003815,None,None
34.07070705,-118.4448771,107,850,252,9720,None,None,None,None,1583202217,46.121616,39,-87.8125,-19.6875,-90.0625,-13.625,None,None,None,None,20.235728,26.465712,0.0,0.0,100,50,0,0,60232,46143,0,0,18.1377601586,25.1760368664,None,None,0.800000011921,24.2000007629,None,None
34.0705,-118.4445,107,850,252,9720,None,None,None,None,1583202218,42.246336,40,-85.8125,-18.125,-85.6875,-12.4375,None,None,None,None,31.167192,30.462512,0.0,0.0,100,50,0,0,85732,56770,0,0,19.1122291022,24.1407349492,None,None,3.79999995232,25.8999996185,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202219,57.111216,41,-86.875,-16.875,None,None,None,None,None,None,7.859904,0.009216,0.0,0.0,50,9,0,0,32788,18,0,0,14.381443299,23.0,None,None,-1.39999997616,None,None,None
34.07073916,-118.44487599,158,5110,None,None,None,None,None,None,1583202220,13.094976,42,-87.0625,-15.0,None,None,None,None,None,None,12.11584,0.0,0.0,0.0,50,0,0,0,45433,0,0,0,15.7203647416,None,None,None,4.0,None,None,None
34.07074426,-118.44487378,158,5110,None,None,None,None,None,None,1583202221,10.908624,43,-89.5,-17.125,None,None,None,None,None,None,8.078416,0.0,0.0,0.0,50,0,0,0,34095,0,0,0,14.6266506603,None,None,None,-1.79999995232,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202222,7.218432,44,-90.0,-16.75,None,None,None,None,None,None,7.37924,0.0,0.0,0.0,50,0,0,0,32773,0,0,0,14.4333333333,None,None,None,-2.20000004768,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202223,6.82512,45,-91.5,-16.8125,None,None,None,None,None,None,8.16536,0.0,0.0,0.0,50,0,0,0,36037,0,0,0,14.3915151515,None,None,None,-3.90000009537,None,None,None
34.07074943,-118.44485825,158,5110,None,None,None,None,None,None,1583202224,7.391952,46,-87.3125,-16.75,None,None,None,None,None,None,8.294232,0.0,0.0,0.0,50,0,0,0,31758,0,0,0,15.3463356974,None,None,None,-1.20000004768,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202225,7.75056,47,-91.125,-17.5625,None,None,None,None,None,None,6.20044,0.0,0.0,0.0,50,0,0,0,26286,0,0,0,14.7728395062,None,None,None,-1.89999997616,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202226,5.043648,48,-88.5,-17.1875,None,None,None,None,None,None,5.108584,0.0,0.0,0.0,50,0,0,0,24735,0,0,0,13.8101109741,None,None,None,-2.40000009537,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202227,4.766016,49,-90.5,-17.1875,None,None,None,None,None,None,5.09808,0.0,0.0,0.0,50,0,0,0,24802,0,0,0,13.9215686275,None,None,None,-2.5,None,None,None
34.07073811,-118.44483946,158,5110,None,None,None,None,None,None,1583202228,4.384272,50,-88.875,-15.75,None,None,None,None,None,None,3.28076,0.0,0.0,0.0,50,0,0,0,17126,0,0,0,13.2599179207,None,None,None,1.79999995232,None,None,None
34.0707355,-118.44483936,158,5110,None,None,None,None,None,None,1583202229,3.1812,51,-88.125,-16.6875,None,None,None,None,None,None,4.520288,0.0,0.0,0.0,50,0,0,0,22856,0,0,0,13.866039953,None,None,None,-0.800000011921,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202230,3.921552,52,-88.3125,-16.9375,None,None,None,None,None,None,6.640624,0.0,0.0,0.0,50,0,0,0,34201,0,0,0,12.573255814,None,None,None,0.300000011921,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202231,6.038496,53,-87.25,-17.5625,None,None,None,None,None,None,7.64352,0.0,0.0,0.0,50,0,0,0,34650,0,0,0,13.9107981221,None,None,None,-3.0,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202232,6.917664,54,-91.125,-17.25,None,None,None,None,None,None,5.236624,0.0,0.0,0.0,50,0,0,0,34171,0,0,0,10.7936320755,None,None,None,-2.20000004768,None,None,None
34.07073134,-118.44483445,158,5110,None,None,None,None,None,None,1583202233,4.777584,55,-88.875,-17.125,None,None,None,None,None,None,6.032688,0.0,0.0,0.0,50,0,0,0,25825,0,0,0,14.896039604,None,None,None,-3.0,None,None,None
34.07073195,-118.44483556,158,5110,None,None,None,None,None,None,1583202234,5.275008,56,-90.5,-16.5,None,None,None,None,None,None,5.445584,0.0,0.0,0.0,50,0,0,0,31932,0,0,0,11.7769516729,None,None,None,0.800000011921,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202235,5.217168,57,-87.5,-17.375,None,None,None,None,None,None,6.878768,0.0,0.0,0.0,50,0,0,0,32627,0,0,0,13.6539833532,None,None,None,0.20000000298,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202236,6.038496,58,-89.0625,-17.75,None,None,None,None,None,None,7.4096,0.0,0.0,0.0,50,0,0,0,31914,0,0,0,14.7157107232,None,None,None,-1.39999997616,None,None,None
34.07072803,-118.44484074,158,5110,None,None,None,None,None,None,1583202237,6.547488,59,-88.875,-16.5625,None,None,None,None,None,None,6.984952,0.0,0.0,0.0,50,0,0,0,23099,0,0,0,17.9403341289,None,None,None,0.300000011921,None,None,None
34.07072719,-118.44484433,158,5110,None,None,None,None,None,None,1583202238,6.501216,60,-86.125,-16.625,None,None,None,None,None,None,7.910408,0.0,0.0,0.0,50,0,0,0,25650,0,0,0,17.978986403,None,None,None,3.5,None,None,None
34.07072747,-118.44484691,158,5110,None,None,None,None,None,None,1583202239,7.068048,61,-85.6875,-13.875,None,None,None,None,None,None,3.989776,0.0,0.0,0.0,50,0,0,0,12174,0,0,0,19.0324574961,None,None,None,4.59999990463,None,None,None
34.07072829,-118.44484553,158,5110,None,None,None,None,None,None,1583202240,3.794304,62,-86.125,-15.375,None,None,None,None,None,None,6.970088,0.0,0.0,0.0,50,0,0,0,16348,0,0,0,21.9245014245,None,None,None,1.39999997616,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202241,6.454944,63,-86.4375,-16.1875,None,None,None,None,None,None,7.56772,0.0,0.0,0.0,50,0,0,0,22111,0,0,0,19.3496240602,None,None,None,1.0,None,None,None
34.0707303,-118.44484152,158,5110,None,None,None,None,None,None,1583202242,6.871392,64,-86.375,-15.8125,None,None,None,None,None,None,6.263192,0.0,0.0,0.0,50,0,0,0,17342,0,0,0,20.2469135802,None,None,None,3.40000009537,None,None,None
34.0705,-118.4445,158,5110,None,None,None,None,None,None,1583202243,5.691456,65,-83.875,-15.9375,None,None,None,None,None,None,10.187016,0.0,0.0,0.0,50,0,0,0,27172,0,0,0,20.1003717472,None,None,None,5.80000019073,None,None,None
34.07073407,-118.44483568,158,5110,None,None,None,None,None,None,1583202244,9.994752,66,-84.8125,-15.875,None,None,None,None,None,None,8.384784,0.0,0.0,0.0,50,0,0,0,23004,0,0,0,19.804150454,None,None,None,2.5,None,None,None
