grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
34.07,-118.4445,367,66461,None,None,None,None,None,None,1583456166,3.566736,2,-84.1875,-18.75,None,None,None,None,None,None,5.81728,0.0,0.0,0.0,25,0,0,0,25852,0,0,0,13.7659395973,None,None,None,-0.5,None,None,None
34.07,-118.4445,367,66461,None,None,None,None,None,None,1583456167,4.846992,3,-85.5,-18.9375,None,None,None,None,None,None,5.170704,0.0,0.0,0.0,25,0,0,0,18610,0,0,0,16.0406593407,None,None,None,-6.0,None,None,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456168,4.962672,4,-96.6875,-15.4375,-83.75,-18.625,-84.8125,-16.0,None,None,1.105784,2.240248,1.16272,0.0,50,100,50,0,5230,11432,6924,0,12.4898989899,11.2146892655,10.0573248408,None,5.40000009537,-2.90000009537,-4.5,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456169,4.777584,5,-105.0625,-19.75,-85.125,-18.25,-84.375,-14.9375,None,None,1.733384,9.14664,6.251096,0.0,50,100,50,0,12425,39796,34974,0,8.71406727829,12.6666666667,10.3140096618,None,1.0,-4.40000009537,3.59999990463,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456170,15.29344,6,-101.25,-12.8125,-84.5,-13.0,-84.5625,-12.75,None,None,0.857928,4.785416,6.122568,0.0,50,100,50,0,6699,38760,25965,0,8.14031180401,7.99261447563,13.5189681335,None,2.20000004768,-3.90000009537,-0.20000000298,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456171,12.157968,7,-100.75,-17.0,-84.125,-17.5,-85.375,-15.3125,None,None,0.805584,3.917368,8.630384,0.0,44,100,50,0,4785,37480,34289,0,8.92010309278,6.86310517529,14.0373944511,None,2.09999990463,-0.10000000149,-2.90000009537,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456172,11.834064,8,-100.125,-17.625,-86.0,-18.25,-83.1875,-15.8125,None,None,1.530744,5.32812,7.775712,0.0,50,100,50,0,6485,50564,37888,0,13.3614457831,6.56593406593,12.1490825688,None,2.59999990463,-2.5,-4.5,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456173,12.678528,9,-102.25,-15.25,-88.3125,-20.625,-84.3125,-16.75,None,None,0.60032,2.145032,4.610096,0.0,39,100,50,0,3394,20908,18712,0,10.9624573379,6.66988416988,15.2128571429,None,6.09999990463,-5.59999990463,0.600000023842,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456174,7.762128,10,-102.375,-16.8125,-87.25,-18.625,-83.875,-15.875,None,None,0.33368,2.752376,8.681624,0.0,50,100,50,0,2444,31700,37161,0,8.29487179487,5.42134831461,13.5142517815,None,3.09999990463,-5.19999980927,-1.60000002384,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456175,10.492176,11,-102.5625,-17.75,-87.25,-20.1875,-82.875,-15.375,None,None,0.46392,0.259144,4.991312,0.0,47,96,50,0,2738,2859,19560,0,10.0740740741,6.13385826772,15.4567474048,None,-1.70000004768,-4.69999980927,-0.5,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456176,5.737728,12,-100.625,-17.3125,-86.4375,-17.0,-84.125,-15.6875,None,None,0.19068,0.709536,3.590016,0.0,41,100,50,0,1690,6256,17446,0,7.09166666667,7.7641509434,13.3223684211,None,-2.40000009537,-3.79999995232,0.0,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456177,3.64392,13,-101.375,-15.3125,-86.8125,-16.8125,-84.3125,-14.5,None,None,0.80724,1.972448,3.986352,0.0,50,100,50,0,4754,14232,22426,0,10.4,8.87634408602,11.0866873065,None,2.09999990463,-2.40000009537,-4.69999980927,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456178,6.697872,14,-100.75,-18.1875,-89.625,-23.125,-88.6875,-21.3125,None,None,0.975416,0.887448,4.188424,0.0,50,100,50,0,11892,10112,29320,0,5.1906693712,5.82985074627,8.9398034398,None,1.79999995232,-8.89999961853,-9.30000019073,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583456179,5.367552,15,-106.5,-17.75,-89.4375,-21.125,-90.875,-20.9375,None,None,1.384936,0.43728,2.770896,0.0,50,92,50,0,11266,4984,24342,0,7.61687170475,5.65243902439,6.87797619048,None,-0.699999988079,-7.0,-7.19999980927,None
34.07049177,-118.44478519,254,9820,366,850,178,5110,None,None,1583456180,4.245456,16,-103.25,-18.4375,-90.75,-21.1875,-87.75,-18.9375,None,None,1.159232,0.656968,1.783928,0.0,50,92,50,0,9474,7876,9841,0,7.40438247012,5.51515151515,11.815920398,None,0.20000000298,-6.40000009537,-6.40000009537,None
34.07050169,-118.44478825,254,9820,366,850,178,5110,None,None,1583456181,3.134928,17,-105.75,-21.5625,-84.0,-18.875,-89.3125,-19.125,None,None,0.791176,1.227744,0.0,0.0,50,100,0,0,8936,12832,0,0,6.53777777778,6.46394984326,None,None,-3.0,-6.19999980927,None,None
34.07051231,-118.44479102,254,9820,366,850,178,5110,None,None,1583456182,1.897152,18,-105.75,-19.375,-87.3125,-20.8125,-87.0625,-18.75,None,None,0.6718,3.25628,0.850032,0.0,50,100,50,0,9113,30968,9089,0,4.70411985019,7.39837398374,5.49800796813,None,-1.60000002384,-7.19999980927,-5.19999980927,None
