grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581102993,44.461408,6,-80.0625,-15.1875,-92.3125,-17.375,None,None,None,None,7.162512,30.129912,0.0,0.0,25,100,0,0,17560,72456,0,0,20.553164557,20.621242485,None,None,7.59999990463,9.89999961853,None,None
40.4245055,-86.923865,16,5145,16,850,None,None,None,None,1581102994,38.966304,7,-79.875,-13.6875,-93.3125,-18.875,None,None,None,None,7.243856,37.6752,0.0,0.0,25,100,0,0,16306,77988,0,0,21.5594125501,22.653256705,None,None,9.10000038147,7.59999990463,None,None
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581102995,38.2324,8,-78.5,-14.3125,-95.625,-13.9375,None,None,None,None,3.422728,20.076576,0.0,0.0,25,100,0,0,7379,43976,0,0,21.9610027855,21.8888888889,None,None,11.0,7.30000019073,None,None
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581102996,30.582672,9,-80.6875,-14.25,-92.125,-12.5625,None,None,None,None,6.847096,46.831816,0.0,0.0,25,100,0,0,14494,89132,0,0,22.2880844646,23.7520938023,None,None,10.0,13.8999996185,None,None
40.4245017,-86.92386399,16,5145,16,850,None,None,None,None,1581102997,41.817936,10,-82.4375,-17.0625,-95.25,-20.5625,None,None,None,None,5.385848,46.99024,0.0,0.0,25,100,0,0,10749,83756,0,0,23.2094017094,24.7979515829,None,None,9.89999961853,10.8000001907,None,None
40.42450118,-86.92386246,16,5145,16,850,None,None,None,None,1581102998,52.003136,11,-83.0,-14.9375,-95.625,-19.75,None,None,None,None,7.272408,47.683832,0.0,0.0,25,100,0,0,15391,85880,0,0,22.1371681416,24.4293838863,None,None,9.80000019073,10.1000003815,None,None
40.4245009,-86.92386227,16,5145,16,850,None,None,None,None,1581102999,44.051104,12,-81.9375,-14.25,-94.5625,-17.8125,None,None,None,None,8.284232,63.6454,0.0,0.0,25,100,0,0,17306,109364,0,0,22.3706563707,25.3114982578,None,None,9.69999980927,9.60000038147,None,None
40.42450074,-86.92386208,16,5145,16,850,None,None,None,None,1581103000,72.105744,13,-82.0625,-14.25,-95.9375,-20.375,None,None,None,None,5.694008,31.025736,0.0,0.0,25,100,0,0,12427,59848,0,0,21.9228007181,23.6178571429,None,None,9.69999980927,8.0,None,None
40.42450057,-86.92386216,16,5145,16,850,None,None,None,None,1581103001,42.616672,14,-83.625,-9.875,-95.75,-17.875,None,None,None,None,2.796904,34.10276,0.0,0.0,25,100,0,0,6466,70488,0,0,21.2012578616,23.1127895267,None,None,7.40000009537,7.80000019073,None,None
40.42450043,-86.92386228,16,5145,16,850,None,None,None,None,1581103002,33.168976,15,-82.25,-10.6875,-96.6875,-20.6875,None,None,None,None,3.619488,30.783936,0.0,0.0,25,100,0,0,8506,68536,0,0,21.1879518072,21.7322033898,None,None,8.30000019073,9.0,None,None
40.42450036,-86.92386235,16,5145,16,850,None,None,None,None,1581103003,20.595888,16,-82.0,-14.3125,-96.3125,-17.75,None,None,None,None,7.737368,23.674488,0.0,0.0,25,100,0,0,16904,59756,0,0,22.0689189189,20.0896637609,None,None,9.0,9.19999980927,None,None
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581103004,36.173296,17,-82.625,-11.5,-94.4375,-18.5625,None,None,None,None,4.874088,51.301768,0.0,0.0,25,100,0,0,11006,100480,0,0,21.6332046332,23.3855024712,None,None,9.89999961853,12.0,None,None
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581103005,52.308032,18,-80.6875,-12.8125,-96.0,-14.375,None,None,None,None,3.679424,20.884104,0.0,0.0,25,100,0,0,8004,42884,0,0,22.1697127937,22.8231292517,None,None,9.80000019073,10.1999998093,None,None
40.4245002,-86.92386287,16,5145,16,850,None,None,None,None,1581103006,27.642832,19,-82.25,-13.3125,-95.4375,-19.8125,None,None,None,None,4.0072,21.189032,0.0,0.0,25,100,0,0,8543,47760,0,0,22.3426573427,21.273006135,None,None,7.09999990463,9.69999980927,None,None
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581103007,13.369248,20,-81.8125,-15.9375,-95.6875,-21.375,None,None,None,None,7.646864,52.010864,0.0,0.0,25,100,0,0,15922,97056,0,0,22.4202898551,23.8447563997,None,None,9.89999961853,8.39999961853,None,None
40.42450018,-86.92386297,16,5145,16,850,None,None,None,None,1581103008,53.298256,21,-82.8125,-13.5625,-95.25,-18.0625,None,None,None,None,7.12744,54.402792,0.0,0.0,25,100,0,0,15065,100104,0,0,22.2315484805,24.034562212,None,None,7.59999990463,10.8999996185,None,None
40.42450018,-86.923863,16,5145,16,850,None,None,None,None,1581103009,56.676992,22,-82.0625,-14.375,-94.875,-19.625,None,None,None,None,8.20596,46.612936,0.0,0.0,25,100,0,0,17214,82708,0,0,22.3328877005,24.6398865784,None,None,8.60000038147,10.3999996185,None,None
40.42450018,-86.92386303,16,5145,16,850,None,None,None,None,1581103010,57.582624,23,-82.9375,-14.375,-94.6875,-20.125,None,None,None,None,7.024016,52.236264,0.0,0.0,25,100,0,0,16203,90710,0,0,21.1602288984,24.6542137272,None,None,8.60000038147,10.1000003815,None,None
40.4245,-86.9235,16,5145,16,850,None,None,None,None,1581103011,49.261008,24,-83.0625,-11.25,-96.5625,-14.875,None,None,None,None,4.03264,39.064168,0.0,0.0,25,100,0,0,8705,71016,0,0,21.9900249377,24.4334365325,None,None,9.19999980927,8.5,None,None
40.42450015,-86.92386308,16,5145,16,850,None,None,None,None,1581103012,53.43424,25,-84.0625,-10.9375,-95.3125,-19.75,None,None,None,None,6.349648,56.683424,0.0,0.0,25,100,0,0,12993,96900,0,0,22.6748768473,25.5318979266,None,None,7.90000009537,9.30000019073,None,None
40.42450013,-86.92386309,16,5145,16,850,None,None,None,None,1581103013,48.060832,26,-82.375,-14.25,-94.125,-18.375,None,None,None,None,7.736968,60.119744,0.0,0.0,25,100,0,0,16131,104016,0,0,22.1643646409,25.0086819258,None,None,9.39999961853,8.89999961853,None,None
40.42450012,-86.92386311,16,5145,16,850,None,None,None,None,1581103014,59.513952,27,-82.0625,-14.25,-94.8125,-12.8125,None,None,None,None,11.21824,47.406072,0.0,0.0,25,100,0,0,20489,91148,0,0,24.3628219485,23.4988452656,None,None,11.5,8.80000019073,None,None
40.42450011,-86.92386311,16,5145,16,850,None,None,None,None,1581103015,56.233856,28,-82.25,-14.625,-95.625,-18.4375,None,None,None,None,9.934176,57.000656,0.0,0.0,25,100,0,0,20335,110768,0,0,22.7614678899,23.5376917945,None,None,8.69999980927,9.30000019073,None,None
40.42450007,-86.92386315,16,5145,16,850,None,None,None,None,1581103016,63.021072,29,-82.4375,-9.125,-97.75,-17.5,None,None,None,None,6.123232,56.36808,0.0,0.0,25,100,0,0,13622,103304,0,0,21.5238095238,24.1281273692,None,None,9.30000019073,11.5,None,None
40.42450006,-86.92386316,16,5145,16,850,None,None,None,None,1581103017,62.012208,30,-82.625,-12.0625,-95.4375,-14.1875,None,None,None,None,6.67136,59.906456,0.0,0.0,25,100,0,0,15280,114464,0,0,21.3620437956,23.9166666667,None,None,7.80000019073,9.5,None,None
40.42450003,-86.9238632,16,5145,16,850,None,None,None,None,1581103018,58.825872,31,-83.8125,-14.75,-95.4375,-19.3125,None,None,None,None,5.67996,51.994128,0.0,0.0,25,100,0,0,13087,105448,0,0,21.1293103448,22.768174475,None,None,8.30000019073,9.0,None,None
