grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099576,8.793936,6,-89.3125,-14.25,None,None,None,None,None,None,10.51012,0.0,0.0,0.0,25,0,0,0,21335,0,0,0,23.3421610169,None,None,None,13.8999996185,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099577,9.534176,7,-87.9375,-12.375,None,None,None,None,None,None,6.667904,0.0,0.0,0.0,25,0,0,0,18972,0,0,0,19.1674925669,None,None,None,9.10000038147,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099578,7.715856,8,-90.4375,-13.6875,None,None,None,None,None,None,5.514424,0.0,0.0,0.0,25,0,0,0,11841,0,0,0,21.357696567,None,None,None,13.1000003815,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099579,4.17552,9,-91.25,-13.8125,None,None,None,None,None,None,9.235624,0.0,0.0,0.0,25,0,0,0,23345,0,0,0,20.2785234899,None,None,None,7.59999990463,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099580,8.086032,10,-91.75,-12.125,None,None,None,None,None,None,6.397536,0.0,0.0,0.0,25,0,0,0,15521,0,0,0,20.4594127807,None,None,None,15.3000001907,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099581,5.84184,11,-88.8125,-13.375,None,None,None,None,None,None,7.7176,0.0,0.0,0.0,25,0,0,0,20099,0,0,0,20.073926868,None,None,None,16.3999996185,None,None,None
40.42433446,-86.92270815,363,2425,None,None,None,None,None,None,1581099582,6.212016,12,-91.125,-12.625,None,None,None,None,None,None,6.89468,0.0,0.0,0.0,25,0,0,0,19417,0,0,0,18.6045939295,None,None,None,9.69999980927,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099583,6.975504,13,-92.0,-12.8125,None,None,None,None,None,None,7.117392,0.0,0.0,0.0,25,0,0,0,16311,0,0,0,20.9783018868,None,None,None,15.8999996185,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099584,7.264704,14,-91.6875,-14.0,None,None,None,None,None,None,3.825232,0.0,0.0,0.0,25,0,0,0,7356,0,0,0,23.1172932331,None,None,None,11.3999996185,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099585,3.06552,15,-90.625,-11.875,None,None,None,None,None,None,7.47484,0.0,0.0,0.0,25,0,0,0,17932,0,0,0,21.1226330027,None,None,None,12.3999996185,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099586,6.084768,16,-91.5,-13.1875,None,None,None,None,None,None,6.734952,0.0,0.0,0.0,25,0,0,0,17905,0,0,0,19.5538869258,None,None,None,13.1000003815,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099587,6.30456,17,-91.0,-13.9375,None,None,None,None,None,None,5.373376,0.0,0.0,0.0,25,0,0,0,11698,0,0,0,22.275308642,None,None,None,14.3000001907,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099588,5.101488,18,-91.375,-13.25,None,None,None,None,None,None,7.81464,0.0,0.0,0.0,25,0,0,0,17261,0,0,0,21.9051546392,None,None,None,15.8000001907,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099589,7.149024,19,-93.0,-13.125,None,None,None,None,None,None,5.643904,0.0,0.0,0.0,25,0,0,0,13336,0,0,0,21.1666666667,None,None,None,6.80000019073,None,None,None
40.42435944,-86.92284159,363,2425,None,None,None,None,None,None,1581099590,4.74288,20,-90.8125,-13.5,None,None,None,None,None,None,9.850312,0.0,0.0,0.0,25,0,0,0,24566,0,0,0,20.1187772926,None,None,None,16.7999992371,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099591,7.970352,21,-92.5625,-13.5,None,None,None,None,None,None,7.146664,0.0,0.0,0.0,25,0,0,0,16157,0,0,0,22.0587668593,None,None,None,6.40000009537,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099592,7.299408,22,-92.125,-12.4375,None,None,None,None,None,None,10.402432,0.0,0.0,0.0,25,0,0,0,30293,0,0,0,17.9906001446,None,None,None,11.0,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099593,8.999904,23,-90.8125,-14.5625,None,None,None,None,None,None,8.895936,0.0,0.0,0.0,25,0,0,0,23606,0,0,0,19.5524193548,None,None,None,9.39999961853,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099594,7.947216,24,-93.5625,-15.375,None,None,None,None,None,None,8.12884,0.0,0.0,0.0,25,0,0,0,17640,0,0,0,22.6434511435,None,None,None,4.09999990463,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099595,8.178576,25,-92.3125,-13.75,None,None,None,None,None,None,8.66092,0.0,0.0,0.0,25,0,0,0,20658,0,0,0,21.1215517241,None,None,None,17.2999992371,None,None,None
40.424,-86.9225,363,2425,None,None,None,None,None,None,1581099596,7.449792,26,-90.9375,-14.5,None,None,None,None,None,None,10.424016,0.0,0.0,0.0,25,0,0,0,20320,0,0,0,23.4916317992,None,None,None,6.69999980927,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099597,9.983184,27,-93.3125,-12.8125,None,None,None,None,None,None,9.96632,0.0,0.0,0.0,25,0,0,0,24403,0,0,0,20.3151785714,None,None,None,12.6999998093,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099598,8.398368,28,-94.4375,-14.3125,None,None,None,None,None,None,10.84316,0.0,0.0,0.0,25,0,0,0,23427,0,0,0,22.2774509804,None,None,None,6.90000009537,None,None,None
40.4244054,-86.92303066,363,2425,None,None,None,None,None,None,1581099599,10.00632,29,-96.0625,-14.8125,None,None,None,None,None,None,9.37604,0.0,0.0,0.0,25,0,0,0,21825,0,0,0,21.64958159,None,None,None,12.0,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099600,8.224848,30,-97.0,-13.4375,None,None,None,None,None,None,6.185032,0.0,0.0,0.0,25,0,0,0,18018,0,0,0,18.7632898696,None,None,None,10.3000001907,None,None,None
40.42441531,-86.92306081,363,2425,None,None,None,None,None,None,1581099601,5.633616,31,-94.75,-13.5625,None,None,None,None,None,None,8.253024,0.0,0.0,0.0,25,0,0,0,19007,0,0,0,20.7343470483,None,None,None,12.8000001907,None,None,None
40.42441717,-86.92307786,363,2425,None,None,None,None,None,None,1581099602,7.299408,32,-94.0625,-14.5625,None,None,None,None,None,None,9.22504,0.0,0.0,0.0,25,0,0,0,26335,0,0,0,18.5665338645,None,None,None,9.39999961853,None,None,None
40.42441856,-86.92309882,363,2425,None,None,None,None,None,None,1581099603,8.687568,33,-94.4375,-14.8125,None,None,None,None,None,None,9.661808,0.0,0.0,0.0,25,0,0,0,28999,0,0,0,18.1129860602,None,None,None,6.0,None,None,None
40.42441838,-86.92312128,363,2425,None,None,None,None,None,None,1581099604,8.525616,34,-95.3125,-14.0,None,None,None,None,None,None,9.106584,0.0,0.0,0.0,25,0,0,0,23769,0,0,0,19.8363811357,None,None,None,5.0,None,None,None
40.42441372,-86.92314107,363,2425,None,None,None,None,None,None,1581099605,8.421504,35,-93.875,-13.75,None,None,None,None,None,None,6.86796,0.0,0.0,0.0,25,0,0,0,16040,0,0,0,21.3806941432,None,None,None,12.1000003815,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099606,6.755712,36,-96.6875,-12.8125,None,None,None,None,None,None,4.090968,0.0,0.0,0.0,25,0,0,0,12311,0,0,0,18.1571946796,None,None,None,6.40000009537,None,None,None
40.42441101,-86.92317727,363,2425,None,None,None,None,None,None,1581099607,2.972976,37,-96.4375,-14.375,None,None,None,None,None,None,7.028672,0.0,0.0,0.0,25,0,0,0,23722,0,0,0,16.6898895497,None,None,None,5.80000019073,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099608,6.6516,38,-91.625,-12.6875,None,None,None,None,None,None,7.784264,0.0,0.0,0.0,25,0,0,0,20489,0,0,0,20.2849686848,None,None,None,8.19999980927,None,None,None
40.42441286,-86.92322223,363,2425,None,None,None,None,None,None,1581099609,7.160592,39,-91.6875,-10.875,None,None,None,None,None,None,5.583464,0.0,0.0,0.0,25,0,0,0,15143,0,0,0,19.3505434783,None,None,None,7.59999990463,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099610,5.055216,40,-92.5,-14.6875,None,None,None,None,None,None,6.648416,0.0,0.0,0.0,25,0,0,0,16647,0,0,0,20.6905286344,None,None,None,5.0,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099611,5.969088,41,-94.125,-14.0,None,None,None,None,None,None,5.349024,0.0,0.0,0.0,25,0,0,0,14692,0,0,0,19.7124711316,None,None,None,7.59999990463,None,None,None
40.42441468,-86.92329821,363,2425,None,None,None,None,None,None,1581099612,4.835424,42,-94.125,-14.25,None,None,None,None,None,None,4.949952,0.0,0.0,0.0,25,0,0,0,11883,0,0,0,21.4541723666,None,None,None,3.09999990463,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099613,4.68504,43,-94.6875,-14.1875,None,None,None,None,None,None,3.787312,0.0,0.0,0.0,25,0,0,0,13953,0,0,0,16.3360560093,None,None,None,13.8000001907,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099614,3.35472,44,-93.1875,-13.6875,None,None,None,None,None,None,9.133584,0.0,0.0,0.0,25,0,0,0,19777,0,0,0,22.4262990456,None,None,None,6.40000009537,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099615,8.028192,45,-94.875,-13.375,None,None,None,None,None,None,6.23056,0.0,0.0,0.0,25,0,0,0,15034,0,0,0,20.7232142857,None,None,None,4.90000009537,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099616,6.154176,46,-94.75,-13.8125,None,None,None,None,None,None,6.284592,0.0,0.0,0.0,25,0,0,0,16997,0,0,0,19.9660087719,None,None,None,6.30000019073,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099617,4.9164,47,-95.8125,-13.5,None,None,None,None,None,None,3.335528,0.0,0.0,0.0,25,0,0,0,12420,0,0,0,15.536159601,None,None,None,4.19999980927,None,None,None
40.42442472,-86.9234356,363,2425,None,None,None,None,None,None,1581099618,3.748032,48,-95.125,-15.9375,None,None,None,None,None,None,1.814704,0.0,0.0,0.0,25,0,0,0,5103,0,0,0,18.253164557,None,None,None,9.39999961853,None,None,None
40.424,-86.923,363,2425,None,None,None,None,None,None,1581099619,1.550112,49,-97.8125,-13.25,None,None,None,None,None,None,1.843856,0.0,0.0,0.0,25,0,0,0,3995,0,0,0,22.819047619,None,None,None,7.90000009537,None,None,None
