grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.42469596,-86.93702472,304,850,17,5145,None,None,None,None,1583537283,18.208544,2,-108.625,-19.625,-102.125,-14.6875,None,None,None,None,13.116696,4.249056,0.0,0.0,100,25,0,0,64552,15825,0,0,12.2014705882,14.4296636086,None,None,0.0,2.09999990463,None,None
40.42469524,-86.93702694,304,850,17,5145,None,None,None,None,1583537284,19.20288,3,-110.3125,-22.0625,-100.3125,-15.5,None,None,None,None,14.045192,4.276192,0.0,0.0,100,25,0,0,71768,17940,0,0,11.7441860465,13.3046979866,None,None,1.10000002384,2.29999995232,None,None
40.42469523,-86.93702838,304,850,17,5145,None,None,None,None,1583537285,13.580832,4,-110.5625,-19.375,-100.5625,-13.9375,None,None,None,None,16.43924,4.39528,0.0,0.0,100,25,0,0,74204,20709,0,0,12.7340966921,12.5174013921,None,None,0.0,-0.899999976158,None,None
40.42469615,-86.93702508,304,850,17,5145,None,None,None,None,1583537286,17.9304,5,-110.4375,-18.75,-100.1875,-16.375,None,None,None,None,15.484704,3.790048,0.0,0.0,100,25,0,0,78300,20507,0,0,11.6286407767,11.1981242673,None,None,1.70000004768,-2.20000004768,None,None
40.42469615,-86.93702508,304,850,17,5145,None,None,None,None,1583537287,18.184896,6,-110.5,-22.0625,-100.3125,-15.9375,None,None,None,None,15.414576,3.958512,0.0,0.0,100,25,0,0,81748,20263,0,0,11.6608594657,11.6485207101,None,None,0.40000000596,-2.09999990463,None,None
40.42469452,-86.93701955,103,66486,None,None,None,None,None,None,1583537288,17.375136,7,-107.0,-17.3125,None,None,None,None,None,None,8.81864,0.024384,0.0,0.0,100,25,0,0,36536,125,0,0,14.5826155051,11.8,None,None,3.70000004768,None,None,None
40.42469865,-86.93700585,103,66486,None,None,None,None,None,None,1583537289,10.226112,8,-106.9375,-17.75,None,None,None,None,None,None,11.8582,0.0,0.0,0.0,50,0,0,0,43021,0,0,0,16.4927916121,None,None,None,3.79999995232,None,None,None
40.42469407,-86.93700403,103,66486,None,None,None,None,None,None,1583537290,11.094256,9,-106.75,-17.25,None,None,None,None,None,None,11.864304,0.0,0.0,0.0,50,0,0,0,44437,0,0,0,16.1650358774,None,None,None,3.59999990463,None,None,None
40.42469199,-86.93700935,103,66486,None,None,None,None,None,None,1583537291,10.573152,10,-106.625,-16.25,None,None,None,None,None,None,8.412952,0.0,0.0,0.0,50,0,0,0,31748,0,0,0,16.0801393728,None,None,None,4.30000019073,None,None,None
40.42469199,-86.93700935,103,66486,None,None,None,None,None,None,1583537292,8.884224,11,-106.6875,-17.9375,None,None,None,None,None,None,6.366952,0.0,0.0,0.0,50,0,0,0,23041,0,0,0,16.1531531532,None,None,None,2.79999995232,None,None,None
