grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.42430107,-86.91812955,422,5145,398,850,413,1150,None,None,1583552175,87.31328,5,-81.0625,-13.1875,-98.25,-13.0,-87.4375,-18.75,None,None,9.169472,22.808064,68.39864,0.0,25,100,50,0,22067,46000,74546,0,20.0482625483,22.7843866171,26.2253032929,None,18.6000003815,12.8000001907,17.8999996185,None
40.424,-86.918,422,5145,398,850,413,1150,None,None,1583552176,88.708416,6,-81.75,-12.5,-100.1875,-9.3125,-86.1875,-19.3125,None,None,9.2662,35.979352,53.316416,0.0,25,100,50,0,21968,74228,55900,0,20.0658844765,22.5748847926,26.4466165414,None,18.3999996185,5.09999990463,24.5,None
40.42430096,-86.91812958,398,850,59,9820,None,None,None,None,1583552177,86.593344,7,-95.5,-13.8125,-103.75,-17.75,None,None,None,None,3.99272,2.933232,0.379328,0.0,100,92,50,0,10117,8286,362,0,16.925,18.0239520958,28.25,None,7.5,4.80000019073,None,None
40.42430099,-86.91812944,398,850,59,9820,None,None,None,None,1583552178,107.236624,8,-95.6875,-14.5,-103.9375,-17.125,None,None,None,None,39.10732,29.946096,0.0,0.0,100,50,0,0,67396,59368,0,0,24.866837388,22.6859437751,None,None,4.09999990463,9.39999961853,None,None
40.42430122,-86.91812902,398,850,59,9820,None,None,None,None,1583552179,67.51768,9,-91.1875,-12.9375,-104.1875,-21.3125,None,None,None,None,38.194488,28.237832,0.0,0.0,100,50,0,0,65272,57004,0,0,25.2493638677,22.6073025335,None,None,8.39999961853,9.39999961853,None,None
40.424,-86.918,398,850,59,9820,None,None,None,None,1583552180,56.33504,10,-90.8125,-12.5,-104.125,-18.3125,None,None,None,None,27.001392,17.466704,0.0,0.0,100,50,0,0,44216,38627,0,0,26.112522686,21.5653560043,None,None,15.6999998093,8.89999961853,None,None
40.42430165,-86.91812874,398,850,59,9820,None,None,None,None,1583552181,51.755232,11,-91.8125,-12.0,-105.3125,-20.125,None,None,None,None,27.966424,26.427936,0.0,0.0,100,50,0,0,63864,59872,0,0,21.290886392,21.5228151585,None,None,17.6000003815,8.30000019073,None,None
40.424,-86.918,398,850,59,9820,None,None,None,None,1583552182,40.183088,12,-91.5,-12.5625,-106.625,-20.25,None,None,None,None,62.618888,28.088896,0.0,0.0,100,50,0,0,138700,67800,0,0,21.935128519,20.4388753056,None,None,15.1000003815,5.80000019073,None,None
40.424,-86.918,398,850,59,9820,None,None,None,None,1583552183,77.806368,13,-91.9375,-13.625,-106.3125,-19.6875,None,None,None,None,51.357096,24.785216,0.0,0.0,100,50,0,0,129664,58177,0,0,19.9441269841,20.8882265276,None,None,7.5,4.0,None,None
40.42430229,-86.91812927,398,850,59,9820,None,None,None,None,1583552184,71.95296,14,-91.0,-13.9375,-107.0625,-17.4375,None,None,None,None,36.594848,21.062336,0.0,0.0,100,50,0,0,90420,42407,0,0,19.432034632,22.2631058358,None,None,7.30000019073,5.80000019073,None,None
40.42430247,-86.91812921,398,850,59,9820,None,None,None,None,1583552185,54.83232,15,-91.3125,-14.3125,-106.5625,-21.3125,None,None,None,None,42.05776,21.396224,0.0,0.0,100,50,0,0,72400,49396,0,0,25.0820451843,20.0077253219,None,None,8.89999961853,5.69999980927,None,None
40.42430259,-86.91812928,398,850,59,9820,None,None,None,None,1583552186,54.681936,16,-91.5,-13.375,-107.25,-19.9375,None,None,None,None,12.467168,0.0,0.0,0.0,100,0,0,0,33944,0,0,0,18.454308094,None,None,None,7.5,5.09999990463,None,None
40.42430263,-86.9181293,398,850,None,None,None,None,None,None,1583552187,57.111216,17,-91.3125,-13.0,None,None,None,None,None,None,56.743016,0.0,0.0,0.0,100,0,0,0,121720,0,0,0,21.975088968,None,None,None,7.40000009537,None,None,None
40.424,-86.918,398,850,None,None,None,None,None,None,1583552188,51.512304,18,-91.0625,-13.25,None,None,None,None,None,None,58.156832,0.0,0.0,0.0,100,0,0,0,114276,0,0,0,23.8501118568,None,None,None,7.19999980927,None,None,None
40.42430266,-86.91812928,398,850,None,None,None,None,None,None,1583552189,54.42744,19,-91.25,-15.0625,None,None,None,None,None,None,52.981624,0.0,0.0,0.0,100,0,0,0,101916,0,0,0,24.3503375844,None,None,None,7.5,None,None,None
40.42430267,-86.91812928,398,850,None,None,None,None,None,None,1583552190,47.984064,20,-91.125,-13.75,None,None,None,None,None,None,50.123856,0.0,0.0,0.0,100,0,0,0,96764,0,0,0,23.934595525,None,None,None,7.40000009537,None,None,None
40.42430267,-86.91812928,398,850,None,None,None,None,None,None,1583552191,41.633232,21,-90.5625,-13.5,None,None,None,None,None,None,68.27408,0.0,0.0,0.0,100,0,0,0,129164,0,0,0,24.0948217888,None,None,None,7.5,None,None,None
40.424,-86.918,398,850,None,None,None,None,None,None,1583552192,67.927296,22,-91.4375,-12.75,None,None,None,None,None,None,71.77996,0.0,0.0,0.0,100,0,0,0,133244,0,0,0,24.5279461279,None,None,None,19.0,None,None,None
40.42430266,-86.91812922,398,850,None,None,None,None,None,None,1583552193,56.891424,23,-91.1875,-14.4375,None,None,None,None,None,None,45.659624,0.0,0.0,0.0,100,0,0,0,82486,0,0,0,24.8039585297,None,None,None,16.2999992371,None,None,None
40.424,-86.918,398,850,None,None,None,None,None,None,1583552194,48.735984,24,-91.1875,-13.0,None,None,None,None,None,None,74.072592,0.0,0.0,0.0,100,0,0,0,128484,0,0,0,25.5272385723,None,None,None,17.0,None,None,None
40.42430267,-86.91812919,398,850,None,None,None,None,None,None,1583552195,57.226896,25,-91.1875,-12.75,None,None,None,None,None,None,68.669632,0.0,0.0,0.0,100,0,0,0,119740,0,0,0,25.4146179402,None,None,None,15.3999996185,None,None,None
40.42430268,-86.91812918,398,850,None,None,None,None,None,None,1583552196,67.649664,26,-90.5,-12.9375,None,None,None,None,None,None,74.809864,0.0,0.0,0.0,100,0,0,0,130964,0,0,0,25.3921069383,None,None,None,17.3999996185,None,None,None
40.42430271,-86.91812914,398,850,None,None,None,None,None,None,1583552197,64.422192,27,-90.625,-12.75,None,None,None,None,None,None,65.525408,0.0,0.0,0.0,100,0,0,0,113588,0,0,0,25.4674157303,None,None,None,17.1000003815,None,None,None
40.424,-86.918,398,850,None,None,None,None,None,None,1583552198,64.2024,28,-90.375,-13.0,None,None,None,None,None,None,44.07792,0.0,0.0,0.0,100,0,0,0,79724,0,0,0,24.7960741549,None,None,None,17.8999996185,None,None,None
40.42430274,-86.91812911,398,850,None,None,None,None,None,None,1583552199,33.223296,29,-90.5,-12.625,None,None,None,None,None,None,83.021184,0.0,0.0,0.0,100,0,0,0,145812,0,0,0,25.2430678466,None,None,None,17.8999996185,None,None,None
40.42430275,-86.91812911,398,850,None,None,None,None,None,None,1583552200,78.234384,30,-90.5625,-12.6875,None,None,None,None,None,None,74.915416,0.0,0.0,0.0,100,0,0,0,134040,0,0,0,25.084515731,None,None,None,17.2999992371,None,None,None
40.42430275,-86.9181291,398,850,None,None,None,None,None,None,1583552201,68.216496,31,-90.5,-13.4375,None,None,None,None,None,None,64.829672,0.0,0.0,0.0,100,0,0,0,112252,0,0,0,25.3428367783,None,None,None,11.1000003815,None,None,None
40.42430275,-86.9181291,398,850,None,None,None,None,None,None,1583552202,59.181888,32,-90.875,-13.4375,None,None,None,None,None,None,81.238392,0.0,0.0,0.0,100,0,0,0,143612,0,0,0,25.1438188494,None,None,None,17.5,None,None,None
