grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.42345426,-86.90763537,22,2000,400,5145,283,2175,None,None,1583544707,40.060096,3,-87.8125,-13.8125,-86.5,-13.0,-89.1875,-13.1875,None,None,33.099,11.171808,16.48652,0.0,50,25,25,0,54541,37861,36186,0,22.9313944817,16.0869565217,21.8858764187,None,10.8999996185,4.5,19.2000007629,None
40.423,-86.9075,22,2000,400,5145,283,2175,None,None,1583544708,52.41016,4,-88.25,-14.4375,-86.25,-13.5625,-89.0625,-13.0625,None,None,22.354904,6.17008,11.951448,0.0,50,25,25,0,43344,17284,30780,0,22.8164893617,18.4146341463,19.7085201794,None,10.1000003815,6.40000009537,17.3999996185,None
40.4234503,-86.90762206,22,2000,400,5145,283,2175,None,None,1583544709,25.886208,5,-87.6875,-14.0,-84.5,-13.0,-87.75,-13.1875,None,None,12.057744,1.509472,15.954208,0.0,50,25,25,0,23241,4344,39999,0,22.6591304348,17.9061371841,20.4971198157,None,13.1000003815,5.69999980927,17.8999996185,None
40.42345177,-86.90762093,22,2000,400,5145,283,2175,None,None,1583544710,32.27304,6,-89.375,-15.5625,-85.875,-12.25,-90.8125,-15.25,None,None,17.699104,4.177632,12.820376,0.0,50,25,25,0,34132,12643,28964,0,22.243715847,17.2034120735,21.5223443223,None,10.5,14.6999998093,15.3999996185,None
40.42345177,-86.90762093,22,2000,400,5145,283,2175,None,None,1583544711,31.326688,7,-89.3125,-14.4375,-85.6875,-11.8125,-90.1875,-13.375,None,None,12.494312,6.202856,13.577976,0.0,50,25,25,0,25070,19973,39476,0,20.8558951965,16.3826335878,18.3041666667,None,11.1999998093,16.2999992371,14.8999996185,None
40.4234515,-86.90762097,22,2000,400,5145,283,2175,None,None,1583544712,35.317104,8,-89.9375,-15.1875,-85.125,-12.9375,-90.5,-13.625,None,None,15.418216,4.395392,11.623504,0.0,50,25,25,0,29548,15627,32372,0,22.1594963274,15.4131652661,18.8805774278,None,9.69999980927,13.6000003815,14.3999996185,None
40.42345164,-86.90762095,22,2000,400,5145,283,2175,None,None,1583544713,24.963744,9,-90.125,-14.0625,-85.5625,-12.875,-90.25,-14.6875,None,None,18.34584,13.517648,15.263528,0.0,50,25,25,0,30897,40527,38515,0,21.1354497354,17.6585788562,19.9248554913,None,14.1000003815,13.6999998093,14.8000001907,None
40.42345164,-86.90762094,22,2000,400,5145,283,2175,None,None,1583544714,54.959568,10,-89.75,-16.1875,-85.8125,-13.125,-88.875,-14.3125,None,None,35.740216,11.150768,12.721152,0.0,50,25,25,0,62919,35503,34691,0,21.9823120657,17.0556274256,18.9077922078,None,15.3000001907,12.8999996185,14.3000001907,None
40.42345163,-86.90762096,22,2000,400,5145,283,2175,None,None,1583544715,40.962288,11,-90.3125,-14.5,-85.5625,-11.9375,-89.5625,-13.9375,None,None,17.354984,10.325048,14.767784,0.0,50,25,25,0,31134,32013,35150,0,20.8608582575,17.17053206,20.7353308365,None,13.8000001907,14.0,12.6999998093,None
40.42345162,-86.90762095,22,2000,400,5145,283,2175,None,None,1583544716,49.198704,12,-90.3125,-14.0,-85.0625,-13.6875,-90.125,-15.8125,None,None,30.593464,8.36532,10.170136,0.0,50,25,25,0,52760,26833,27564,0,21.6638846737,16.8244535519,19.0469314079,None,13.3000001907,6.09999990463,8.5,None
40.42345165,-86.90762095,22,2000,400,5145,283,2175,None,None,1583544717,44.664048,13,-90.125,-15.1875,-85.125,-12.9375,-90.5,-15.25,None,None,32.005704,5.19276,12.464384,0.0,50,25,25,0,57632,16627,35037,0,22.1196172249,16.4939271255,18.5459882583,None,11.8000001907,14.1000003815,13.5,None
40.42345165,-86.90762102,22,2000,400,5145,283,2175,None,None,1583544718,38.822208,14,-90.0,-15.0625,-85.4375,-11.5625,-89.875,-14.6875,None,None,33.97348,3.25028,15.334976,0.0,50,25,25,0,56973,9798,38160,0,23.5017869907,17.2331154684,20.2188414277,None,15.0,14.0,13.0,None
40.42345165,-86.90762102,22,2000,400,5145,283,2175,None,None,1583544719,59.760288,15,-90.375,-14.3125,-84.6875,-12.5,-90.25,-14.75,None,None,38.154712,8.400992,15.891472,0.0,50,25,25,0,63515,26606,38125,0,23.3969106783,16.968013468,20.5404919016,None,13.0,14.5,10.6999998093,None
40.42345159,-86.90762113,22,2000,400,5145,283,2175,None,None,1583544720,54.358032,16,-90.1875,-14.625,-85.4375,-8.5,-91.9375,-8.8125,None,None,33.184352,10.047408,14.149472,0.0,50,25,25,0,58686,29901,38830,0,24.053133515,17.7386018237,19.1043425814,None,15.3999996185,14.3999996185,12.6999998093,None
40.42345159,-86.90762113,22,2000,400,5145,283,2175,None,None,1583544721,53.548272,17,-90.4375,-13.5,-85.0625,-13.6875,-90.9375,-14.3125,None,None,31.435584,6.233408,13.901336,0.0,50,25,25,0,46890,18410,32991,0,23.289640592,17.7776617954,20.937414966,None,14.1000003815,11.1000003815,11.0,None
40.42345147,-86.90762123,22,2000,400,5145,283,2175,None,None,1583544722,41.81832,18,-87.6875,-13.0625,-87.3125,-12.9375,-86.375,-14.0,None,None,29.656848,9.121936,16.705864,0.0,50,25,25,0,46167,29846,37282,0,21.7887550201,16.518115942,21.5612121212,None,12.8000001907,13.3000001907,15.5,None
40.42345134,-86.90762165,22,2000,400,5145,283,2175,None,None,1583544723,47.960928,19,-89.0,-13.8125,-85.875,-11.8125,-89.3125,-13.8125,None,None,23.51636,11.44732,15.829472,0.0,50,25,25,0,35795,33319,38233,0,21.7449947313,18.1622176591,20.4715302491,None,14.5,12.1000003815,9.69999980927,None
40.423,-86.9075,22,2000,400,5145,283,2175,None,None,1583544724,46.44552,20,-88.0625,-15.1875,-86.125,-12.5625,-88.75,-14.5,None,None,39.006688,6.116528,13.33096,0.0,50,25,25,0,59421,18707,35050,0,22.3144475921,17.5176470588,18.947093403,None,12.8000001907,13.1999998093,13.8000001907,None
