grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4232335,-86.9080027,400,66936,None,None,None,None,None,None,1583549731,10.477296,4,-94.1875,-13.9375,None,None,None,None,None,None,6.95792,0.0,0.0,0.0,47,0,0,0,8503,0,0,0,24.4930555556,None,None,None,19.1000003815,None,None,None
40.42339485,-86.90763662,400,66936,None,None,None,None,None,None,1583549732,11.070576,5,-92.9375,-13.4375,None,None,None,None,None,None,9.725344,0.0,0.0,0.0,50,0,0,0,11099,0,0,0,25.7427937916,None,None,None,20.2999992371,None,None,None
40.42339593,-86.90763723,77,9820,None,None,None,None,None,None,1583549733,8.745408,6,-105.8125,-14.0625,None,None,None,None,None,None,0.855616,0.0,0.0,0.0,50,0,0,0,1748,0,0,0,14.6545454545,None,None,None,11.3000001907,None,None,None
40.42339676,-86.90763761,77,9820,400,850,400,5145,None,None,1583549734,21.076896,7,-100.8125,-14.4375,-98.25,-14.4375,-91.625,-13.5625,None,None,12.726464,13.869536,4.013752,0.0,50,100,25,0,22051,45908,12585,0,24.7456846951,16.3467741935,17.1938461538,None,12.3999996185,4.19999980927,11.1000003815,None
40.42339773,-86.90763747,77,9820,400,850,400,5145,None,None,1583549735,15.142512,8,-101.8125,-13.5,-98.125,-14.0,-91.0625,-13.3125,None,None,10.617088,1.17644,0.268176,0.0,50,76,25,0,18551,3408,620,0,25.3271162123,17.7566137566,22.5272727273,None,10.1999998093,12.3000001907,15.0,None
40.42339874,-86.90763771,77,9820,400,850,400,5145,None,None,1583549736,11.984448,9,-100.5,-14.0,-96.3125,-14.6875,-90.0,-13.875,None,None,7.34316,1.672776,0.372304,0.0,50,80,25,0,11843,5432,1131,0,26.1859205776,17.1872791519,18.1076923077,None,12.5,9.30000019073,6.40000009537,None
40.42339922,-86.90763742,77,9820,400,850,400,5145,None,None,1583549737,14.471568,10,-100.875,-13.0625,-96.875,-15.1875,-90.0625,-13.875,None,None,6.678488,15.184008,1.145088,0.0,50,100,25,0,14109,56104,3210,0,20.5245746692,15.6975476839,20.375,None,11.0,6.69999980927,9.80000019073,None
40.423,-86.9075,77,9820,400,850,400,5145,None,None,1583549738,19.654032,11,-100.6875,-13.875,-97.25,-15.8125,-90.3125,-12.875,None,None,9.757328,11.370584,1.074736,0.0,50,100,25,0,23277,42260,3003,0,19.6769109535,15.5131914894,19.3396226415,None,11.1000003815,6.90000009537,12.3000001907,None
40.42339913,-86.9076363,77,9820,400,850,400,5145,None,None,1583549739,26.074272,12,-100.6875,-12.4375,-97.375,-15.4375,-90.4375,-13.25,None,None,7.806744,17.916456,1.359216,0.0,50,100,25,0,23173,64320,4009,0,17.7133858268,16.3019607843,20.0409556314,None,10.5,8.80000019073,11.5,None
40.42339919,-86.9076356,77,9820,400,850,400,5145,None,None,1583549740,14.957424,13,-100.75,-11.9375,-97.375,-16.625,-89.5,-13.0625,None,None,3.549552,10.635856,0.806704,0.0,50,100,25,0,7018,38856,2604,0,23.3881278539,16.3877952756,18.2298850575,None,11.0,4.09999990463,4.19999980927,None
40.42339914,-86.90763531,77,9820,400,850,400,5145,None,None,1583549741,14.7492,14,-100.6875,-12.625,-97.625,-14.6875,-89.6875,-13.3125,None,None,6.289448,4.898648,2.33132,0.0,50,100,25,0,20358,17928,6467,0,17.1968365554,16.6400817996,19.8802992519,None,11.1999998093,4.80000019073,9.39999961853,None
40.42339909,-86.90763503,77,9820,400,850,400,5145,None,None,1583549742,11.891904,15,-100.6875,-13.6875,-97.125,-13.5625,-90.125,-13.875,None,None,9.501416,6.764632,4.082272,0.0,50,100,25,0,25044,27700,13227,0,20.2609756098,14.6732026144,17.4992887624,None,8.60000038147,3.70000004768,11.5,None
40.42339903,-86.90763485,77,9820,400,850,400,5145,None,None,1583549743,26.733648,16,-100.1875,-13.8125,-97.4375,-14.3125,-89.5625,-12.5625,None,None,16.5412,13.6656,4.092896,0.0,50,100,25,0,54220,53692,14764,0,16.7912860155,14.8554216867,15.3233979136,None,11.6000003815,5.09999990463,6.30000019073,None
40.42339899,-86.90763478,77,9820,400,850,400,5145,None,None,1583549744,26.988144,17,-100.125,-13.4375,-97.0,-13.8125,-89.625,-14.0,None,None,12.704144,9.809352,0.80184,0.0,50,100,25,0,26719,35332,2944,0,22.2027972028,15.8672566372,15.2045454545,None,7.59999990463,6.40000009537,10.0,None
40.42339897,-86.90763474,77,9820,400,850,400,5145,None,None,1583549745,19.43424,18,-100.25,-13.1875,-97.1875,-15.8125,-90.125,-13.8125,None,None,9.648096,2.90768,1.098656,0.0,50,100,25,0,19069,9332,2933,0,23.7230989957,17.0378378378,19.801242236,None,9.10000038147,0.300000011921,8.60000038147,None
40.42339895,-86.90763472,77,9820,400,850,400,5145,None,None,1583549746,12.111696,19,-100.6875,-9.375,-97.6875,-15.625,-90.25,-8.0,None,None,10.139424,5.036504,3.362112,0.0,50,100,25,0,18005,16836,12898,0,24.6271777003,17.3309859155,15.273827534,None,7.80000019073,7.5,9.30000019073,None
40.42339894,-86.9076347,77,9820,400,850,400,5145,None,None,1583549747,14.413728,20,-100.0625,-12.5,-96.9375,-15.1875,-89.625,-11.9375,None,None,7.283504,4.858128,3.227096,0.0,50,100,25,0,16667,16951,12823,0,21.5882352941,15.8345498783,14.832278481,None,10.8000001907,10.8999996185,12.5,None
40.42339893,-86.90763469,77,9820,400,850,400,5145,None,None,1583549748,18.138624,21,-100.8125,-12.4375,-98.25,-14.8125,-91.5,-6.6875,None,None,9.259792,4.498816,4.294864,0.0,50,100,25,0,24689,16428,13768,0,19.4451612903,15.9147609148,16.865625,None,10.6999998093,-0.300000011921,11.6000003815,None
40.42339892,-86.90763469,77,9820,400,850,400,5145,None,None,1583549749,13.962576,22,-100.875,-13.3125,-98.875,-16.3125,-91.75,-11.375,None,None,10.679064,2.7914,4.229008,0.0,50,100,25,0,33759,8096,15440,0,16.6561443067,18.3692810458,15.5429740791,None,10.5,5.69999980927,3.90000009537,None
40.42339891,-86.90763469,77,9820,400,850,400,5145,None,None,1583549750,9.242832,23,-100.9375,-13.3125,-98.125,-15.125,-92.125,-12.6875,None,None,3.347424,1.5062,2.801256,0.0,50,96,25,0,11432,4984,7561,0,16.1557496361,17.5714285714,20.36,None,9.69999980927,0.20000000298,12.1000003815,None
40.42339891,-86.90763469,77,9820,400,850,400,5145,None,None,1583549751,15.628368,24,-101.0625,-13.0625,-98.0625,-14.125,-92.875,-11.3125,None,None,14.742744,4.10824,6.59896,0.0,50,100,25,0,48057,15368,16240,0,16.9650400583,15.5833333333,20.3474470735,None,10.6999998093,7.0,13.1000003815,None
40.4233989,-86.9076347,77,9820,400,850,400,5145,None,None,1583549752,24.339072,25,-101.9375,-13.25,-97.0,-16.1875,-90.5625,-12.5625,None,None,16.21992,2.05628,5.20544,0.0,50,92,25,0,56897,6740,14884,0,16.30651341,16.9455040872,17.9739507959,None,11.1999998093,0.10000000149,9.10000038147,None
40.42339889,-86.9076347,77,9820,400,850,400,5145,None,None,1583549753,24.52416,26,-103.125,-14.375,-98.25,-15.1875,-90.75,-13.0,None,None,15.066448,1.526624,7.273936,0.0,50,100,25,0,33308,5076,19772,0,21.867032967,15.9949494949,18.4050901379,None,9.30000019073,7.0,10.6999998093,None
40.42339889,-86.90763468,77,9820,400,850,400,5145,None,None,1583549754,16.42656,27,-102.125,-14.375,-98.625,-14.9375,-91.375,-13.1875,None,None,11.258608,7.139096,5.097736,0.0,50,100,25,0,21634,29456,12570,0,23.9393939394,14.2316227462,20.1309328969,None,10.3999996185,7.40000009537,11.1000003815,None
40.42339889,-86.90763471,77,9820,400,850,400,5145,None,None,1583549755,17.46768,28,-104.5,-14.125,-93.5625,-15.125,-91.875,-11.75,None,None,12.724584,4.113896,2.091736,0.0,50,100,25,0,24351,14100,8219,0,23.1683673469,16.9300847458,14.077540107,None,11.6000003815,5.40000009537,12.1000003815,None
40.42339887,-86.90763472,77,9820,400,850,400,5145,None,None,1583549756,32.552352,29,-100.125,-13.6875,-87.5,-14.125,-84.5,-12.375,None,None,22.133392,8.811376,6.976616,0.0,50,100,25,0,65965,28868,23595,0,17.8331234257,16.528809219,16.1857410882,None,8.69999980927,8.39999961853,14.6999998093,None
40.42339886,-86.90763472,77,9820,400,850,400,5145,None,None,1583549757,20.672016,30,-100.3125,-13.3125,-88.125,-13.5,-85.3125,-12.375,None,None,8.703,3.764424,1.29316,0.0,50,88,25,0,18676,8328,4914,0,21.4425216316,21.9049773756,15.6996587031,None,11.8000001907,7.69999980927,12.5,None
40.42339886,-86.9076347,77,9820,400,850,400,5145,None,None,1583549758,9.011472,31,-100.1875,-14.1875,-90.0625,-13.9375,-86.5,-12.6875,None,None,3.388304,8.00548,1.290936,0.0,47,100,25,0,8257,17244,2533,0,19.7941919192,22.3394255875,25.8862876254,None,11.3999996185,9.0,13.8999996185,None
40.42339894,-86.90763465,77,9820,400,850,400,5145,None,None,1583549759,15.142512,32,-98.375,-12.9375,-89.5625,-13.75,-85.75,-10.25,None,None,6.89696,5.169016,1.368616,0.0,50,84,25,0,11260,11100,2995,0,26.3933884298,21.8903654485,24.5038167939,None,15.1000003815,14.1999998093,15.1999998093,None
40.42339899,-86.90763463,77,9820,400,850,400,5145,None,None,1583549760,9.751824,33,-99.625,-13.625,-90.8125,-14.625,-85.625,-9.125,None,None,5.010616,3.613024,1.816608,0.0,50,80,25,0,10849,9100,3862,0,20.4285714286,18.4971098266,24.6063348416,None,12.8999996185,8.80000019073,11.8999996185,None
40.423,-86.9075,77,9820,400,850,400,5145,None,None,1583549761,7.681152,34,-100.625,-13.6875,-91.125,-13.375,-86.0625,-12.9375,None,None,2.610216,4.72596,1.989784,0.0,50,84,25,0,6574,11204,4914,0,20.0355450237,20.8295081967,20.8006535948,None,11.3999996185,9.30000019073,11.3000001907,None
40.42339898,-86.9076347,77,9820,400,850,400,5145,None,None,1583549762,10.885488,35,-100.9375,-13.75,-87.6875,-14.125,-86.375,-11.625,None,None,4.443816,5.053032,3.006144,0.0,47,92,25,0,10973,12896,11380,0,20.0081871345,19.1639004149,14.5158878505,None,10.1000003815,6.09999990463,10.1000003815,None
40.42339891,-86.90763474,77,9820,400,850,400,5145,None,None,1583549763,7.391952,36,-99.6875,-14.0,-86.25,-14.0625,-88.0,-12.8125,None,None,3.185488,3.174776,1.153408,0.0,50,92,25,0,7469,7384,3480,0,20.6276803119,21.5650224215,17.7282608696,None,8.89999961853,10.8999996185,6.19999980927,None
40.42339883,-86.90763476,77,9820,400,850,400,5145,None,None,1583549764,6.408672,37,-96.875,-14.0,-94.3125,-15.5,-83.0625,-12.5625,None,None,1.483408,2.550752,2.832592,0.0,50,100,25,0,3082,5576,5099,0,23.2222222222,22.4697986577,25.593495935,None,8.19999980927,10.8000001907,13.1999998093,None
40.42339878,-86.90763477,77,9820,400,850,400,5145,None,None,1583549765,8.086032,38,-98.3125,-13.8125,-93.5,-14.6875,-82.6875,-12.4375,None,None,2.14996,5.131672,1.409336,0.0,44,88,25,0,4107,11136,2628,0,23.1373390558,22.3031496063,26.3481481481,None,9.10000038147,7.30000019073,12.8000001907,None
40.42339875,-86.90763478,77,9820,400,850,400,5145,None,None,1583549766,12.886752,39,-97.3125,-13.125,-93.0,-14.5625,-82.1875,-13.6875,None,None,2.990848,4.467752,7.235152,0.0,47,92,25,0,6181,8700,12314,0,21.1506276151,24.0220588235,25.4545454545,None,9.89999961853,10.1000003815,15.3999996185,None
40.42339875,-86.90763476,77,9820,400,850,400,5145,None,None,1583549767,13.557696,40,-95.625,-12.0625,-87.25,-14.625,-83.8125,-12.875,None,None,4.894448,4.152872,6.596952,0.0,50,84,25,0,11065,11076,11520,0,20.9720588235,20.2693110647,24.4404536862,None,14.0,9.5,15.5,None
40.42339873,-86.90763475,77,9820,400,850,400,5145,None,None,1583549768,10.746672,41,-99.1875,-14.0625,-91.875,-13.9375,-85.1875,-12.4375,None,None,3.916448,1.902344,5.346448,0.0,44,76,25,0,7637,5104,10046,0,22.5519230769,19.5952380952,23.6301075269,None,11.6000003815,11.8000001907,12.1000003815,None
40.42339872,-86.90763476,77,9820,400,850,400,5145,None,None,1583549769,12.632256,42,-99.8125,-12.125,-93.0625,-14.4375,-85.8125,-13.5625,None,None,5.986392,6.346704,4.466456,0.0,50,100,25,0,12653,21784,10889,0,22.737012987,16.733974359,19.4914285714,None,13.1999998093,11.3000001907,15.3999996185,None
40.4233987,-86.90763477,77,9820,400,850,400,5145,None,None,1583549770,23.992032,43,-100.6875,-13.75,-92.625,-13.625,-86.125,-10.625,None,None,11.504112,13.128112,3.052976,0.0,50,100,25,0,28837,44456,7890,0,19.6043613707,16.2631578947,21.2065637066,None,11.8999996185,8.80000019073,7.80000019073,None
40.42339893,-86.90763489,77,9820,400,850,400,5145,None,None,1583549771,22.650144,44,-100.0,-14.1875,-92.875,-14.25,-86.1875,-11.5,None,None,9.342984,10.84192,3.176344,0.0,50,100,25,0,26245,36032,7408,0,18.8419047619,16.9467258602,22.6964656965,None,9.89999961853,12.1999998093,10.6000003815,None
40.42339902,-86.90763494,77,9820,400,850,400,5145,None,None,1583549772,29.683488,45,-100.5625,-14.125,-92.5625,-14.625,-86.1875,-13.0,None,None,13.525056,18.359016,1.19452,0.0,50,100,25,0,37980,61820,2952,0,18.887687188,16.5474764756,21.5714285714,None,13.1000003815,13.1999998093,8.19999980927,None
40.42339906,-86.90763497,77,9820,400,850,400,5145,None,None,1583549773,38.313216,46,-100.875,-10.75,-91.625,-15.0,-86.875,-13.5625,None,None,10.262272,30.002448,1.650928,0.0,50,100,25,0,30052,93132,4234,0,18.2710059172,17.8854805726,20.2603305785,None,11.3000001907,12.6000003815,12.3999996185,None
40.42339905,-86.90763497,77,9820,400,850,400,5145,None,None,1583549774,30.296592,47,-100.3125,-12.5625,-91.8125,-14.1875,-86.5,-12.625,None,None,14.98208,14.531528,1.675528,0.0,50,100,25,0,39513,44580,4288,0,19.2836095764,17.6247443763,20.2226890756,None,11.1999998093,12.0,15.3999996185,None
40.42339904,-86.90763497,77,9820,400,850,400,5145,None,None,1583549775,17.745312,48,-101.375,-13.25,-92.5625,-14.75,-85.6875,-12.5625,None,None,10.517336,8.256376,1.999344,0.0,50,100,25,0,34593,22964,4970,0,17.0088652482,18.8828006088,22.1829268293,None,12.6999998093,11.3999996185,8.30000019073,None
40.42339903,-86.907635,77,9820,400,850,400,5145,None,None,1583549776,13.777488,49,-99.625,-14.375,-92.375,-14.4375,-85.625,-12.1875,None,None,8.877472,6.084976,0.23236,0.0,50,100,25,0,22746,17544,563,0,19.6869671133,18.6543574594,22.1363636364,None,12.3999996185,12.1999998093,9.19999980927,None
40.42339903,-86.90763502,77,9820,400,850,400,5145,None,None,1583549777,13.673376,50,-99.5625,-14.0625,-90.5625,-13.8125,-85.5625,-13.625,None,None,10.640216,3.178112,0.75588,0.0,50,96,25,0,29567,9588,1896,0,18.4933008526,18.11898017,22.2592592593,None,12.3000001907,14.6000003815,16.8999996185,None
