grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.428,-86.9165,363,2425,398,850,44,2000,None,None,1583111142,92.205456,3,-92.875,-13.1875,-96.8125,-13.4375,-102.6875,-18.3125,None,None,4.583624,54.013536,58.136864,0.0,25,100,50,0,8990,124844,89742,0,23.633463035,20.5815006468,27.0593265633,None,21.7000007629,10.8000001907,12.1999998093,None
40.428,-86.9165,363,2425,398,850,44,2000,None,None,1583111143,109.22176,4,-93.25,-12.5,-98.625,-13.0625,-105.875,-18.375,None,None,5.85012,60.089008,57.002144,0.0,25,100,50,0,12608,135080,85686,0,22.0936785986,21.4192672999,27.2482230727,None,21.7999992371,11.6999998093,13.0,None
40.428,-86.9165,363,2425,398,850,44,2000,None,None,1583111144,112.29176,5,-94.4375,-13.1875,-96.5625,-13.1875,-100.375,-18.9375,None,None,8.246456,47.118552,48.747,0.0,25,100,50,0,17486,90116,72802,0,22.4551886792,23.266786034,27.2940430925,None,21.2000007629,10.0,17.6000003815,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111145,94.400432,6,-88.0625,-9.375,-96.75,-11.5625,-106.1875,-13.9375,None,None,0.002576,0.072176,0.035184,0.0,6,92,44,0,38,156,44,0,3.46666666667,6.2,31.0,None,11.8000001907,None,None,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111146,48.031552,7,-90.5625,-12.9375,-100.25,-8.375,-103.6875,-18.5625,None,None,3.741536,22.461744,16.73656,0.0,25,100,50,0,12579,55944,33954,0,15.5665467626,20.081803005,22.9229691877,None,10.8000001907,13.1000003815,11.8000001907,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111147,77.482464,8,-90.25,-13.75,-98.0,-13.125,-103.3125,-19.375,None,None,6.511032,52.03252,31.10956,0.0,25,100,50,0,34032,117332,60539,0,10.8310533516,20.987814166,23.5768292683,None,12.5,8.69999980927,8.60000038147,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111148,77.655984,9,-90.8125,-13.8125,-100.3125,-13.0625,-101.375,-17.375,None,None,7.138496,45.358336,35.928016,0.0,25,100,50,0,31364,112920,63989,0,12.915052161,19.6553585197,24.9516509434,None,10.5,14.6000003815,8.89999961853,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111149,84.04152,10,-92.9375,-15.1875,-95.125,-12.8125,-102.1875,-18.0625,None,None,6.141528,49.02048,38.783184,0.0,25,100,50,0,21691,130608,66662,0,15.2099031216,18.6868829337,25.390459364,None,3.5,11.1999998093,12.8999996185,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111150,95.1468,11,-93.75,-15.0,-94.875,-13.875,-102.375,-19.0625,None,None,6.35768,45.72476,39.740912,0.0,25,100,50,0,34349,90632,68662,0,10.9621109608,23.148955495,25.2777777778,None,5.30000019073,9.80000019073,18.6000003815,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111151,70.264032,12,-93.0625,-14.625,-94.125,-13.5625,-101.0625,-17.875,None,None,6.282456,35.783768,37.015512,0.0,25,100,50,0,30360,57136,63751,0,12.0773313116,26.0461725395,25.4342928661,None,8.60000038147,10.1999998093,15.6999998093,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111152,66.990832,13,-93.4375,-15.25,-95.625,-7.875,-102.0625,-19.4375,None,None,4.07428,27.704088,34.74948,0.0,25,100,50,0,19991,42960,58976,0,11.9988649262,26.5145929339,25.7205781142,None,9.80000019073,9.60000038147,15.8000001907,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111153,59.968512,14,-92.25,-16.0625,-95.25,-11.3125,-101.625,-18.625,None,None,3.422368,28.72896,29.539728,0.0,25,100,50,0,15464,51120,47073,0,12.573257468,24.4810344828,26.1271534044,None,-1.29999995232,9.5,13.6999998093,None
40.428,-86.9165,422,5145,398,850,413,1150,None,None,1583111154,65.798784,15,-89.6875,-14.25,-93.125,-12.8125,-102.0,-18.625,None,None,4.266456,39.08396,35.946968,0.0,25,100,50,0,15372,60976,60569,0,14.6427546628,26.3979739508,25.8434610304,None,9.69999980927,11.1999998093,17.1000003815,None
