grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4605,-86.9165,102,2425,244,2000,45,9820,None,None,1583786897,71.263888,5,-86.75,-19.0625,-97.4375,-13.0625,-98.4375,-17.3125,None,None,10.46792,1.51884,31.119544,0.0,25,50,50,0,17108,2350,47466,0,26.3218197136,26.8333333333,27.0590938936,None,22.1000003815,18.2999992371,21.3999996185,None
40.4605,-86.9165,102,2425,244,2000,45,9820,None,None,1583786898,41.09992,6,-88.375,-14.75,-95.0625,-13.25,-96.875,-15.625,None,None,14.287304,6.388424,33.009568,0.0,25,50,50,0,24120,10710,49174,0,25.7526188558,26.2047337278,27.3133018231,None,18.2999992371,17.6000003815,23.7999992371,None
40.4605,-86.9165,102,2425,244,2000,45,9820,None,None,1583786899,51.278928,7,-87.6875,-18.75,-95.25,-12.625,-99.0625,-16.9375,None,None,13.506664,6.870072,36.001808,0.0,25,50,50,0,22817,12968,53766,0,25.6962323391,24.4246575342,27.2716981132,None,21.8999996185,17.7999992371,22.0,None
40.4605,-86.9165,102,2425,244,2000,45,9820,None,None,1583786900,53.181648,8,-88.25,-16.875,-94.9375,-14.125,-100.4375,-17.125,None,None,11.64384,9.532016,34.54288,0.0,25,50,50,0,18696,15480,50508,0,26.5765352887,26.438576349,27.4552631579,None,24.8999996185,17.7000007629,21.5,None
40.4605,-86.9165,102,2425,244,2000,45,9820,None,None,1583786901,55.889744,9,-84.8125,-17.375,-95.0625,-14.4375,-97.5,-17.75,None,None,9.926752,4.633736,29.950864,0.0,25,50,50,0,15918,8179,43699,0,26.6725025747,25.3884462151,27.4104741684,None,21.0,18.6000003815,23.7999992371,None
40.4605,-86.9165,102,2425,244,2000,45,9820,None,None,1583786902,44.149968,10,-85.8125,-18.5,-95.875,-15.8125,-100.0625,-19.0,None,None,10.997992,9.085248,42.186152,0.0,25,50,50,0,17737,15104,60748,0,26.5030146425,26.1059907834,27.6067692308,None,18.8999996185,17.8999996185,22.3999996185,None
40.4605,-86.9165,447,5145,244,2000,170,2175,None,None,1583786903,56.897984,0,-84.625,-17.3125,-90.375,-13.5,-85.6875,-7.0625,None,None,0.578744,0.0,0.0,0.0,23,0,0,0,1186,0,0,0,21.48,None,None,None,13.8000001907,None,None,None
40.4605,-86.9165,447,5145,244,2000,170,2175,None,None,1583786904,24.385344,1,-84.3125,-13.875,-89.5625,-13.0,-88.3125,-11.125,None,None,11.796576,24.586944,20.339136,0.0,23,50,25,0,21254,27630,30814,0,24.3644067797,25.3384321224,26.6371308017,None,11.3000001907,19.2000007629,22.0,None
40.4605,-86.9165,447,5145,244,2000,170,2175,None,None,1583786905,54.296976,2,-84.4375,-19.75,-89.4375,-14.625,-88.0,-14.625,None,None,19.692624,16.715576,29.688976,0.0,23,50,25,0,31879,17779,42180,0,26.0682248895,26.3543165468,27.5498903509,None,16.3999996185,23.0,23.2999992371,None
40.4605,-86.9165,447,5145,244,2000,170,2175,None,None,1583786906,64.179264,3,-84.9375,-17.5,-89.875,-14.9375,-88.75,-14.75,None,None,18.80704,24.282224,28.460552,0.0,23,50,25,0,31642,26226,40815,0,25.6850545221,26.2585170341,27.5337995338,None,15.3000001907,20.5,22.2000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786907,68.274336,4,-100.1875,-16.9375,-89.6875,-13.6875,-84.625,-14.1875,None,None,21.296856,0.099448,6.101104,0.0,50,29,25,0,33926,107,10474,0,25.0866666667,26.8333333333,25.3106796117,None,18.7999992371,None,26.7999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786908,54.068832,5,-100.5625,-17.5,-89.6875,-12.375,-84.5625,-16.9375,None,None,46.153944,0.0,14.381712,0.0,50,0,25,0,65984,0,23451,0,27.6020856202,None,26.2945007236,None,20.2999992371,None,19.7999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786909,57.770592,6,-101.8125,-17.0625,-89.3125,-11.1875,-84.125,-17.9375,None,None,26.194344,0.0,13.336136,0.0,50,0,25,0,39099,0,22175,0,27.2162356322,None,26.0101282917,None,20.7000007629,None,25.7000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786910,37.42248,7,-99.875,-18.4375,-88.75,-11.6875,-83.375,-15.375,None,None,48.061128,0.0,11.810336,0.0,50,0,25,0,68690,0,19184,0,27.5984930032,None,26.3512123439,None,21.3999996185,None,25.2999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786911,58.325856,8,-100.25,-18.6875,-87.6875,-12.0625,-83.0625,-14.1875,None,None,53.77272,0.0,7.036648,0.0,50,0,25,0,75709,0,11421,0,27.6488004084,None,26.5282363162,None,20.3999996185,None,17.6000003815,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786912,59.80656,9,-100.0,-18.625,-87.625,-11.5,-83.375,-16.8125,None,None,54.613,0.0,5.683136,0.0,50,0,25,0,77244,0,9207,0,27.6296493092,None,26.4547657512,None,21.2999992371,None,18.2999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786913,60.280848,10,-99.75,-17.6875,-88.3125,-10.625,-83.5625,-16.75,None,None,49.856624,0.0,7.721624,0.0,50,0,25,0,70352,0,12621,0,27.665751921,None,26.323583181,None,22.3999996185,None,25.8999996185,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786914,54.843888,11,-100.875,-18.9375,-87.5625,-11.5625,-83.25,-14.1875,None,None,44.16552,0.0,4.759168,0.0,50,0,25,0,63127,0,7756,0,27.6305309735,None,26.23723229,None,21.5,None,16.2999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786915,50.702544,12,-99.8125,-17.625,-87.125,-11.875,-83.5625,-16.875,None,None,47.349776,0.0,10.12436,0.0,50,0,25,0,69631,0,16672,0,27.2638453501,None,26.2325949367,None,21.6000003815,None,18.2000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583786916,57.250032,13,-99.75,-17.3125,-87.5625,-11.625,-83.0,-17.6875,None,None,56.255472,0.0,7.669664,0.0,50,0,25,0,78823,0,12565,0,27.7239747634,None,26.2291196388,None,22.0,None,23.2000007629,None
40.46062193,-86.91659347,45,9820,244,2000,102,2425,None,None,1583786917,61.842528,14,-99.875,-18.75,-87.0,-10.8125,-84.3125,-16.5625,None,None,49.203032,0.0,11.708192,0.0,50,0,25,0,70121,0,18988,0,27.5891920252,None,26.3998323554,None,21.7000007629,None,25.2999992371,None
40.46062193,-86.9165935,45,9820,244,2000,102,2425,None,None,1583786918,61.113744,15,-99.4375,-16.75,-87.3125,-11.875,-83.625,-17.625,None,None,55.322176,0.0,12.203352,0.0,50,0,25,0,78091,0,19517,0,27.6386292835,None,26.3415710503,None,19.6000003815,None,16.0,None
40.46062193,-86.91659351,45,9820,244,2000,102,2425,None,None,1583786919,64.95432,16,-99.75,-15.75,-87.6875,-11.4375,-83.4375,-18.25,None,None,53.200952,0.0,14.965152,0.0,50,0,25,0,76127,0,23822,0,27.555613851,None,26.3715992037,None,21.7000007629,None,16.8999996185,None
