grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4605,-86.9165,45,9820,244,2000,447,5145,None,None,1583787668,30.22648,4,-106.4375,-17.8125,-83.875,-13.0625,-87.5625,-19.6875,None,None,32.520608,12.233336,8.362648,0.0,50,50,25,0,57031,21022,16097,0,24.906750174,25.3565737052,23.7814516129,None,16.2999992371,23.5,14.8000001907,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787669,50.086784,5,-94.9375,-14.4375,-83.25,-8.4375,-86.125,-9.4375,None,None,23.450128,9.613632,11.767528,0.0,50,50,25,0,38866,18196,19697,0,25.8195564516,25.0168269231,25.6479190101,None,23.2000007629,21.3999996185,25.7999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787670,56.310992,6,-94.3125,-18.0,-83.75,-10.3125,-87.1875,-18.3125,None,None,28.851176,12.071208,17.691896,0.0,50,50,25,0,46544,20817,28029,0,26.2693389592,24.9780439122,26.5170603675,None,23.5,19.6000003815,15.1000003815,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787671,59.519872,7,-94.75,-15.625,-83.1875,-14.9375,-85.0625,-14.875,None,None,23.880936,25.908952,14.27556,0.0,50,50,25,0,38500,40452,22577,0,26.4211647727,26.427734375,26.5054704595,None,23.1000003815,20.2999992371,26.7999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787672,60.856704,8,-94.1875,-12.9375,-84.6875,-8.5,-86.625,-11.4375,None,None,20.543464,40.077248,15.918208,0.0,50,50,25,0,33140,60980,25329,0,26.0873015873,26.9069935112,26.3585896474,None,22.5,19.7000007629,15.1000003815,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787673,71.104144,9,-94.4375,-16.625,-84.625,-8.625,-87.5,-9.6875,None,None,19.079584,31.441208,15.236464,0.0,50,50,25,0,31070,51835,24240,0,25.7735294118,25.8889837746,26.2674616695,None,22.8999996185,19.0,23.7999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787674,67.327488,10,-94.9375,-17.3125,-83.625,-13.625,-87.3125,-17.1875,None,None,15.906736,25.357584,12.60868,0.0,50,50,25,0,25729,42619,19531,0,26.0261780105,25.5422661871,26.5552608311,None,21.8999996185,19.5,22.5,None
40.46062384,-86.91661934,45,9820,244,2000,102,2425,None,None,1583787675,53.962432,11,-95.0625,-16.375,-84.0,-15.375,-86.875,-16.625,None,None,24.381056,38.57904,13.437392,0.0,50,50,25,0,38622,61859,20880,0,26.5716911765,26.3370273794,26.6664156627,None,21.2999992371,19.2000007629,22.7000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787676,72.861216,12,-94.5625,-18.1875,-83.4375,-15.1875,-85.375,-14.375,None,None,32.2632,38.884376,13.770496,0.0,50,50,25,0,48271,59961,21561,0,26.9831932773,26.7192118227,26.6133979015,None,22.5,20.5,15.5,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787677,77.589872,13,-94.625,-11.375,-83.9375,-9.8125,-87.0,-9.125,None,None,25.417192,33.301464,13.491552,0.0,50,50,25,0,38509,55329,20932,0,26.9136013687,25.8298204528,26.7037337662,None,20.2000007629,21.0,25.5,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787678,71.041648,14,-94.0625,-18.0,-82.9375,-14.25,-86.125,-16.375,None,None,25.97532,24.086856,16.023784,0.0,50,50,25,0,39737,40083,24807,0,26.7073578595,25.5497017893,26.7159565581,None,21.7999992371,21.2000007629,18.2000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787679,65.72512,15,-95.0,-16.9375,-83.5,-16.4375,-86.3125,-15.6875,None,None,24.663416,46.616376,15.092552,0.0,50,50,25,0,36132,69748,23297,0,27.2585774059,27.2396907216,26.6669374492,None,20.7999992371,18.5,19.2000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787680,79.880368,16,-94.4375,-19.0,-84.375,-15.125,-86.3125,-13.25,None,None,19.421616,51.28108,16.388776,0.0,50,50,25,0,29656,75568,25265,0,27.0410958904,27.1959858323,26.7486225895,None,20.7999992371,18.7999992371,23.1000003815,None
40.46062457,-86.91662001,45,9820,244,2000,102,2425,None,None,1583787681,83.451792,17,-95.1875,-16.125,-83.625,-15.25,-85.0625,-18.5625,None,None,12.732496,35.473288,18.603432,0.0,50,50,25,0,18751,59471,28279,0,26.8975206612,25.4961457603,26.7494692144,None,23.0,20.6000003815,19.8999996185,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787682,62.769808,18,-94.75,-18.25,-84.25,-14.875,-86.0,-16.5,None,None,11.004752,38.078144,13.394928,0.0,50,50,25,0,17264,65602,21413,0,26.6962576153,25.2618607517,26.5079006772,None,22.7000007629,19.6000003815,23.5,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787683,57.715056,19,-94.0625,-14.8125,-84.0,-11.0,-84.4375,-16.1875,None,None,19.639896,20.63148,12.851824,0.0,50,50,25,0,29680,34635,19992,0,26.7190226876,25.34870317,26.8051502146,None,21.7999992371,19.6000003815,23.5,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787684,53.6148,20,-93.5,-18.1875,-82.125,-13.0625,-84.8125,-15.9375,None,None,32.152888,15.97568,11.635232,0.0,50,50,25,0,48038,29362,18198,0,26.8697444353,24.233201581,26.8084507042,None,22.8999996185,22.2999992371,20.6000003815,None
40.46062446,-86.91662019,45,9820,244,2000,102,2425,None,None,1583787685,60.518928,21,-94.4375,-15.6875,-82.875,-13.5625,-84.4375,-14.9375,None,None,30.584248,27.246352,16.80336,0.0,50,50,25,0,46971,43221,25955,0,27.0524899058,26.6057553957,26.8883782009,None,18.2000007629,21.8999996185,14.3000001907,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787686,63.148704,22,-96.5625,-18.75,-83.625,-13.8125,-85.1875,-15.125,None,None,10.72828,14.519568,7.692072,0.0,50,50,25,0,16930,22892,12017,0,26.529245283,26.7745709828,26.8196347032,None,17.5,19.1000003815,17.0,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787687,33.128928,23,-94.75,-17.6875,-83.4375,-14.4375,-83.9375,-18.1875,None,None,44.640008,8.93324,11.874736,0.0,50,50,25,0,67945,15036,18899,0,27.0764139591,25.5357474466,26.7334423549,None,19.3999996185,22.7999992371,13.6000003815,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787688,61.312672,24,-93.4375,-18.9375,-86.4375,-13.25,-82.25,-17.0625,None,None,41.109976,14.849184,14.610784,0.0,50,50,25,0,60341,30714,24597,0,27.0235131397,23.4767054908,25.6508313539,None,21.2000007629,20.8999996185,14.8000001907,None
40.46062468,-86.91662042,45,9820,244,2000,102,2425,None,None,1583787689,69.5492,25,-97.0625,-18.0,-86.4375,-14.0,-85.9375,-15.6875,None,None,39.686128,16.578168,13.464888,0.0,50,50,25,0,58996,28951,22318,0,27.0890688259,25.4435897436,25.7139344262,None,21.0,19.7000007629,26.7000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787690,64.735888,26,-97.1875,-18.375,-86.125,-14.125,-86.4375,-16.25,None,None,37.232856,8.553552,18.411072,0.0,50,50,25,0,56447,15412,29128,0,26.9093769666,25.2293488824,26.2678686413,None,21.0,18.7000007629,26.2000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787691,65.582896,27,-95.0,-18.4375,-85.875,-12.9375,-86.3125,-18.5,None,None,48.498896,6.84436,20.66956,0.0,50,50,25,0,72131,12251,31493,0,27.1829616924,24.9376979937,26.8988350705,None,23.1000003815,22.8999996185,24.2000007629,None
40.46062476,-86.91662035,45,9820,244,2000,102,2425,None,None,1583787692,70.727856,28,-93.0625,-18.4375,-85.6875,-13.75,-86.625,-17.0,None,None,45.240232,7.581352,14.698152,0.0,50,50,25,0,67654,13507,24166,0,27.1198501873,25.1657848325,25.7365398421,None,24.0,16.5,13.1000003815,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787693,58.616704,29,-91.625,-17.5625,-84.8125,-14.375,-85.6875,-17.5625,None,None,39.327112,12.526368,16.555792,0.0,50,50,25,0,58802,23263,27406,0,27.0807204803,24.4881305638,25.7617379117,None,23.5,19.1000003815,19.2000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787694,68.224288,30,-92.4375,-16.375,-86.25,-14.875,-85.4375,-15.875,None,None,40.078408,13.890192,17.790096,0.0,50,50,25,0,58440,28086,27018,0,27.1889338731,22.5952693824,26.8611918605,None,24.0,15.3000001907,12.6999998093,None
40.46062477,-86.91662032,45,9820,244,2000,102,2425,None,None,1583787695,62.10872,31,-92.375,-17.0,-86.6875,-14.1875,-86.625,-15.875,None,None,30.810304,11.587272,17.449472,0.0,50,50,25,0,46278,25183,27867,0,26.9801277502,21.231496063,26.3747412008,None,22.2000007629,14.3000001907,18.7999992371,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787696,63.198224,32,-91.0625,-18.375,-83.9375,-14.0,-85.875,-15.1875,None,None,33.019128,13.42092,16.382712,0.0,50,50,25,0,50238,29522,25250,0,27.0358126722,21.156641604,26.7867395762,None,20.7999992371,18.2000007629,24.8999996185,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787697,57.698144,33,-92.0625,-17.8125,-84.875,-12.8125,-85.8125,-17.875,None,None,39.231032,17.62968,18.272456,0.0,50,50,25,0,59680,35183,27755,0,27.0950570342,22.8811619718,26.9454660748,None,20.2999992371,19.1000003815,20.3999996185,None
40.46062474,-86.91662028,45,9820,244,2000,102,2425,None,None,1583787698,64.487632,34,-92.25,-14.375,-83.3125,-12.875,-86.8125,-13.375,None,None,30.942912,9.880288,16.701504,0.0,50,50,25,0,48264,19515,25523,0,26.7708333333,23.2590027701,26.9581928523,None,22.7000007629,20.1000003815,17.1000003815,None
40.46062475,-86.91662026,45,9820,244,2000,102,2425,None,None,1583787699,51.476976,35,-92.1875,-17.1875,-85.875,-13.0,-85.875,-17.6875,None,None,22.169376,3.059864,13.38312,0.0,50,50,25,0,34019,5771,20544,0,26.9608626198,24.1491002571,26.9311678268,None,21.6000003815,17.2999992371,22.7999992371,None
40.46062475,-86.91662026,45,9820,244,2000,102,2425,None,None,1583787700,49.157296,36,-94.1875,-18.9375,-85.125,-12.8125,-85.3125,-12.375,None,None,40.251528,24.737224,14.632816,0.0,50,50,25,0,60120,48899,22534,0,27.168323393,23.4405737705,26.6748768473,None,20.3999996185,17.5,14.0,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787701,73.233792,37,-94.125,-17.0625,-85.25,-14.0625,-84.4375,-17.0,None,None,21.043976,18.738312,7.93504,0.0,50,50,25,0,32621,36138,13698,0,26.8136399683,23.8724100327,25.3516483516,None,22.5,19.0,23.7000007629,None
40.4605,-86.9165,45,9820,244,2000,102,2425,None,None,1583787702,31.948544,38,-92.625,-18.625,-85.4375,-14.125,-85.375,-16.875,None,None,17.423592,9.930776,11.405584,0.0,50,50,25,0,26759,19308,18585,0,27.0409836066,23.676975945,26.1865509761,None,21.3999996185,18.1000003815,21.3999996185,None
