grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4535,-86.924,103,2425,175,850,483,2000,None,None,1583611655,44.264704,3,-75.0,-19.125,-84.625,-13.9375,-86.125,-13.8125,None,None,6.678208,16.626224,22.76484,0.0,25,100,50,0,16252,25532,44559,0,20.1703877791,23.3803131991,24.0601640839,None,9.89999961853,18.7999992371,24.8999996185,None
40.4535,-86.924,103,2425,175,850,483,2000,None,None,1583611656,44.560416,4,-78.75,-18.9375,-82.0,-12.625,-85.5,-8.8125,None,None,6.116648,20.221848,17.036496,0.0,25,100,50,0,15454,30920,29772,0,19.70625,22.1023166023,25.5138888889,None,8.89999961853,16.8999996185,26.0,None
40.45361051,-86.92409575,103,2425,175,850,483,2000,None,None,1583611657,41.671456,5,-78.8125,-18.875,-82.375,-13.0,-84.5625,-14.6875,None,None,3.247928,11.567976,21.660304,0.0,25,100,50,0,7667,17632,41459,0,20.4793577982,22.1367781155,24.4942418426,None,10.5,16.0,18.2000007629,None
40.4535,-86.924,493,5145,175,850,None,None,None,None,1583611658,32.447856,0,-79.125,-15.625,-81.1875,-12.625,None,None,None,None,8.717704,28.655456,0.0,0.0,23,100,0,0,19819,63296,0,0,21.1114583333,19.927027027,None,None,5.40000009537,13.6999998093,None,None
40.4535,-86.924,493,5145,175,850,None,None,None,None,1583611659,28.983312,1,-76.75,-16.9375,-79.75,-14.0,None,None,None,None,12.27468,28.059864,0.0,0.0,23,100,0,0,28127,69584,0,0,21.2545061283,19.798146241,None,None,12.1000003815,17.3999996185,None,None
40.4535,-86.924,493,5145,175,850,None,None,None,None,1583611660,39.246848,2,-74.625,-18.625,-80.9375,-13.8125,None,None,None,None,6.414888,12.53352,0.0,0.0,23,100,0,0,15664,32412,0,0,20.592364532,20.7137614679,None,None,17.5,14.1999998093,None,None
40.45360629,-86.92409474,493,5145,175,850,None,None,None,None,1583611661,19.906336,3,-73.0625,-14.0625,-80.6875,-13.375,None,None,None,None,4.110952,1.292552,0.0,0.0,23,100,0,0,10311,4100,0,0,20.7472677596,21.2878787879,None,None,11.5,15.8000001907,None,None
40.4535,-86.924,493,5145,175,850,None,None,None,None,1583611662,5.137056,4,-79.3125,-20.25,-80.125,-14.8125,None,None,None,None,9.305024,6.88844,0.0,0.0,23,100,0,0,24922,20364,0,0,19.5449056604,19.5029069767,None,None,8.39999961853,13.6000003815,None,None
40.4535,-86.924,493,5145,175,850,None,None,None,None,1583611663,13.797264,5,-78.1875,-18.4375,-80.4375,-13.75,None,None,None,None,8.342728,12.551424,0.0,0.0,23,100,0,0,23206,42208,0,0,18.6541811847,18.0539291217,None,None,9.5,15.6999998093,None,None
40.4535,-86.924,493,5145,175,850,None,None,None,None,1583611664,16.403424,6,-78.6875,-18.8125,-80.75,-13.125,None,None,None,None,12.625032,8.919056,0.0,0.0,23,100,0,0,30404,27188,0,0,20.7886666667,17.8246753247,None,None,9.69999980927,13.3999996185,None,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611665,19.688736,7,-102.6875,-13.3125,-80.375,-12.8125,-77.1875,-13.5,None,None,5.429224,8.034144,1.57304,0.0,50,100,23,0,13396,18944,4049,0,18.5982905983,21.785467128,19.5884955752,None,12.5,11.6999998093,16.8999996185,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611666,17.977216,8,-102.9375,-13.9375,-80.6875,-13.0625,-77.875,-14.5625,None,None,14.559064,17.050768,4.989528,0.0,50,100,23,0,31814,48720,11576,0,21.2277456647,19.9164588529,20.9442815249,None,12.3999996185,17.7999992371,16.3999996185,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611667,31.793616,9,-102.25,-17.5625,-80.4375,-11.125,-73.25,-18.3125,None,None,29.703936,2.941472,6.327832,0.0,50,100,23,0,66725,7228,13901,0,21.4171817058,20.8028169014,21.8128724672,None,10.3000001907,14.6999998093,10.3999996185,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611668,36.32352,10,-102.875,-18.0625,-81.9375,-13.0,-76.3125,-18.1875,None,None,34.860248,0.937784,11.819168,0.0,50,100,23,0,85536,2768,27979,0,20.6958934517,17.8813559322,20.8422190202,None,12.6000003815,12.1000003815,14.1000003815,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611669,42.350448,11,-102.25,-18.1875,-81.25,-13.4375,-78.1875,-19.3125,None,None,32.92716,0.734728,10.03652,0.0,50,100,23,0,72487,2184,23656,0,22.0230855856,17.5769230769,20.9163934426,None,12.5,16.1000003815,8.10000038147,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611670,41.968704,12,-102.5625,-19.125,-82.375,-14.5,-74.9375,-18.75,None,None,30.077064,2.174928,10.196656,0.0,50,100,23,0,67270,5880,20756,0,21.7648484848,20.127388535,22.8354545455,None,11.3000001907,17.3999996185,12.8000001907,None
40.45359534,-86.92407411,46,9820,175,850,493,5145,None,None,1583611671,38.040128,13,-102.8125,-17.6875,-82.625,-16.4375,-78.1875,-18.8125,None,None,23.86484,3.764192,13.114232,0.0,50,100,23,0,64191,11192,29815,0,19.3762441938,18.6711711712,21.2101300479,None,7.69999980927,15.8999996185,19.0,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611672,36.412688,14,-104.1875,-13.0,-82.875,-9.0,-78.8125,-14.0625,None,None,27.442168,4.958688,18.655512,0.0,50,100,23,0,67920,13892,32590,0,20.5430174564,18.6640926641,24.8847133758,None,11.1999998093,13.3000001907,15.8000001907,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611673,46.42112,15,-102.625,-13.4375,-82.25,-14.3125,-77.625,-14.625,None,None,25.483384,10.822768,15.459864,0.0,50,100,23,0,64112,32108,26999,0,20.2213997308,18.7221135029,24.8587443946,None,13.3000001907,18.7000007629,17.3999996185,None
40.4535,-86.924,46,9820,175,850,493,5145,None,None,1583611674,45.47256,16,-100.25,-18.75,-80.0625,-13.875,-73.25,-17.75,None,None,27.717736,8.708416,11.58032,0.0,50,100,23,0,56708,21788,22531,0,22.2853046595,20.7094972067,23.0092204526,None,13.1999998093,15.5,17.2999992371,None
