grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.918,493,5145,175,850,None,None,None,None,1583629539,10.714944,4,-91.125,-19.9375,-96.9375,-17.4375,None,None,None,None,3.405104,13.648152,0.0,0.0,23,100,0,0,11801,69936,0,0,15.82996633,13.3219814241,None,None,-1.39999997616,4.80000019073,None,None
40.4531331,-86.91811085,493,5145,175,850,None,None,None,None,1583629540,12.89832,5,-90.625,-20.8125,-95.875,-14.5,None,None,None,None,2.264688,10.938616,0.0,0.0,23,100,0,0,8409,86992,0,0,14.5119047619,12.4781054513,None,None,-2.20000004768,-1.60000002384,None,None
40.45313311,-86.9181109,493,5145,175,850,None,None,None,None,1583629541,11.74152,6,-91.8125,-20.5,-94.3125,-15.5625,None,None,None,None,5.548224,16.348736,0.0,0.0,23,100,0,0,17016,56004,0,0,17.5049019608,15.2549019608,None,None,-4.59999990463,1.89999997616,None,None
40.45313307,-86.91811097,493,5145,175,850,None,None,None,None,1583629542,18.578208,7,-92.125,-19.875,-94.625,-16.3125,None,None,None,None,6.021568,20.216176,0.0,0.0,23,100,0,0,27538,56348,0,0,12.8269680436,17.1284153005,None,None,-1.60000002384,-0.899999976158,None,None
40.45313301,-86.91811063,493,5145,175,850,None,None,None,None,1583629543,24.882768,8,-93.125,-19.625,-94.125,-18.8125,None,None,None,None,4.697264,15.0124,0.0,0.0,23,100,0,0,13466,45952,0,0,18.446875,17.9966101695,None,None,-3.70000004768,-0.20000000298,None,None
40.45313299,-86.91811037,493,5145,175,850,None,None,None,None,1583629544,16.4844,9,-93.3125,-16.9375,-93.1875,-14.0,None,None,None,None,2.17248,17.30888,0.0,0.0,23,100,0,0,8547,46652,0,0,15.0851581509,20.7395104895,None,None,-2.29999995232,-0.699999988079,None,None
40.45313292,-86.91811012,493,5145,175,850,None,None,None,None,1583629545,18.092352,10,-93.3125,-16.5625,-93.4375,-17.75,None,None,None,None,2.6044,13.288168,0.0,0.0,23,100,0,0,11252,38284,0,0,13.8881118881,20.1234042553,None,None,0.300000011921,0.300000011921,None,None
40.45313235,-86.91810885,493,5145,175,850,None,None,None,None,1583629546,13.430448,11,-92.8125,-19.4375,-94.6875,-18.1875,None,None,None,None,1.572272,13.928648,0.0,0.0,23,100,0,0,5812,38976,0,0,15.0316455696,21.1791590494,None,None,-2.0,0.5,None,None
40.45313261,-86.91810763,427,66661,None,None,None,None,None,None,1583629547,12.875184,12,-95.5,-19.1875,None,None,None,None,None,None,6.101096,0.259544,0.0,0.0,25,100,0,0,15895,888,0,0,20.4570596798,19.1666666667,None,None,-3.79999995232,None,None,None
40.45313248,-86.91810667,427,66661,None,None,None,None,None,None,1583629548,9.300672,13,-95.875,-18.3125,None,None,None,None,None,None,9.775072,0.0,0.0,0.0,25,0,0,0,37977,0,0,0,15.0499383477,None,None,None,-1.89999997616,None,None,None
40.453,-86.918,175,850,103,2425,483,2000,None,None,1583629549,8.375232,14,-96.9375,-15.6875,-97.0625,-19.6875,-96.75,-17.375,None,None,17.92332,0.894256,5.314288,0.0,100,25,50,0,63444,6044,17716,0,16.2326732673,8.32042253521,16.0221130221,None,3.70000004768,-4.40000009537,-3.40000009537,None
40.45313246,-86.9181051,175,850,103,2425,483,2000,None,None,1583629550,27.648064,15,-95.5625,-14.375,-97.5625,-13.625,-98.4375,-14.4375,None,None,28.18524,4.238096,5.67052,0.0,100,25,50,0,91356,19876,16196,0,16.6556016598,12.8532901834,18.0367647059,None,2.70000004768,8.5,1.5,None
40.45313283,-86.91810452,175,850,103,2425,483,2000,None,None,1583629551,32.471376,16,-94.4375,-17.4375,-96.875,-19.875,-96.75,-16.0,None,None,25.12904,8.753008,2.905344,0.0,100,25,50,0,83820,27040,7817,0,16.5549295775,17.5537590946,18.9633027523,None,0.899999976158,6.09999990463,6.80000019073,None
40.45313288,-86.9181043,175,850,103,2425,483,2000,None,None,1583629552,30.59736,17,-94.9375,-14.8125,-98.5625,-19.875,-95.625,-15.0625,None,None,14.475768,2.310408,2.212656,0.0,100,25,50,0,39904,13242,7196,0,18.6666666667,11.0611916264,16.9526315789,None,2.09999990463,3.59999990463,-0.800000011921,None
40.453,-86.918,175,850,103,2425,483,2000,None,None,1583629553,16.461264,18,-94.4375,-16.875,-97.1875,-19.6875,-95.25,-19.0625,None,None,7.554968,6.159664,2.340168,0.0,100,25,50,0,25292,27753,6632,0,15.9927007299,13.9775641026,18.2994350282,None,-0.899999976158,4.5,0.0,None
40.45313265,-86.91810439,175,850,103,2425,483,2000,None,None,1583629554,11.498592,19,-96.9375,-17.1875,-98.4375,-19.6875,-96.25,-18.375,None,None,14.781848,5.207352,1.544864,0.0,100,25,50,0,55316,24801,6271,0,14.9150066401,12.6854625551,13.7612903226,None,-0.5,6.80000019073,11.0,None
40.453,-86.918,175,850,103,2425,483,2000,None,None,1583629555,23.36736,20,-95.3125,-15.75,-97.25,-22.4375,-96.375,-13.6875,None,None,21.166064,3.09268,4.682256,0.0,100,25,50,0,75868,22792,16963,0,15.6434262948,8.36842105263,15.1011764706,None,-0.600000023842,-7.59999990463,2.0,None
40.45313252,-86.91810456,175,850,103,2425,483,2000,None,None,1583629556,25.368624,21,-96.1875,-18.8125,-97.125,-18.5625,-96.1875,-19.6875,None,None,15.62376,3.532688,4.986176,0.0,100,25,50,0,53244,14064,16905,0,16.5762237762,14.2693997072,15.9275362319,None,3.40000009537,-5.30000019073,-2.90000009537,None
40.45313251,-86.91810459,175,850,103,2425,483,2000,None,None,1583629557,20.741424,22,-94.125,-13.4375,-99.0,-21.125,-96.1875,-18.0625,None,None,18.603312,2.193856,4.031224,0.0,100,25,50,0,55904,10738,14691,0,17.8050490884,11.8201581028,15.119047619,None,1.0,-7.69999980927,-0.899999976158,None
40.45313249,-86.91810461,175,850,103,2425,483,2000,None,None,1583629558,22.638576,23,-95.125,-15.625,-97.875,-20.3125,-95.625,-19.6875,None,None,16.944016,2.08896,4.03048,0.0,100,25,50,0,58848,11441,16449,0,15.9388020833,10.7093235832,14.004950495,None,3.20000004768,-6.5,-1.29999995232,None
40.45313249,-86.91810463,175,850,103,2425,483,2000,None,None,1583629559,21.655296,24,-95.0,-17.6875,-98.1875,-22.375,-94.5625,-16.875,None,None,25.523464,0.883632,3.18716,0.0,100,25,50,0,80560,7580,13606,0,16.9945054945,7.25671641791,13.0968660969,None,-1.60000002384,-5.59999990463,-2.59999990463,None
40.45313248,-86.91810464,175,850,103,2425,483,2000,None,None,1583629560,24.443184,25,-95.4375,-16.8125,-97.75,-22.25,-95.8125,-18.9375,None,None,13.248944,0.905128,5.5548,0.0,100,25,50,0,41576,6825,19483,0,17.8502415459,8.61094224924,15.6843220339,None,-1.10000002384,-7.5,-4.30000019073,None
40.45313248,-86.91810464,175,850,103,2425,483,2000,None,None,1583629561,18.080784,26,-94.3125,-16.625,-99.3125,-20.3125,-94.4375,-20.0,None,None,19.700744,0.2888,1.244616,0.0,100,25,50,0,52532,2426,5133,0,19.2341597796,7.23853211009,13.5510204082,None,0.0,0.40000000596,-4.09999990463,None
40.45313247,-86.91810464,175,850,103,2425,483,2000,None,None,1583629562,20.405952,27,-93.875,-14.9375,-98.0,-22.1875,-95.5625,-15.625,None,None,13.905928,0.445376,2.14816,0.0,100,25,50,0,44334,3609,7765,0,17.1786216596,7.64935064935,14.7594339623,None,1.5,-4.90000009537,-2.09999990463,None
40.45313247,-86.91810463,175,850,103,2425,483,2000,None,None,1583629563,13.974144,28,-95.0,-17.0625,-98.0625,-22.0625,-93.9375,-16.0,None,None,21.386888,0.530232,1.285504,0.0,100,25,50,0,63420,3475,4676,0,18.2310160428,9.09146341463,15.2296296296,None,0.600000023842,-5.19999980927,-3.20000004768,None
40.45313246,-86.91810461,175,850,103,2425,483,2000,None,None,1583629564,22.881504,29,-95.5625,-17.3125,-97.625,-22.8125,-96.3125,-20.0,None,None,27.843856,0.896816,4.058888,0.0,100,25,50,0,83896,6761,14828,0,17.8888888889,7.73462783172,14.8860103627,None,-1.39999997616,-8.30000019073,-2.0,None
40.45313246,-86.91810458,175,850,103,2425,483,2000,None,None,1583629566,29.637216,31,-94.5625,-15.75,-97.375,-21.1875,-95.125,-18.875,None,None,10.292496,2.187488,5.031208,0.0,100,25,50,0,30756,15167,18488,0,17.8111380145,8.81037037037,14.7592190889,None,2.0,-5.40000009537,-3.40000009537,None
40.45313247,-86.91810457,175,850,103,2425,483,2000,None,None,1583629567,27.404592,32,-93.9375,-15.0625,-97.5,-18.5,-95.9375,-16.4375,None,None,9.478792,1.551464,3.773184,0.0,100,25,50,0,26408,11009,15341,0,18.3966005666,8.63346613546,14.1052631579,None,2.59999990463,-0.699999988079,-1.20000004768,None
40.45313246,-86.91810457,175,850,103,2425,483,2000,None,None,1583629568,17.259456,33,-94.3125,-15.125,-97.6875,-20.6875,-96.75,-18.25,None,None,7.21056,0.907272,7.88092,0.0,100,25,50,0,20408,6724,26964,0,17.8586206897,7.83441558442,16.0079239303,None,0.40000000596,0.0,-4.59999990463,None
40.45313246,-86.91810456,175,850,103,2425,483,2000,None,None,1583629569,12.481872,34,-92.625,-18.75,-96.3125,-22.625,-94.8125,-16.8125,None,None,19.618584,1.470272,9.169536,0.0,100,25,50,0,62196,9302,32229,0,17.1129807692,8.80046948357,15.2418478261,None,-3.40000009537,-9.69999980927,-0.10000000149,None
40.45313246,-86.91810456,175,850,103,2425,483,2000,None,None,1583629570,16.449696,35,-92.8125,-15.5,-96.5625,-23.6875,-95.9375,-19.375,None,None,17.866392,2.065656,11.687976,0.0,100,25,50,0,60880,14215,35048,0,15.8708860759,8.34693877551,17.43125,None,-0.20000000298,-5.90000009537,-3.20000004768,None
40.45313246,-86.91810457,175,850,103,2425,483,2000,None,None,1583629571,28.0524,36,-94.6875,-17.1875,-96.6875,-22.375,-95.875,-18.4375,None,None,5.629232,3.082456,12.99716,0.0,100,25,50,0,17960,17990,33561,0,16.3931623932,10.0207792208,19.5873850197,None,-3.59999990463,-2.40000009537,5.09999990463,None
40.45313242,-86.91810464,175,850,103,2425,483,2000,None,None,1583629572,26.791488,37,-94.0625,-18.0,-99.375,-23.25,-96.5625,-19.75,None,None,7.816104,3.63552,13.09468,0.0,100,25,50,0,30620,18499,35843,0,14.401055409,11.4872773537,18.6469104666,None,-3.70000004768,-4.80000019073,1.10000002384,None
40.4531324,-86.91810467,175,850,103,2425,483,2000,None,None,1583629573,20.12832,38,-94.125,-19.4375,-96.4375,-22.0,-96.875,-16.3125,None,None,9.345056,3.165568,6.839648,0.0,100,25,50,0,35744,14079,21185,0,14.730952381,12.7370184255,17.0757281553,None,-5.5,-1.20000004768,3.5,None
40.45313241,-86.91810468,175,850,103,2425,483,2000,None,None,1583629574,22.187424,39,-93.75,-19.0,-96.1875,-21.5,-96.25,-17.3125,None,None,12.213648,2.510512,7.913312,0.0,100,25,50,0,41124,10677,22795,0,16.0349075975,13.6844444444,18.1537001898,None,-5.0,-3.90000009537,-0.899999976158,None
40.4531324,-86.91810468,175,850,103,2425,483,2000,None,None,1583629575,16.31088,40,-93.8125,-17.0625,-96.1875,-19.625,-96.3125,-16.875,None,None,10.534544,1.914288,6.7014,0.0,100,25,50,0,35056,8598,18218,0,16.5458823529,12.3250688705,19.0781609195,None,-5.19999980927,-3.29999995232,-1.5,None
40.45313239,-86.91810467,175,850,103,2425,483,2000,None,None,1583629576,19.60776,41,-94.3125,-18.0625,-97.4375,-21.0625,-96.375,-16.9375,None,None,6.709032,1.19712,7.032672,0.0,100,25,50,0,23100,6697,18815,0,15.74,10.479020979,19.5597345133,None,-0.300000011921,-5.30000019073,-0.800000011921,None
40.45313238,-86.91810467,175,850,103,2425,483,2000,None,None,1583629577,16.970256,42,-94.25,-17.875,-96.8125,-18.6875,-97.375,-19.4375,None,None,9.569336,2.539008,7.877848,0.0,100,25,50,0,38056,10855,22010,0,14.5193965517,13.1212765957,18.5632411067,None,-5.0,-0.600000023842,0.0,None
40.45313238,-86.91810466,175,850,103,2425,483,2000,None,None,1583629578,12.181104,43,-94.375,-17.6875,-96.8125,-21.125,-97.375,-18.0,None,None,8.335344,0.990576,10.569488,0.0,100,25,50,0,34460,4581,27358,0,13.6463963964,12.527027027,19.9130434783,None,-3.59999990463,-3.90000009537,0.5,None
40.45313238,-86.91810465,175,850,103,2425,483,2000,None,None,1583629579,19.480512,44,-94.0,-16.5625,-96.5625,-19.5,-96.375,-18.125,None,None,17.255336,1.874688,7.938352,0.0,100,25,50,0,72808,7910,21833,0,13.7426636569,13.7142857143,18.8159509202,None,-0.899999976158,1.0,6.30000019073,None
40.45313239,-86.91810463,175,850,103,2425,483,2000,None,None,1583629580,18.427824,45,-91.125,-17.6875,-96.0625,-18.0,-95.5625,-17.75,None,None,13.051632,1.745184,10.859544,0.0,100,25,50,0,48964,7609,27513,0,14.8045977011,12.6519337017,20.1383333333,None,-2.40000009537,0.899999976158,-3.79999995232,None
40.45313239,-86.91810461,175,850,103,2425,483,2000,None,None,1583629581,27.288912,46,-94.0,-14.3125,-97.8125,-18.0625,-96.375,-17.4375,None,None,10.129304,2.377568,9.204072,0.0,100,25,50,0,34164,14602,26446,0,15.7879518072,9.8992481203,18.6138933764,None,1.89999997616,-2.70000004768,-3.70000004768,None
40.45313239,-86.91810461,175,850,103,2425,483,2000,None,None,1583629582,18.242736,47,-94.8125,-15.5,-97.125,-19.3125,-95.3125,-16.6875,None,None,5.74088,3.240784,5.884168,0.0,100,25,50,0,18604,12563,18982,0,16.568,14.1761744966,16.9532908705,None,1.5,0.300000011921,0.300000011921,None
40.45313241,-86.9181046,175,850,103,2425,483,2000,None,None,1583629583,19.908528,48,-94.4375,-15.25,-96.875,-22.0625,-96.625,-14.1875,None,None,3.058664,2.437392,7.332456,0.0,100,25,50,0,9676,14207,29350,0,17.2638888889,9.91993957704,14.3294117647,None,0.10000000149,-6.30000019073,1.10000002384,None
40.45313242,-86.9181046,175,850,103,2425,483,2000,None,None,1583629584,11.961312,49,-94.3125,-16.3125,-97.75,-22.75,-96.625,-15.5625,None,None,2.946864,2.057552,4.90664,0.0,100,25,50,0,7860,14204,19178,0,19.3775510204,9.23393739703,14.3475609756,None,-2.0,-5.59999990463,-2.09999990463,None
40.45313242,-86.91810459,175,850,103,2425,483,2000,None,None,1583629585,12.250512,50,-94.5,-14.9375,-97.5625,-21.125,-95.1875,-16.8125,None,None,1.740296,1.05672,5.018264,0.0,100,25,50,0,5004,9055,21040,0,17.3134328358,7.00255754476,13.8700787402,None,0.899999976158,-7.90000009537,-0.20000000298,None
40.45313241,-86.91810457,175,850,103,2425,483,2000,None,None,1583629586,7.669584,51,-97.0625,-17.0,-96.125,-20.0625,-96.5625,-17.4375,None,None,2.768136,0.755232,8.063704,0.0,100,25,50,0,9404,6174,26452,0,15.3306451613,7.28464419476,17.1121495327,None,-0.899999976158,-6.19999980927,-0.20000000298,None
40.4531324,-86.91810457,175,850,103,2425,483,2000,None,None,1583629587,7.542336,52,-98.0,-17.5,-95.9375,-21.25,-97.9375,-19.0625,None,None,10.280512,1.34488,5.688864,0.0,100,25,50,0,45276,9674,21408,0,12.9952830189,8.24307036247,14.7396449704,None,-1.5,-5.90000009537,-2.5,None
40.4531324,-86.91810457,175,850,103,2425,483,2000,None,None,1583629588,12.597552,53,-94.75,-16.3125,-96.1875,-19.875,-96.875,-17.75,None,None,12.17204,2.624784,11.769248,0.0,100,25,50,0,48084,16451,39754,0,14.2147937411,9.01406469761,15.9051094891,None,-1.10000002384,-7.5,-1.10000002384,None
40.4531324,-86.91810457,175,850,103,2425,483,2000,None,None,1583629589,18.474096,54,-95.0,-18.3125,-97.75,-21.375,-96.1875,-16.25,None,None,22.210968,1.973296,6.141512,0.0,100,25,50,0,84944,12487,27911,0,14.7545541707,9.34982332155,12.0374639769,None,-3.09999990463,-4.19999980927,0.300000011921,None
40.4531324,-86.91810458,175,850,103,2425,483,2000,None,None,1583629590,24.52416,55,-94.75,-15.8125,-96.8125,-20.3125,-96.875,-16.5625,None,None,27.722024,1.767448,7.96968,0.0,100,25,50,0,101348,10435,26703,0,15.4257679181,9.62083333333,15.7168674699,None,-2.29999995232,-6.59999990463,-1.39999997616,None
40.45313241,-86.91810459,175,850,103,2425,483,2000,None,None,1583629591,31.488096,56,-94.75,-16.8125,-97.0,-19.5625,-96.875,-17.0,None,None,24.806352,1.844056,9.114056,0.0,100,25,50,0,99076,12354,26092,0,14.4646128226,8.76292335116,17.9071537291,None,-0.899999976158,-6.80000019073,2.09999990463,None
40.45313242,-86.91810459,175,850,103,2425,483,2000,None,None,1583629592,32.610192,57,-94.9375,-15.9375,-96.4375,-20.75,-97.25,-16.625,None,None,24.133696,2.543456,9.876512,0.0,100,25,50,0,75499,16901,27770,0,17.043956044,8.70860927152,17.968115942,None,-0.5,-2.29999995232,0.10000000149,None
