grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453291,-86.9182783,483,66486,None,None,None,None,None,None,1583627798,10.840528,4,-100.5625,-17.3125,None,None,None,None,None,None,19.931368,0.0,0.0,0.0,50,0,0,0,49023,0,0,0,20.8992994746,None,None,None,8.60000038147,None,None,None
40.45313771,-86.91809433,175,850,103,2425,483,2000,None,None,1583627799,21.435504,5,-96.8125,-16.0,-96.1875,-19.5625,-97.1875,-18.8125,None,None,22.43248,3.058248,10.260304,0.0,100,25,50,0,90918,8600,30665,0,14.2697628458,18.0815217391,17.7723076923,None,4.80000019073,-6.5,5.69999980927,None
40.45313854,-86.91809491,175,850,103,2425,483,2000,None,None,1583627800,14.274912,6,-95.3125,-17.5,-94.5625,-21.4375,-96.875,-17.4375,None,None,32.334824,5.475472,11.334112,0.0,100,25,50,0,117444,16837,31005,0,15.4701653487,17.0727513228,18.3442408377,None,-0.800000011921,-1.70000004768,8.0,None
40.45313951,-86.91809481,175,850,103,2425,483,2000,None,None,1583627801,51.119536,7,-94.375,-17.5625,-90.25,-20.5,-90.75,-17.8125,None,None,30.740936,2.107768,13.018912,0.0,100,25,50,0,96360,9903,39536,0,17.1561954625,11.7822014052,17.3302277433,None,-2.40000009537,3.5,12.8999996185,None
40.45314001,-86.91809451,175,850,103,2425,483,2000,None,None,1583627802,44.791296,8,-94.1875,-14.5625,-90.4375,-21.125,-90.5,-17.4375,None,None,23.367192,1.74888,13.941464,0.0,100,25,50,0,62348,7166,45193,0,18.8220551378,13.5804597701,16.1818988465,None,5.90000009537,-8.30000019073,6.69999980927,None
40.45313974,-86.91809407,175,850,103,2425,483,2000,None,None,1583627803,38.301648,9,-90.5,-18.3125,-90.4375,-19.75,-88.75,-19.875,None,None,15.805776,2.467544,12.412728,0.0,100,25,50,0,48824,10176,36873,0,16.6248085758,13.1748400853,17.4811625404,None,0.699999988079,-5.59999990463,-5.19999980927,None
40.45313997,-86.9180941,175,850,103,2425,483,2000,None,None,1583627804,28.434144,10,-92.0625,-18.8125,-90.1875,-23.75,-90.25,-15.1875,None,None,11.596296,0.240456,10.149968,0.0,100,25,50,0,42896,2219,27047,0,14.975308642,6.16981132075,19.5478645066,None,-2.40000009537,-3.40000009537,0.300000011921,None
40.45313986,-86.91809401,175,850,103,2425,483,2000,None,None,1583627805,21.701568,11,-91.0,-18.3125,-91.625,-22.625,-89.9375,-16.9375,None,None,26.332088,0.214304,8.008472,0.0,100,25,50,0,71388,4105,31480,0,18.7651006711,2.48108108108,13.5590851334,None,-1.70000004768,-8.80000019073,5.0,None
40.45313948,-86.91809414,175,850,103,2425,483,2000,None,None,1583627806,28.434144,12,-86.0,-14.5625,-93.25,-20.0625,-88.0625,-15.625,None,None,24.571008,0.0,8.181168,0.0,100,0,50,0,67348,0,30287,0,19.1451219512,None,14.8474576271,None,9.69999980927,None,10.5,None
40.45313835,-86.91809394,175,850,103,2425,483,2000,None,None,1583627807,29.521536,13,-84.9375,-16.6875,-92.1875,-19.3125,-93.5625,-16.3125,None,None,23.00072,0.0,11.970464,0.0,100,0,50,0,82552,0,37323,0,15.2961538462,None,16.6241457859,None,6.09999990463,None,16.2999992371,None
