grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,27,5145,393,850,None,None,None,None,1583467341,5.94656,3,-89.375,-12.9375,-98.6875,-13.875,None,None,None,None,1.79892,12.406848,0.0,0.0,23,100,0,0,3141,46108,0,0,23.103626943,14.9747292419,None,None,8.39999961853,-0.699999988079,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467342,15.711536,4,-90.0,-13.3125,-95.75,-14.5625,None,None,None,None,1.802304,7.576064,0.0,0.0,23,100,0,0,3466,26400,0,0,23.2284644195,15.8946428571,None,None,7.0,0.899999976158,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467343,8.930496,5,-89.9375,-10.75,-94.375,-14.1875,None,None,None,None,2.368864,9.633152,0.0,0.0,23,100,0,0,5008,27852,0,0,22.0698412698,17.4642857143,None,None,8.39999961853,0.300000011921,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467344,11.97288,6,-88.9375,-10.5,-96.5,-16.5,None,None,None,None,2.680624,11.136456,0.0,0.0,23,100,0,0,4978,28756,0,0,23.7956989247,19.6625310174,None,None,18.7999992371,-2.40000009537,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467345,10.029456,7,-88.1875,-13.8125,-91.6875,-14.9375,None,None,None,None,0.552136,7.190752,0.0,0.0,23,100,0,0,1076,24732,0,0,23.3484848485,16.5482954545,None,None,6.0,2.59999990463,None,None
40.45621024,-86.94797011,27,5145,393,850,None,None,None,None,1583467346,9.31224,8,-86.25,-14.3125,-89.875,-13.9375,None,None,None,None,2.957384,11.001608,0.0,0.0,23,100,0,0,5664,35656,0,0,23.5705521472,16.5898876404,None,None,12.6000003815,-1.39999997616,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467347,10.214544,9,-86.75,-14.3125,-91.4375,-13.9375,None,None,None,None,2.724408,2.675744,0.0,0.0,23,100,0,0,5309,8836,0,0,23.7081850534,18.4,None,None,7.80000019073,-1.0,None,None
40.45621061,-86.94797015,27,5145,393,850,None,None,None,None,1583467348,3.944688,10,-87.5,-14.1875,-93.3125,-11.4375,None,None,None,None,0.89024,5.553968,0.0,0.0,23,100,0,0,1666,18096,0,0,24.0,16.5863453815,None,None,14.3000001907,2.29999995232,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467349,6.258288,11,-87.1875,-11.4375,-92.875,-14.6875,None,None,None,None,0.523664,5.385864,0.0,0.0,23,100,0,0,1003,14032,0,0,23.6153846154,20.4754901961,None,None,4.09999990463,0.20000000298,None,None
40.45621125,-86.94797025,27,5145,393,850,None,None,None,None,1583467350,6.24672,12,-87.5,-13.9375,-92.4375,-14.4375,None,None,None,None,0.863048,5.887304,0.0,0.0,23,100,0,0,1645,15612,0,0,23.3596491228,18.3904761905,None,None,5.19999980927,1.39999997616,None,None
40.45621136,-86.94797025,27,5145,393,850,None,None,None,None,1583467351,6.686304,13,-87.3125,-13.4375,-93.0625,-15.8125,None,None,None,None,1.002888,6.712664,0.0,0.0,23,100,0,0,1742,14344,0,0,24.575,20.9116719243,None,None,7.80000019073,-0.5,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467352,7.253136,14,-88.375,-14.1875,-92.3125,-14.375,None,None,None,None,0.80084,8.525872,0.0,0.0,23,100,0,0,1344,18920,0,0,25.6082474227,20.9575596817,None,None,13.8000001907,5.80000019073,None,None
40.45621159,-86.94797015,27,5145,393,850,None,None,None,None,1583467353,9.381648,15,-86.625,-12.125,-90.9375,-14.5,None,None,None,None,0.765592,10.823768,0.0,0.0,23,100,0,0,1284,21276,0,0,25.7882352941,23.2105263158,None,None,8.5,5.0,None,None
40.45621163,-86.94797013,27,5145,393,850,None,None,None,None,1583467354,10.434336,16,-85.3125,-8.9375,-93.3125,-13.6875,None,None,None,None,3.954368,9.585096,0.0,0.0,23,100,0,0,8875,21300,0,0,21.28515625,21.7244318182,None,None,8.69999980927,3.20000004768,None,None
40.45621162,-86.94797014,27,5145,393,850,None,None,None,None,1583467355,9.647712,17,-87.875,-13.25,-92.625,-16.375,None,None,None,None,1.448688,6.755688,0.0,0.0,23,100,0,0,2670,15792,0,0,24.0,20.1095890411,None,None,9.89999961853,0.800000011921,None,None
40.45621163,-86.94797014,27,5145,393,850,None,None,None,None,1583467356,9.682416,18,-87.5,-14.25,-91.25,-16.6875,None,None,None,None,1.407984,10.895928,0.0,0.0,23,100,0,0,2563,25060,0,0,23.75,19.5248868778,None,None,6.69999980927,2.90000009537,None,None
40.45621163,-86.94797013,27,5145,393,850,None,None,None,None,1583467357,12.817344,19,-85.6875,-12.9375,-86.9375,-13.625,None,None,None,None,2.211096,12.971824,0.0,0.0,23,100,0,0,4029,28044,0,0,24.1158798283,21.2424242424,None,None,7.59999990463,8.0,None,None
40.45621163,-86.94797013,27,5145,393,850,None,None,None,None,1583467358,13.24536,20,-86.75,-13.3125,-94.0,-15.125,None,None,None,None,0.96856,11.663032,0.0,0.0,23,100,0,0,2289,30744,0,0,20.5714285714,18.5795206972,None,None,1.60000002384,-2.59999990463,None,None
40.45621163,-86.94797013,27,5145,393,850,None,None,None,None,1583467359,8.583456,21,-80.3125,-12.4375,-84.375,-12.75,None,None,None,None,0.58424,8.533648,0.0,0.0,23,100,0,0,2321,27976,0,0,14.0555555556,14.9709543568,None,None,6.09999990463,6.90000009537,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467360,9.185536,22,-82.0625,-12.1875,-90.9375,-17.8125,None,None,None,None,2.298128,9.467328,0.0,0.0,23,100,0,0,4215,24212,0,0,23.9477911647,19.4346666667,None,None,15.1000003815,-2.09999990463,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467361,7.137456,23,-81.0625,-12.6875,-94.625,-15.75,None,None,None,None,2.23032,6.285544,0.0,0.0,23,100,0,0,3965,26460,0,0,24.3114035088,14.5516304348,None,None,4.80000019073,0.899999976158,None,None
40.45621121,-86.94797019,27,5145,393,850,None,None,None,None,1583467362,8.409936,24,-83.75,-13.0625,-95.0625,-18.125,None,None,None,None,1.261152,7.206232,0.0,0.0,23,100,0,0,2570,25300,0,0,22.2658227848,15.4423529412,None,None,4.30000019073,-7.0,None,None
40.456,-86.9475,27,5145,393,850,None,None,None,None,1583467363,7.206864,25,-81.875,-12.8125,-91.125,-16.3125,None,None,None,None,3.863072,7.501008,0.0,0.0,23,100,0,0,9892,34992,0,0,19.7404426559,12.3557692308,None,None,0.800000011921,-3.90000009537,None,None
40.4562112,-86.94797019,27,5145,393,850,None,None,None,None,1583467364,11.001712,26,-82.5625,-13.875,-90.125,-17.0,None,None,None,None,2.509888,10.359976,0.0,0.0,23,100,0,0,6769,49272,0,0,18.4296875,12.6853785901,None,None,1.10000002384,-3.79999995232,None,None
40.4562112,-86.94797019,27,5145,393,850,None,None,None,None,1583467365,12.273648,27,-84.25,-13.875,-91.5625,-17.75,None,None,None,None,3.272544,8.241248,0.0,0.0,23,100,0,0,7618,37764,0,0,20.7874186551,12.6091370558,None,None,-0.5,-3.59999990463,None,None
40.4562112,-86.94797019,27,5145,393,850,None,None,None,None,1583467366,7.11432,28,-82.1875,-11.125,-89.8125,-13.8125,None,None,None,None,2.265552,4.1794,0.0,0.0,23,100,0,0,4693,14192,0,0,22.2105263158,14.5618374558,None,None,21.2000007629,-1.20000004768,None,None
40.45621121,-86.94797019,27,5145,393,850,None,None,None,None,1583467367,6.929232,29,-86.8125,-12.3125,-91.4375,-12.9375,None,None,None,None,2.641432,6.244016,0.0,0.0,23,100,0,0,5721,29280,0,0,21.4816901408,12.5173745174,None,None,2.5,-0.300000011921,None,None
40.45621121,-86.94797019,27,5145,393,850,None,None,None,None,1583467368,6.894528,30,-86.25,-13.5,-96.5,-17.5625,None,None,None,None,2.219392,4.911344,0.0,0.0,23,100,0,0,4921,29400,0,0,21.5163398693,11.9147121535,None,None,7.09999990463,-3.70000004768,None,None
40.4562112,-86.94797019,27,5145,393,850,None,None,None,None,1583467369,5.888112,31,-87.75,-12.5,-92.6875,-20.625,None,None,None,None,2.145776,3.241008,0.0,0.0,23,100,0,0,6647,15892,0,0,17.6134020619,11.815498155,None,None,3.20000004768,-6.09999990463,None,None
40.45621121,-86.94797019,27,5145,393,850,None,None,None,None,1583467370,4.881696,32,-92.375,-10.3125,-92.375,-17.5,None,None,None,None,0.583008,5.475584,0.0,0.0,23,100,0,0,1382,20664,0,0,21.0561797753,14.4406332454,None,None,9.5,-2.40000009537,None,None
40.4562112,-86.94797019,27,5145,393,850,None,None,None,None,1583467371,5.760864,33,-95.9375,-14.375,-89.4375,-16.125,None,None,None,None,0.35092,4.727896,0.0,0.0,23,100,0,0,1125,11944,0,0,16.6265060241,17.8361774744,None,None,1.10000002384,-4.40000009537,None,None
40.4562112,-86.9479702,27,5145,393,850,None,None,None,None,1583467372,5.622048,34,-98.6875,-14.5,-89.25,-15.875,None,None,None,None,0.808528,7.899776,0.0,0.0,23,100,0,0,3821,20420,0,0,12.0392156863,18.3579545455,None,None,0.40000000596,-1.10000002384,None,None
40.45621119,-86.94797021,27,5145,393,850,None,None,None,None,1583467374,6.24672,36,-97.6875,-11.75,-89.875,-14.9375,None,None,None,None,1.299256,5.74712,0.0,0.0,23,100,0,0,4216,18252,0,0,16.6355140187,16.3027295285,None,None,15.8999996185,0.699999988079,None,None
40.4562112,-86.94797021,27,5145,393,850,None,None,None,None,1583467375,5.66832,37,-97.625,-13.0,-89.4375,-16.5,None,None,None,None,2.095168,8.775616,0.0,0.0,23,100,0,0,4288,24216,0,0,22.3111111111,17.3813131313,None,None,5.5,-1.5,None,None
40.45621119,-86.94797021,27,5145,393,850,None,None,None,None,1583467376,7.472928,38,-97.8125,-10.5,-89.625,-15.375,None,None,None,None,2.419784,9.309872,0.0,0.0,23,100,0,0,5057,26700,0,0,22.3244147157,17.6586956522,None,None,7.59999990463,-0.10000000149,None,None
40.45621118,-86.94797021,27,5145,393,850,None,None,None,None,1583467377,11.568,39,-98.1875,-12.75,-89.8125,-16.75,None,None,None,None,3.701744,5.830176,0.0,0.0,23,100,0,0,9184,17740,0,0,19.1367041199,16.5830508475,None,None,8.69999980927,-1.60000002384,None,None
