grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.46923307,-86.91413648,102,2425,207,850,None,None,None,None,1583781649,8.996352,4,-97.0,-14.0625,-113.9375,-16.3125,None,None,None,None,7.913624,8.199256,0.0,0.0,25,100,0,0,17950,45796,0,0,21.3822525597,12.3368298368,None,None,16.0,3.0,None,None
40.469,-86.914,102,2425,207,850,None,None,None,None,1583781650,7.934272,5,-112.0,-17.6875,-117.875,-16.25,None,None,None,None,4.262008,5.790776,0.0,0.0,25,100,0,0,11389,29828,0,0,19.8912830558,14.4390602056,None,None,6.5,0.20000000298,None,None
40.46923298,-86.91413637,102,2425,207,850,None,None,None,None,1583781651,14.365264,6,-106.3125,-14.0625,-117.0625,-16.1875,None,None,None,None,5.733168,6.2524,0.0,0.0,25,100,0,0,16361,35292,0,0,18.5394112061,12.5218476904,None,None,13.1000003815,-0.5,None,None
40.46923297,-86.91413636,102,2425,207,850,None,None,None,None,1583781652,9.346944,7,-106.9375,-16.9375,-115.625,-16.75,None,None,None,None,10.097032,9.43968,0.0,0.0,25,100,0,0,28561,47992,0,0,18.8097222222,12.9514661274,None,None,13.3999996185,0.899999976158,None,None
40.46923296,-86.91413636,102,2425,207,850,None,None,None,None,1583781653,15.084672,8,-107.8125,-17.8125,-116.3125,-15.125,None,None,None,None,12.260368,4.362472,0.0,0.0,25,100,0,0,34357,19696,0,0,19.1858932103,14.2249134948,None,None,11.8999996185,1.20000004768,None,None
40.46923296,-86.91413637,102,2425,207,850,None,None,None,None,1583781654,16.553808,9,-106.75,-18.25,-116.625,-15.0,None,None,None,None,8.207064,1.807032,0.0,0.0,25,100,0,0,23176,9300,0,0,19.4674085851,13.0319148936,None,None,11.1999998093,0.600000023842,None,None
40.46923295,-86.91413638,102,2425,207,850,None,None,None,None,1583781655,14.425296,10,-107.625,-18.5625,-116.1875,-16.5625,None,None,None,None,9.175968,2.163832,0.0,0.0,25,100,0,0,25095,12516,0,0,19.264,11.2607526882,None,None,10.1999998093,-0.10000000149,None,None
40.46923294,-86.9141364,102,2425,207,850,None,None,None,None,1583781656,7.241568,11,-106.1875,-17.25,-117.8125,-15.9375,None,None,None,None,7.036104,2.028608,0.0,0.0,25,100,0,0,17542,11844,0,0,20.7051909892,12.2757660167,None,None,8.30000019073,2.0,None,None
40.46923293,-86.91413642,102,2425,207,850,None,None,None,None,1583781657,11.197824,12,-107.4375,-15.375,-119.8125,-16.5,None,None,None,None,4.744992,2.571704,0.0,0.0,25,100,0,0,9077,17404,0,0,24.1283880171,11.2898230088,None,None,9.10000038147,-0.5,None,None
40.46923292,-86.91413641,102,2425,207,850,None,None,None,None,1583781658,6.038496,13,-108.0,-16.9375,-117.75,-15.625,None,None,None,None,5.613768,2.76252,0.0,0.0,25,100,0,0,10282,17960,0,0,24.7146814404,11.7893518519,None,None,11.3000001907,1.5,None,None
40.46923292,-86.91413643,102,2425,207,850,None,None,None,None,1583781659,6.223584,14,-108.125,-19.375,-116.0625,-16.0625,None,None,None,None,8.030288,2.449336,0.0,0.0,25,100,0,0,18997,15700,0,0,21.0874769797,12.1690427699,None,None,11.1000003815,2.0,None,None
40.4692329,-86.91413644,102,2425,207,850,None,None,None,None,1583781660,8.317392,15,-108.4375,-16.25,-117.625,-18.375,None,None,None,None,7.23908,3.085672,0.0,0.0,25,100,0,0,20479,19412,0,0,18.9035836177,10.781779661,None,None,8.80000019073,-0.40000000596,None,None
40.4692329,-86.91413644,102,2425,207,850,None,None,None,None,1583781661,10.58472,16,-108.625,-17.625,-116.9375,-16.6875,None,None,None,None,5.641296,3.3592,0.0,0.0,25,100,0,0,13973,20868,0,0,20.8826979472,11.3179297597,None,None,11.1000003815,0.600000023842,None,None
40.46923289,-86.91413644,102,2425,207,850,None,None,None,None,1583781662,9.161856,17,-108.8125,-14.5,-114.9375,-15.375,None,None,None,None,4.11424,1.582288,0.0,0.0,25,100,0,0,11908,8752,0,0,17.699592668,11.4805825243,None,None,8.0,2.0,None,None
40.46923323,-86.91413654,102,2425,207,850,None,None,None,None,1583781663,7.183728,18,-108.75,-18.125,-114.4375,-16.4375,None,None,None,None,3.857328,2.966224,0.0,0.0,25,100,0,0,11028,15824,0,0,18.8971871969,12.6029776675,None,None,8.89999961853,2.09999990463,None,None
