grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4695033,-86.9143126,447,5145,244,2000,170,2175,None,None,1583785499,10.701024,4,-100.8125,-9.75,-117.125,-19.125,-115.6875,-20.125,None,None,6.209288,1.785128,3.980392,0.0,23,50,25,0,22749,9029,20942,0,14.9042298484,12.237012987,11.5300429185,None,9.5,-3.40000009537,-0.300000011921,None
40.469,-86.914,447,5145,244,2000,170,2175,None,None,1583785500,11.082144,5,-103.5,-17.875,-117.25,-19.9375,-119.125,-20.1875,None,None,4.691064,0.009936,3.24128,0.0,23,50,25,0,11194,50,16480,0,20.643625192,12.0,11.8586810229,None,7.0,-7.40000009537,-3.20000004768,None
40.46921209,-86.91414787,447,5145,None,None,170,2175,None,None,1583785501,7.368816,6,-102.5625,-18.125,None,None,-114.0,-15.3125,None,None,5.201192,0.0,2.67612,0.0,23,0,25,0,12193,0,20157,0,20.8820960699,None,8.93156732892,None,5.30000019073,None,-3.5,None
40.46921201,-86.91414784,447,5145,None,None,170,2175,None,None,1583785502,7.472928,7,-102.3125,-17.9375,None,None,-117.4375,-19.0625,None,None,4.56888,0.0,4.297984,0.0,23,0,25,0,11721,0,17405,0,19.5432835821,None,13.9672346003,None,6.09999990463,None,-0.10000000149,None
40.4692119,-86.91414778,447,5145,None,None,170,2175,None,None,1583785503,8.50248,8,-99.6875,-18.25,None,None,-119.0,-21.0625,None,None,5.247936,0.0,4.621008,0.0,23,0,25,0,8953,0,18879,0,25.1911314985,None,13.874715262,None,7.90000009537,None,-3.09999990463,None
40.46921176,-86.91414794,447,5145,None,None,170,2175,None,None,1583785504,8.884224,9,-98.5625,-19.5,None,None,-118.1875,-18.4375,None,None,4.826848,0.0,3.671112,0.0,23,0,25,0,8057,0,16213,0,25.5602605863,None,13.2639068564,None,8.30000019073,None,-3.29999995232,None
40.46921166,-86.9141478,222,66486,None,None,None,None,None,None,1583785505,8.051328,10,-106.1875,-15.5625,None,None,None,None,None,None,3.900096,0.0,0.018016,0.0,50,0,25,0,13076,0,59,0,16.2105263158,None,16.3333333333,None,9.19999980927,None,None,None
40.469,-86.914,222,66486,None,None,None,None,None,None,1583785506,9.116128,11,-105.25,-15.4375,None,None,None,None,None,None,8.648856,0.0,0.0,0.0,50,0,0,0,29107,0,0,0,17.7721280603,None,None,None,10.3999996185,None,None,None
40.469,-86.914,222,66486,None,None,None,None,None,None,1583785507,7.646448,12,-106.25,-14.125,None,None,None,None,None,None,6.98748,0.0,0.0,0.0,50,0,0,0,23611,0,0,0,17.7527839644,None,None,None,5.19999980927,None,None,None
40.46921113,-86.91414734,222,66486,None,None,None,None,None,None,1583785508,6.107904,13,-105.5,-12.8125,None,None,None,None,None,None,3.48768,0.0,0.0,0.0,50,0,0,0,11457,0,0,0,17.9449838188,None,None,None,8.60000038147,None,None,None
40.46921104,-86.91414727,222,66486,None,None,None,None,None,None,1583785509,3.29688,14,-104.8125,-14.8125,None,None,None,None,None,None,3.232688,0.0,0.0,0.0,50,0,0,0,10773,0,0,0,17.8476027397,None,None,None,7.40000009537,None,None,None
40.46921097,-86.91414718,222,66486,None,None,None,None,None,None,1583785510,3.158608,15,-106.4375,-13.1875,None,None,None,None,None,None,2.053024,0.0,0.0,0.0,50,0,0,0,7068,0,0,0,17.5112359551,None,None,None,6.19999980927,None,None,None
40.469,-86.914,222,66486,None,None,None,None,None,None,1583785511,1.584816,16,-104.8125,-14.9375,None,None,None,None,None,None,4.098656,0.0,0.0,0.0,50,0,0,0,15253,0,0,0,16.552715655,None,None,None,5.19999980927,None,None,None
40.4692109,-86.91414708,222,66486,None,None,None,None,None,None,1583785512,3.667056,17,-104.5,-14.6875,None,None,None,None,None,None,2.102696,0.0,0.0,0.0,47,0,0,0,7271,0,0,0,17.6633466135,None,None,None,8.80000019073,None,None,None
40.46921091,-86.91414702,222,66486,None,None,None,None,None,None,1583785513,1.885584,18,-105.0,-12.4375,None,None,None,None,None,None,1.416472,0.0,0.0,0.0,44,0,0,0,3478,0,0,0,21.4564315353,None,None,None,8.10000038147,None,None,None
