grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889631,18.055104,1,-88.875,-10.25,-78.875,-11.4375,-88.0625,-10.25,None,None,162.90884,207.311072,56.930152,0.0,47,25,25,0,381491,305798,184277,0,13.9935159764,21.0308724832,10.0958271483,None,14.5,19.6000003815,16.6000003815,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889635,24.239488,5,-88.625,-10.625,-79.0625,-11.125,-88.0625,-10.125,None,None,8.764912,12.784488,5.5788,0.0,35,25,25,0,20494,22566,15850,0,13.9967845659,17.8788088643,11.5182094082,None,16.2000007629,22.7999992371,13.3000001907,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889640,38.741248,10,-89.625,-11.125,-79.75,-10.75,-89.875,-9.8125,None,None,21.788216,18.042368,5.23128,0.0,47,25,19,0,47344,36150,14892,0,14.8677918425,15.9959404601,11.4505169867,None,16.2000007629,20.2999992371,14.1000003815,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889641,40.546688,11,-90.125,-9.75,-80.3125,-9.25,-90.1875,-9.0,None,None,10.768664,8.977128,6.031008,0.0,41,25,21,0,23020,17328,16280,0,15.1541786744,16.5272988506,12.1187766714,None,16.2999992371,21.7000007629,13.6999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889642,23.831808,12,-90.1875,-9.625,-80.125,-11.4375,-90.0625,-9.4375,None,None,23.96428,16.381096,10.073168,0.0,47,25,25,0,48094,28314,26524,0,15.853559322,18.3986206897,12.5469187675,None,16.2999992371,22.7000007629,13.3999996185,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889643,44.739968,13,-90.125,-9.4375,-80.25,-10.3125,-90.125,-10.0,None,None,19.882984,13.237888,9.005376,0.0,47,25,25,0,42244,24830,24518,0,15.082201087,17.1104252401,12.2211267606,None,15.6000003815,20.6000003815,13.6000003815,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889644,38.345216,14,-89.8125,-10.1875,-79.75,-12.3125,-89.5625,-7.8125,None,None,14.313904,10.305728,6.260096,0.0,41,25,25,0,29564,18728,16592,0,15.5546448087,17.5299145299,12.4491899853,None,16.2000007629,20.5,14.1999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889645,28.001792,15,-90.5,-10.5,-80.3125,-11.0,-89.5,-8.875,None,None,15.860168,13.868224,9.255936,0.0,44,25,25,0,31916,27324,25676,0,15.9330935252,16.2376681614,11.9836552749,None,16.7999992371,18.6000003815,14.5,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889648,42.247296,18,-89.5,-9.3125,-80.125,-5.375,-89.8125,-6.25,None,None,20.559808,19.542544,11.351864,0.0,47,25,25,0,44788,34602,31062,0,14.8355167394,17.9707880435,12.0839416058,None,15.3000001907,20.8999996185,12.6999998093,None
40.4535,-86.924,247,2250,373,5035,418,976,None,None,1583889651,43.295616,21,-89.75,-9.5625,-80.0,-10.3125,-89.625,-9.0625,None,None,18.770248,18.489448,8.155304,0.0,47,25,25,0,41260,31866,23540,0,14.7557354926,18.3619047619,11.5192604006,None,16.0,21.1000003815,13.5,None
