grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967099,15.398656,7,-79.75,-9.375,-86.0,-11.625,None,None,None,None,17.097888,20.940008,0.0,0.0,25,25,0,0,29755,30256,0,0,18.029739777,21.402822322,None,None,13.6999998093,22.1000003815,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967100,30.34304,8,-90.75,-9.6875,-85.125,-11.75,None,None,None,None,15.41832,25.25916,0.0,0.0,23,23,0,0,29587,36898,0,0,16.4275901546,21.2447129909,None,None,10.6999998093,22.8999996185,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967110,45.299072,18,-87.75,-10.25,-85.75,-11.3125,None,None,None,None,15.468608,34.164408,0.0,0.0,23,25,0,0,34018,47124,0,0,14.6185682327,22.4483640082,None,None,11.0,19.5,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967111,45.60192,19,-86.5,-9.75,-85.8125,-11.625,None,None,None,None,24.818712,31.078136,0.0,0.0,25,25,0,0,44686,46378,0,0,17.540874036,20.9316996872,None,None,17.0,17.3999996185,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967113,47.932224,21,-86.4375,-9.9375,-85.9375,-11.5625,None,None,None,None,23.936376,26.375048,0.0,0.0,25,25,0,0,46634,42140,0,0,16.4259448417,19.6017561983,None,None,9.0,16.1000003815,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967117,40.022528,25,-85.75,-10.0625,-86.3125,-11.75,None,None,None,None,20.474032,34.258384,0.0,0.0,25,25,0,0,39668,47812,0,0,16.5575657895,22.237854251,None,None,13.6000003815,19.7999992371,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967130,38.08896,38,-84.8125,-9.6875,-85.3125,-11.875,None,None,None,None,17.3012,20.227392,0.0,0.0,23,23,0,0,31650,33002,0,0,17.2731092437,19.2010428737,None,None,9.89999961853,22.1000003815,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967147,39.102336,55,-87.0625,-10.0625,-85.0625,-11.5,None,None,None,None,22.211144,28.92968,0.0,0.0,25,25,0,0,45924,44902,0,0,15.5364004044,20.2560209424,None,None,8.80000019073,22.3999996185,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967149,47.721856,57,-86.25,-9.875,-82.75,-11.875,None,None,None,None,24.940584,34.388696,0.0,0.0,25,25,0,0,46960,47472,0,0,16.9448938322,22.471659919,None,None,13.5,21.7000007629,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967154,49.96992,62,-85.25,-9.5625,-85.5,-11.6875,None,None,None,None,29.24428,26.588632,0.0,0.0,25,25,0,0,46664,47490,0,0,19.8090631365,17.7548321465,None,None,15.1999998093,16.2999992371,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967155,50.191232,63,-83.0625,-9.875,-86.375,-12.1875,None,None,None,None,24.177904,26.641712,0.0,0.0,25,25,0,0,46058,47128,0,0,16.7132579651,17.8904320988,None,None,12.1999998093,19.2000007629,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967156,47.325824,64,-81.875,-9.5,-82.25,-11.9375,None,None,None,None,18.900568,26.997872,0.0,0.0,25,25,0,0,36908,47244,0,0,16.8800823469,18.120951417,None,None,19.2000007629,23.7000007629,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967157,42.401856,65,-80.6875,-9.5625,-83.0625,-11.75,None,None,None,None,21.87116,28.986576,0.0,0.0,25,25,0,0,35806,46872,0,0,19.3663926002,19.5478615071,None,None,17.6000003815,17.5,None,None
40.453,-86.916,418,976,373,5035,None,None,None,None,1583967158,43.896704,66,-79.8125,-9.5,-84.0,-12.125,None,None,None,None,23.421872,29.983704,0.0,0.0,25,25,0,0,44274,46670,0,0,16.7940251572,20.1956521739,None,None,21.2000007629,18.2000007629,None,None
