grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.916,379,66736,None,None,None,None,None,None,1583968335,10.857408,5,-84.6875,-15.625,None,None,None,None,None,None,22.415096,0.0,0.0,0.0,50,0,0,0,53259,0,0,0,13.564290473,None,None,None,2.5,None,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968336,20.32576,6,-87.5625,-15.875,-95.5625,-18.6875,None,None,None,None,18.87996,3.465936,0.0,0.0,50,25,0,0,49077,19518,0,0,12.5121275121,5.4035639413,None,None,8.69999980927,2.09999990463,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968337,19.358976,7,-90.9375,-18.8125,-101.0625,-16.9375,None,None,None,None,24.562296,2.049576,0.0,0.0,50,25,0,0,49688,18938,0,0,15.7083870968,2.99836065574,None,None,9.89999961853,7.59999990463,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968338,24.763648,8,-92.375,-15.125,-95.8125,-17.625,None,None,None,None,25.075376,3.754264,0.0,0.0,50,25,0,0,47735,23181,0,0,16.7177107502,4.73834196891,None,None,2.5,6.90000009537,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968339,25.893504,9,-91.125,-17.4375,-94.625,-18.5625,None,None,None,None,22.240464,2.406272,0.0,0.0,50,25,0,0,36042,21796,0,0,19.3261316872,3.21165048544,None,None,6.19999980927,-1.89999997616,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968340,22.142848,10,-91.8125,-18.4375,-94.4375,-20.0625,None,None,None,None,23.43136,2.810176,0.0,0.0,50,25,0,0,37159,16264,0,0,19.7178217822,5.10115606936,None,None,6.5,-2.29999995232,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968341,24.076416,11,-92.25,-17.6875,-94.625,-20.625,None,None,None,None,21.267728,2.20836,0.0,0.0,50,25,0,0,35624,13837,0,0,18.7017364658,4.77454153182,None,None,4.90000009537,-2.79999995232,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968342,21.071232,12,-91.9375,-18.9375,-95.0,-16.1875,None,None,None,None,20.087024,2.87836,0.0,0.0,50,23,0,0,33910,15161,0,0,18.6421923475,6.2726488352,None,None,7.30000019073,0.300000011921,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968343,20.057856,13,-92.4375,-20.1875,-98.25,-17.6875,None,None,None,None,12.694296,2.765168,0.0,0.0,44,19,0,0,20261,13789,0,0,19.7713097713,6.10120311394,None,None,3.59999990463,2.79999995232,None,None
40.453,-86.916,379,66736,494,976,None,None,None,None,1583968344,13.965952,14,-91.8125,-16.5625,-96.5625,-17.3125,None,None,None,None,11.550592,2.4926,0.0,0.0,50,21,0,0,18707,14696,0,0,19.5620111732,5.1390070922,None,None,8.39999961853,4.69999980927,None,None
