grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143119,18.22912,5,-98.5625,-15.0625,-91.5625,-10.25,None,None,None,None,14.648648,2.318032,0.0,0.0,38,19,0,0,30726,5636,0,0,15.4046610169,13.3544668588,None,None,6.90000009537,12.3999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143120,13.698048,6,-99.0625,-15.375,-92.625,-10.25,None,None,None,None,10.834264,4.34304,0.0,0.0,36,23,0,0,24532,10120,0,0,14.3783958603,13.9747826087,None,None,11.1999998093,10.8000001907,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143121,14.070784,7,-98.9375,-13.3125,-92.6875,-10.5625,None,None,None,None,8.375544,7.10744,0.0,0.0,35,16,0,0,19380,15628,0,0,14.0764705882,14.6149364407,None,None,12.3000001907,9.89999961853,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143122,15.119104,8,-98.75,-14.0625,-92.8125,-10.3125,None,None,None,None,13.404168,7.619088,0.0,0.0,44,21,0,0,30546,16632,0,0,14.2927631579,14.7591324201,None,None,9.69999980927,12.6000003815,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143123,23.843456,9,-98.375,-14.375,-93.5,-10.5625,None,None,None,None,15.631536,9.080936,0.0,0.0,38,25,0,0,36056,19426,0,0,14.0251836306,15.0404208195,None,None,12.3000001907,12.5,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143124,21.001344,10,-98.0,-15.1875,-92.4375,-10.125,None,None,None,None,18.549264,10.301248,0.0,0.0,44,25,0,0,40990,22068,0,0,14.6347780127,15.2249430524,None,None,7.59999990463,10.1000003815,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143125,25.474176,11,-98.9375,-13.9375,-92.25,-10.125,None,None,None,None,15.262128,7.657968,0.0,0.0,38,16,0,0,32292,16314,0,0,15.2750263435,15.0114285714,None,None,7.69999980927,14.8999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143126,17.472,12,-98.875,-15.375,-91.375,-9.875,None,None,None,None,14.8926,3.114448,0.0,0.0,44,15,0,0,32756,7068,0,0,14.7289669862,14.2410147992,None,None,7.69999980927,10.8999996185,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143127,16.87936,13,-99.0,-14.625,-91.4375,-10.0,None,None,None,None,16.459016,4.248416,0.0,0.0,44,21,0,0,33738,10024,0,0,15.6587982833,13.808319739,None,None,14.0,10.8000001907,None,None
40.453,-86.9045,378,2250,289,976,None,None,None,None,1584143128,23.552256,14,-99.125,-15.4375,-92.0,-9.5625,None,None,None,None,26.619456,13.784896,0.0,0.0,47,25,0,0,52668,30704,0,0,16.1923076923,14.5073221757,None,None,12.6000003815,11.3999996185,None,None
