grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145571,7.258176,6,-94.625,-14.25,-91.1875,-9.6875,None,None,None,None,7.11912,10.596376,0.0,0.0,44,25,0,0,13482,18270,0,0,17.2982689747,19.4478041757,None,None,12.8000001907,16.0,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145572,21.944832,7,-94.5,-15.5625,-91.0,-9.625,None,None,None,None,26.124112,6.249808,0.0,0.0,50,25,0,0,53124,10318,0,0,15.9105378705,20.582260372,None,None,16.2000007629,17.7000007629,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145573,17.844736,8,-95.125,-16.875,-92.9375,-10.25,None,None,None,None,22.539904,10.912408,0.0,0.0,50,25,0,0,43876,19118,0,0,17.4379719525,19.1964529332,None,None,12.3999996185,13.8000001907,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145574,23.377536,9,-94.5625,-14.5,-91.5,-10.375,None,None,None,None,22.770624,14.13244,0.0,0.0,50,25,0,0,41058,24162,0,0,18.1381100727,19.522411953,None,None,19.8999996185,14.6999998093,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145575,43.225728,10,-95.875,-14.625,-89.9375,-9.4375,None,None,None,None,9.287776,4.410128,0.0,0.0,50,25,0,0,16665,6828,0,0,17.8534432019,21.3797376093,None,None,19.2000007629,16.1000003815,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145576,20.512128,11,-96.5,-13.5,-89.3125,-11.0,None,None,None,None,8.016496,5.538856,0.0,0.0,50,25,0,0,16650,8322,0,0,15.8763825634,21.7031131359,None,None,10.3000001907,15.0,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145577,15.285824,12,-96.4375,-13.0625,-89.25,-9.625,None,None,None,None,3.186592,2.969416,0.0,0.0,50,21,0,0,7577,4288,0,0,13.9843633656,21.9849170437,None,None,6.40000009537,13.1999998093,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145578,6.288384,13,-96.5625,-13.6875,-89.4375,-10.1875,None,None,None,None,14.514528,5.883848,0.0,0.0,50,25,0,0,27200,8816,0,0,17.6053227633,21.8376327769,None,None,17.7000007629,14.8999996185,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145579,10.379072,14,-96.0625,-13.5625,-89.875,-9.8125,None,None,None,None,15.387632,3.514792,0.0,0.0,50,25,0,0,33757,5346,0,0,14.6649916248,21.8960763521,None,None,15.1000003815,13.5,None,None
40.453,-86.9045,378,66736,289,976,None,None,None,None,1584145580,14.129024,15,-96.8125,-13.5,-90.0,-10.5,None,None,None,None,14.034696,4.677416,0.0,0.0,50,23,0,0,32300,6954,0,0,14.328891258,21.6513437058,None,None,10.5,13.1000003815,None,None
