grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,193,1075,None,None,None,None,None,None,1583890891,36.528576,5,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890892,52.806912,6,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890893,60.835008,7,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890894,32.79776,8,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890895,26.592704,9,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890896,24.883008,10,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890897,30.67056,11,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890898,26.97392,12,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890899,13.51584,13,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583890900,20.054272,14,-65.4375,-6.0,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.2999992371,None,None,None
