grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,193,2100,193,2350,193,5230,None,None,1583970715,10.004032,0,-92.75,-10.25,-89.9375,-10.75,-83.625,-11.3125,None,None,8e-05,0.0,0.0,0.0,3,0,0,0,3,0,0,0,0.0,None,None,None,10.6999998093,None,None,None
None,None,193,2100,193,2350,193,5230,None,None,1583970716,10.708704,1,-93.0625,-11.9375,-91.0625,-10.3125,-83.375,-11.0,None,None,0.03632,0.0,0.0,0.0,50,0,0,0,204,0,0,0,7.5,None,None,None,2.59999990463,None,None,None
None,None,418,976,None,None,None,None,None,None,1583970717,13.527392,2,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None
None,None,193,1075,None,None,None,None,None,None,1583970718,14.104992,0,-88.75,-7.75,None,None,None,None,None,None,0.002856,0.0,0.0,0.0,25,0,0,0,121,0,0,0,6.1,None,None,None,10.1000003815,None,None,None
None,None,193,66586,393,67086,None,None,None,None,1583970719,8.999008,1,-92.8125,-10.125,-137.4375,-30.0,None,None,None,None,0.002464,0.0,0.0,0.0,3,0,0,0,12,0,0,0,11.2,None,None,None,9.69999980927,-8.80000019073,None,None
None,None,193,66586,393,67086,None,None,None,None,1583970720,11.771488,2,-85.625,-11.1875,-129.0,-25.3125,None,None,None,None,0.099704,0.0,0.0,0.0,50,0,0,0,537,0,0,0,10.8235294118,None,None,None,6.30000019073,-8.60000038147,None,None
None,None,193,66586,393,67086,None,None,None,None,1583970721,12.18736,3,-86.1875,-11.625,-128.5625,-24.125,None,None,None,None,4.206584,0.0,0.0,0.0,50,0,0,0,14357,0,0,0,16.8898601399,None,None,None,13.6999998093,None,None,None
40.4525,-86.9165,193,66586,393,67086,None,None,None,None,1583970722,5.972384,4,-86.25,-12.1875,-128.5625,-24.5625,None,None,None,None,9.909528,0.0,0.0,0.0,50,0,0,0,29909,0,0,0,18.3810945274,None,None,None,1.20000004768,None,None,None
40.45298004,-86.91626979,193,66586,393,67086,None,None,None,None,1583970723,4.483264,5,-88.875,-11.875,-126.5,-23.0625,None,None,None,None,15.407728,0.0,0.0,0.0,50,0,0,0,40951,0,0,0,19.8959923664,None,None,None,4.90000009537,None,None,None
40.45298004,-86.91626979,193,66586,393,67086,None,None,None,None,1583970724,5.452544,6,-87.6875,-12.5625,-128.625,-24.0625,None,None,None,None,7.706328,0.0,0.0,0.0,50,0,0,0,24195,0,0,0,17.5371794872,None,None,None,6.0,None,None,None
