grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,312,5230,312,2350,312,2100,None,None,1584050774,37.806304,0,-80.5625,-11.625,-94.6875,-19.1875,-91.875,-18.0,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,3.90000009537,None,None,None
None,None,312,5230,312,2350,312,2100,None,None,1584050775,52.018656,1,-81.5625,-13.3125,-90.75,-20.25,-88.4375,-19.8125,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,2.40000009537,None,None,None
None,None,312,5230,312,2350,312,2100,None,None,1584050776,28.637952,2,-81.375,-11.3125,-94.3125,-21.875,-90.5,-17.875,None,None,9.6e-05,0.0,0.0,0.0,9,0,0,0,9,0,0,0,2.0,None,None,None,3.90000009537,None,None,None
None,None,312,5230,312,2350,312,2100,None,None,1584050777,54.308128,0,-80.75,-9.9375,-93.5625,-18.0625,-89.4375,-16.25,None,None,0.021096,0.008016,0.0,0.0,26,26,0,0,126,26,0,0,4.85,16.0,None,None,3.59999990463,-2.79999995232,-1.0,None
None,None,312,5230,312,2350,312,2100,None,None,1584050778,67.1424,1,-77.8125,-12.125,-102.25,-22.25,-97.9375,-20.8125,None,None,0.018984,0.0,0.0,0.0,18,0,0,0,103,0,0,0,3.7,None,None,None,1.5,-7.0,None,None
None,None,313,5230,None,None,None,None,None,None,1584050779,43.905216,0,-78.125,-11.8125,None,None,None,None,None,None,0.002728,0.0,0.0,0.0,27,0,0,0,141,0,0,0,4.25,None,None,None,9.89999961853,None,None,None
None,None,313,2100,15,1075,313,5230,None,None,1584050780,49.378144,1,-79.875,-5.75,-115.3125,-27.3125,-77.125,-12.625,None,None,0.015464,0.0,0.0,0.0,50,0,0,0,417,0,0,0,4.52173913043,None,None,None,22.7999992371,-8.5,0.0,None
None,None,313,2100,None,None,313,5230,None,None,1584050781,39.36896,2,-80.3125,-6.1875,None,None,-76.75,-12.9375,None,None,0.039152,0.0,0.0,0.0,41,0,0,0,169,0,0,0,8.0,None,None,None,24.1000003815,None,1.10000002384,None
None,None,313,2100,313,2350,313,5230,None,None,1584050782,45.293856,3,-79.5625,-9.5,-77.9375,-9.375,-78.625,-12.75,None,None,0.02964,0.0,0.0,0.0,26,0,0,0,140,0,0,0,10.9375,None,None,None,21.8999996185,None,None,None
40.43821572,-86.91712405,313,2100,313,2350,313,5230,None,None,1584050783,31.13264,4,-79.5,-10.375,-76.375,-10.3125,-75.5625,-14.0625,None,None,17.287328,16.121728,4.183488,0.0,50,50,50,0,25435,36833,9886,0,22.8758169935,20.1491658489,21.0263157895,None,24.8999996185,23.7000007629,7.19999980927,None
40.43819858,-86.91705824,313,2100,313,2350,313,5230,None,None,1584050784,44.579168,5,-81.0625,-10.875,-77.125,-9.8125,-76.4375,-13.3125,None,None,24.89624,34.82912,9.160904,0.0,50,50,50,0,37434,79237,21923,0,21.5956325301,20.6535476718,20.5370121131,None,23.2999992371,20.6000003815,9.80000019073,None
40.43819858,-86.91705825,313,2100,313,2350,313,5230,None,None,1584050785,31.952832,6,-78.4375,-10.0625,-76.75,-9.875,-78.75,-13.1875,None,None,14.83008,35.836496,4.739248,0.0,50,50,50,0,21632,64659,11363,0,22.1639484979,21.5199556541,21.0183333333,None,25.1000003815,24.0,8.39999961853,None
40.43819858,-86.91705826,313,2100,313,2350,313,5230,None,None,1584050786,15.491232,7,-80.4375,-10.5,-86.5625,-11.3125,-81.375,-12.125,None,None,18.334512,26.756552,7.273176,0.0,50,50,50,0,27807,59484,18138,0,21.2942583732,14.5712426805,20.3930921053,None,21.2000007629,18.2999992371,9.30000019073,None
40.43819858,-86.91705827,313,2100,313,2350,313,5230,None,None,1584050787,34.230912,8,-84.4375,-9.875,-86.0625,-9.875,-80.1875,-12.1875,None,None,24.767176,24.918616,5.589968,0.0,50,50,50,0,40565,61994,13333,0,19.6074829932,13.3032296651,21.2606635071,None,20.5,18.5,1.5,None
40.43819858,-86.91705827,313,2100,313,2350,313,5230,None,None,1584050788,35.302912,9,-83.8125,-10.8125,-84.0,-8.1875,-76.125,-13.25,None,None,24.117632,24.891544,8.246448,0.0,50,50,50,0,38808,62002,24993,0,20.3973063973,13.807160804,17.800486618,None,24.2000007629,16.5,12.0,None
40.43819858,-86.91705828,313,2100,313,2350,313,5230,None,None,1584050789,28.637408,10,-89.5625,-10.4375,-91.25,-11.4375,-83.6875,-11.0625,None,None,22.011632,24.984344,10.369032,0.0,50,50,50,0,35850,50180,28032,0,20.0361290323,16.1092577148,18.7682352941,None,24.7999992371,14.1000003815,12.8000001907,None
