grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
None,None,313,66586,313,66836,313,5230,None,None,1584049621,36.181408,0,-80.3125,-7.625,-83.5625,-11.4375,-78.875,-11.1875,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,12.1000003815,None,None,None
None,None,313,66586,None,None,None,None,None,None,1584049622,42.895616,0,-80.5,-6.8125,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.8999996185,None,None,None
None,None,313,66586,313,66836,313,5230,None,None,1584049623,51.061248,1,-80.8125,-6.5,-81.0625,-8.125,-78.125,-11.4375,None,None,0.013856,0.0,0.0,0.0,8,0,0,0,82,0,0,0,7.45833333333,None,None,None,14.6999998093,None,None,None
None,None,313,66586,313,66836,313,5230,None,None,1584049624,70.50448,2,-80.8125,-6.5,-81.0625,-8.125,-78.125,-11.4375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,14.6999998093,None,None,None
None,None,313,5230,None,None,None,None,None,None,1584049625,71.096992,0,-76.25,-12.1875,None,None,None,None,None,None,0.001904,0.0,0.0,0.0,30,0,0,0,87,0,0,0,4.25,None,None,None,-1.29999995232,None,None,None
None,None,313,66836,345,67086,393,1075,None,None,1584049626,41.369344,1,-79.0625,-9.6875,-129.0,-28.4375,-118.4375,-29.8125,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,16.3999996185,-9.5,-7.19999980927,None
None,None,313,66836,None,None,313,5230,None,None,1584049627,49.165184,2,-79.125,-9.8125,None,None,-77.875,-13.375,None,None,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,None,None,None,None,23.5,None,None,None
40.438,-86.917,313,66836,313,66586,313,5230,None,None,1584049628,60.268768,3,-78.5625,-10.0625,-76.0625,-11.625,-74.625,-13.3125,None,None,7.03728,7.776384,4.556488,0.0,50,50,50,0,13676,11863,13620,0,23.3153310105,26.5103857567,17.75,None,16.3999996185,15.1999998093,2.0,None
40.438,-86.917,313,66836,313,66586,313,5230,None,None,1584049629,64.819104,4,-78.5,-10.0625,-76.8125,-10.25,-74.8125,-12.5,None,None,25.124072,22.586808,3.6854,0.0,50,50,50,0,45788,34215,11284,0,21.6767213115,26.7450523865,17.5728571429,None,15.8999996185,19.7999992371,1.70000004768,None
40.43818796,-86.91704849,313,66836,313,66586,313,5230,None,None,1584049630,39.342624,5,-77.0,-10.0625,-72.5625,-10.9375,-79.4375,-14.6875,None,None,38.386928,33.652616,15.687632,0.0,50,50,50,0,62783,51533,39351,0,19.5607235142,23.24,19.7280701754,None,17.1000003815,19.7000007629,-2.29999995232,None
40.438,-86.917,313,66836,313,66586,313,5230,None,None,1584049631,42.75056,6,-77.8125,-9.9375,-76.0625,-11.9375,-74.8125,-13.5,None,None,46.835144,32.582152,12.420304,0.0,50,50,50,0,75655,40033,32340,0,19.5026939655,24.5685071575,19.401384083,None,16.2999992371,14.5,3.40000009537,None
40.4381901,-86.91704683,313,66836,313,66586,313,5230,None,None,1584049632,67.99616,7,-74.25,-11.625,-71.3125,-11.0,-82.6875,-12.5625,None,None,51.19788,34.794736,12.697392,0.0,50,50,50,0,79966,48708,39510,0,20.3379389752,22.05582762,16.8098434004,None,18.6000003815,17.0,6.69999980927,None
40.438,-86.917,313,66836,313,66586,313,5230,None,None,1584049633,52.307328,8,-79.625,-9.6875,-78.25,-9.8125,-76.875,-14.5625,None,None,40.392224,38.201584,12.776376,0.0,50,50,50,0,64339,44146,39731,0,19.9283965728,25.695966908,16.8662280702,None,18.7000007629,15.1000003815,2.90000009537,None
40.438,-86.917,313,66836,313,66586,313,5230,None,None,1584049634,73.193472,9,-79.3125,-10.0625,-78.0625,-11.5625,-77.375,-13.75,None,None,39.804784,36.856664,14.232632,0.0,50,50,50,0,66307,43838,34879,0,19.3571021107,25.5348583878,19.9606396064,None,15.1000003815,17.6000003815,3.20000004768,None
